"タイトル","交信録1・ウマ娘生命体、飛来す"
"ナレーション","この広大な宇宙には――我々には観測できない未知の生命体が存在する。"
"ナレーション","『異星人』や多次元に生きる『アストラル体』。そういった存在はある日、何の前触れもなくこの星を来訪するかもしれない。"
"","――夜のトレセン学園。所用のため、1人で校舎内にいると……頭上から奇妙な音が聞こえた。"
"選択肢","この音は……屋上からか？"
"","もし設備の故障なら大変だ。原因を確かめるべく、宿直のおじさんから鍵を借り、あわてて屋上へと出る。"
"","と、そこには――"
"","見知らぬ少女が立っていた。あの耳はウマ娘のもの。だが……少し形状が変だ。"
"","そして、いくらウマ娘でも施錠してあった屋上に飛び移れるわけはない。この少女は一体……。"
"？？？","…………………………。"
"選択肢","あ、あの……"
"","こわごわと話しかける。はたして……言葉は通じるのだろうか？"
"？？？","…………“交信”。"
"ネオユニヴァース","ネオユニヴァースと“交信”……してみる？ それが……“INTI”なら。"
"","ネオユニヴァース……というのが、この少女の名前なのだろうか。発言内容はなんとなく理解できる。"
"","ウマ娘なのか、それともウマ娘型の謎の生命体か……。ともかくこの少女とは波長が合うようだ。ならば……。"
"選択肢","ここで、何をしているんだ？"
"ネオユニヴァース","“断絶”……を埋めていたの。"
"ネオユニヴァース","来訪した音階は……『お気に入り』だから。深層への共鳴は『やすらぎ』になるよ。"
"","――断絶を埋める。それがどういう行為で、どのような効果があるのかはわからない。だが……。"
"","この少女はどうやら、周りに害をもたらす者ではなさそうだ。"
"ネオユニヴァース","あなたの所属は……“養成者”。『トレーナー』……と呼ばれている？"
"選択肢","ああ、トレーナーだ"
"","担当ウマ娘はまだ決まっていない。だがトレーナーだと説明すると……。"
"ネオユニヴァース","トレーナー……。合致する存在ならば……“求める”をしたい。"
"ネオユニヴァース","“競合”の“観測”……。いえ、その先へとさらに永続する……。"
"ネオユニヴァース","“観測”に留まらない……『？？？』……."
"","……何かを訴えかけてきているようだ。しかし、うまく言葉にできずにいる。"
"","このウマ娘の姿をした少女“ネオユニヴァース”は、何を欲しているのだろうか？"
"ネオユニヴァース","まずは“具現”。“可視である”をすること……。"
"ネオユニヴァース","それをしなければ“軌道に乗る”ができない……。"
"","夜空を見上げるネオユニヴァース。何かあるのかと自分も見上げ、“何も見えないけど”と伝えようとすると……。"
"","その姿は……消えていた。まるで時空の稜線に溶け去るかのように。"
"","“ネオユニヴァース”は……本当に存在したのだろうか? あるいは幻か何かを見たのだろうか。"
"","――その数日後。模擬レースの会場にて。"
"中堅トレーナーA","今日は結構、有力な娘たちが出るのよねぇ。"
"中堅トレーナーB","ああ、どんなレースになるのか楽しみだ。中でも……。"
"中堅トレーナーA","だ、誰……？"
"選択肢","君は……！？"
"","あの少女“ネオユニヴァース”は忽然と会場に現れた。そして――"
"ネオユニヴァース","『競走』……をする。"
"ネオユニヴァース","ネオユニヴァースは…… “STDA”……。“シナプス”を獲得する。"
"","皆が唖然とする中、気にすることなくターフへと歩んでいく。こうして謎の少女は予期せずしてレースに出走することになった。"
