"タイトル","交信録3・屋外での対話、及び遊戯録"
"ネオユニヴァース","はぁ、はぁ……。“追跡者”の信号は――ロスト。"
"ネオユニヴァース","ネオユニヴァースは明確にしたい。あなたは 『わたし』を――どう“処遇”？"
"","どうしたいのかは自分でもわからない。だがまずはネオユニヴァースの気持ちを知りたかった。"
"選択肢","なあ、君は何者で何がしたいんだ？"
"","それがわからなければ手助けのしようがない。 仮に正体は明かせなくとも、せめて目的は知りたかった。"
"ネオユニヴァース","なにが……したい……。ネオユニヴァースは――“昇華”をしたい。"
"ネオユニヴァース","そのために自己理解……そして――“做古”？"
"","……やりたいことはあるようだが、何を指し示しているのかは、わからない。言語化不可能な内容なのだろうか？"
"ネオユニヴァース","まずはあなたと――“対話”したい。"
"選択肢","……わかった。"
"","そんな中でもかろうじて通じた言葉。ネオユニヴァースは自分との交流を求めている。"
"","ならば……と理解を深め合うことにした。ネオユニヴァースが行ったことのなさそうな、学園外のあちこちを見学させながら。"
"","まずはラーメン屋へとやってきた。"
"選択肢","これが豚骨ラーメンだよ"
"ネオユニヴァース","ト・コツ……ラメーン……。ラーメン……。"
"ネオユニヴァース","『食べ物』……だね。食したことはない、けれど……。"
"","食べ物の概念は、問題なくあるようだった。基礎を確認したら、次は……。"
"ネオユニヴァース","ここは……“繋養所”？"
"選択肢","ああ、動物園だ"
"ネオユニヴァース","異種生物を――愛でる、ところ――"
"ネオユニヴァース","『かわいい』を見ると、ネオユニヴァースは高揚……。つまり 『ワクワク』になるよ。"
"選択肢","動物、好きなんだな？"
"ネオユニヴァース","アファーマティブ。――『好き』。"
"","相互理解はどんどんと深まる。かすかに笑みらしきものも見せてくれるようになった。"
"ネオユニヴァース","今日は……『楽しい』をした。"
"選択肢","ああ、俺も"
"","かなり打ち解けることができた。言葉もより通じるようになった。今なら……。"
"","うまく聞き出せるかもしれない。ネオユニヴァースが何者で何をしたいのか、その真意を。"
"選択肢","ネオユニヴァース、あの……君は……"
"？？？","あのっ、ユニさん？ ユニさんですよね！"
"","とその時、1人のウマ娘がこちらに駆け寄ってきた。"
"ゼンノロブロイ","やっぱり！ さっき走っているのを見かけたもので。私です、ゼンノロブロイですっ。図書委員の。"
"ネオユニヴァース","ゼンノ……ロブロイ……。"
"ネオユニヴァース","その存在は……“既知”。お世話になっています、だね。"
"選択肢","君は、ネオユニヴァースを知っているのか？"
"ゼンノロブロイ","はい、もちろんです！ だってユニさんは……。"
"ゼンノロブロイ","トレセン学園の生徒ですから。"
"選択肢","トレセン学園の……生徒?"
"","謎に包まれたその正体について、初めて情報が入った。ネオユニヴァースはトレセン学園のウマ娘……。"
"選択肢","でも制服を着ていたことは1度も……"
"ネオユニヴァース","制服……。"
"ネオユニヴァース","これも……“保持”……。"
"","その姿を見て納得した。ネオユニヴァースはやはり、ごく普通のトレセン学園の生徒……。"
"","いや、ごく普通ではない。挙動はあまりに変わっている。一体どういうウマ娘なのだろう？"
"選択肢","ロブロイ、何か知ってる？"
"ゼンノロブロイ","ユニさんについてですか？ はいっ、ユニさんは……。"
"ゼンノロブロイ","少し不思議なウマ娘……。言葉遣いがやや難しいので……クラスなどではお1人でいらっしゃることも多いようで……。"
"ゼンノロブロイ","でも私は……しばしばお話させていただくことがあるんです。図書委員ですので。ユニさん、よく図書室にいらっしゃいますから。"
"ゼンノロブロイ","ユニさん……あのっ。私、ユニさんとはたくさん話しましたけど走るところは今日はじめて見ました。なんというか……。"
"ゼンノロブロイ","とても……素晴らしい走りでした！ 私の憧れる英雄の走りとはまた違う、高次元の判断力！ と言いますか。"
"ゼンノロブロイ","とくに……あの最終直線のスパート! お見事でしたっ。迷いなく壁の隙間に飛び込んで。一瞬、消えたように見えるほどで……！"
"","消えたように見えた。ということは、やはり本当に消えたわけではなかったようだ。とすると……。"
"","ネオユニヴァースの正体は、性格が少し変わっているだけのウマ娘。自分の気にしすぎだったのかもしれない。"
"ネオユニヴァース","……………………。"
"","だが、いくつか気になることがある。ネオユニヴァースは確実に何かを欲していて、それが何なのかはまだわからない。さらに――"
"","あの日――屋上にいた謎。空から飛来したのでなければ、なぜ施錠された屋上に入ることができたのだろう？"
"ゼンノロブロイ","トレーナーさん、どうかしましたか？"
"選択肢","いや、ひとつ気になったことが……"
"","この話はもしかしたら……2人だけでしたほうがいいかもしれない。"
"選択肢","ネオユニヴァース、ついてきてくれないか？"
"","ゼンノロブロイと別れた後、2人で、かの場所へと向かうことにした。"
"","――夜の屋上。ネオユニヴァースと初めて遭遇した場所。"
"","あの日、ネオユニヴァースはどうやってここに入ったのだろう？"
"選択肢","施錠してあったのに入れるはずが……"
"ネオユニヴァース","……………………。"
"ネオユニヴァース","……“MUTX”。"
"選択肢","……？"
"ネオユニヴァース","……“MUTX”だったんだ。ネオユニヴァースは……最初……。"
"","断片的な言葉。だがそこからなんとなく連想できた。もしかしたらネオユニヴァースはあの日……。"
"選択肢","誰かと……一緒にいたのか？"
"ネオユニヴァース","……………………。"
"","どうやら、そのようだ。たとえネオユニヴァースは入れなくても、夜の屋上に入れる者は何人かいる。"
"","そう、例えば……。"
