"タイトル","交信録4・正体についての総括、展望"
"ネオユニヴァース","あの夜、『わたし』……は……."
"","施錠された屋上に入れる存在は、もちろん何人かいる。そう、例えば――"
"ネオユニヴァース","……………………。"
"","""トレーナー""であるなら、誰でも。あの日の自分のように宿直員から鍵を借りれば、簡単に出入りすることができる。"
"","もしかしたらネオユニヴァースは、あの夜……。"
"選択肢","別のトレーナーと一緒にいたのか？"
"ネオユニヴァース","……………………。――回想。"
"選択肢","え？"
"ネオユニヴァース","回想。“エックステー”の――“交信”記録。"
"あるトレーナー","ネオユニヴァース、来てくれてありがとう。話したいことっていうのはね……。"
"あるトレーナー","貴方との正式なトレーナー契約についてよ。 やっぱり……結ばないほうがいいと思うの。"
"ネオユニヴァース","……………………。“未締結”……が推奨される？ それは……『スピード』が足りないから？"
"あるトレーナー","ううん、貴方の才能は認めてる。初めて走りを見た時にこの娘は『日本ダービー』に行く！ って思ったもの。"
"あるトレーナー","でも貴方とは意志の疎通がうまくできない。何を言っているのか、感じているのか、正直わからない……。"
"ネオユニヴァース","……………………。"
"あるトレーナー","それにね……。実は貴方より前に、契約を申し出てくれたウマ娘がいるの。"
"あるトレーナー","彼女への義理も果たしたい。だから、どちらかを選ばなきゃいけないなら……。"
"あるトレーナー","ごめんね、本当に。トレーナーにはなれないけど、貴方の成功、祈ってるから。"
"","ネオユニヴァースの話は、要約するとそういうことだった。別のトレーナーから呼び出され、契約を断られた。だが……。"
"選択肢","じゃあ、あの“UFOの音”は……？"
"","屋上から聞こえた奇妙な音。あの音の正体は何だったのだろうか？"
"ネオユニヴァース","『UFO』の……音……。もしかして……これ……？"
"選択肢","その曲は……？"
"ネオユニヴァース","ネオユニヴァースが『お気に入り』にした曲なんだ。これを聴くと――"
"ネオユニヴァース","“断絶”が埋まる……。深層への共鳴は『やすらぎ』になるよ。"
"","お気に入りの曲のイントロ……。どうやらこの音楽を聴いて、断絶……すなわち関係の切れた悲しみを癒していたようだった。"
"ネオユニヴァース","ネオユニヴァースは――つながって……『走る』をしたかった。"
"ネオユニヴァース","言葉は“CUTT”でも――走れば“コネクト”できる。他の個体にも感じてもらえる……から……。"
"ネオユニヴァース","ネオユニヴァースはただ“求める”をしたかった……。だけど……“STDA”……。"
"","――寂しげに語られる言葉。その意味は……どうにか推測できた。しばらく一緒に過ごしたことにより、理解度も上がった。"
"","ネオユニヴァースは謎の生命体などではない。走りを通じて、他者とわかり合い、その先の何かを目指すウマ娘。そして……。"
"","言葉が難解というだけで、最初からその道を断たれてしまった。そんな悲しいウマ娘なのかもしれない……。"
"選択肢","君は“つながり”を“求めたい”んだな？"
"ネオユニヴァース","――アファーマティブ。“軌道”が……ない。見えないの……。"
"ネオユニヴァース","ネオユニヴァースは……“デフォールト”に戻る、をしたくない……。"
"","この少女の進む先に、何があるのかはわからない。どんな意味があるのかも。だが――"
"","彼女はたどり着きたいと願っている。それだけで十分だった。ならば、そこに向けて“つながる”ことはできる。"
"選択肢","俺に……力にならせてくれる？"
"ネオユニヴァース","チカラ……？"
"選択肢","ああ、こんなふうに"
"","目の前で、2つの手を結び合わせる。万国共通、いや宇宙共通のハンドサインならきっと……。"
"ネオユニヴァース","……“コネクト”？"
"ネオユニヴァース","コペルニクス的……転回……。“ASEM”が“LAMD”に……光、に……。"
"ネオユニヴァース","……スフィーラ。とても……スフィーラ、だね。"
"選択肢","……スフィーラ？"
"ネオユニヴァース","――スフィーラ！"
"","その言葉の持つ概念はわからない。でもネオユニヴァースの……。"
"","かすかな笑顔が、意思を伝えてくれた。“『あなた』を受け入れます”と。"
"","そして、ネオユニヴァースと自分は正式にトレーナー契約を結び――"
"ネオユニヴァース","ふっ……！！"
"ネオユニヴァース","トレーナー、ネオユニヴァースは『報連相』するね。点火から……“上昇曲線”だよ。"
"選択肢","ああ、絶好調だな！"
"ウマ娘A","ねえ……あのコンビ、なんか変わってるよね。 どうして会話通じるのかな？"
"ウマ娘B","さあ……。でもネオユニヴァースって、思ったよりいい子そう。少しイメージ変わったっていうか。"
"","誤解も徐々に解けつつある。そう、ネオユニヴァースは謎の生命体ではなく、少し変わっているだけのウマ娘。"
"","これからは2人で同じ夢を――"
"ゼンノロブロイ","お疲れ様ですっ! トレーナーさん、ユニ……さん？"
"ゼンノロブロイ","あれ？ 今、ユニさんと一緒じゃありませんでしたか？ たしか、ここに……。"
"選択肢","――！？"
"","一緒だったはず……。しかしネオユニヴァースの姿はどこにも……。謎の生命体ではないとは、まだ言い切れないようだ。"
"ナレーション","この広大な宇宙には――我々には観測できない未知の生命体が存在する。"
"ナレーション","降り立ったばかりの聡明な来訪者が、この星に何をもたらすのかは、まだ誰にもわからない。"
