"タイトル","ネオユニヴァース登場！"
"ネオユニヴァース","トウインクル……シリーズ……。\nこの銀河を“駆け抜ける”ために――"
"ネオユニヴァース","ネオユニヴァースには\n“エナジー”が必要。だから……。"
"ネオユニヴァース","“FOTX”の星。\nその輝きを集めて、第七段階の力を――"
"","夜の小高い丘へとやってくる。\nと……担当ウマ娘、ネオユニヴァースが\n何かをしていた。"
"選択肢","何をしてるんだ、ユニヴァース？"
"ネオユニヴァース","トレーナー……“集積”を。"
"ネオユニヴァース","ネオユニヴァースは“STDA”のままでは\n保てない……。Ia型……1・7・5……。"
"","その言葉は難解で、意味をくみ取るのは大変だ。だが……。"
"","中身のないことを言っているわけではない。\nネオユニヴァースの知性が高すぎて、\nこちらの理解が追いつかないだけ。"
"","その知性の壁のせいで、\n悲しい想いもすいぶんしたらしい。"
"","そう、あれは自分と出会う前……。"
"あるトレーナー","ごめんね、本当に。\nトレーナーにはなれないけど、\n貴方の成功、祈ってるから。"
"","理解し合えないという理由で、\n別のトレーナーから契約を断られてしまった。\nその後日……。"
"","自分と出会い\n『力にならせてくれないか？』と\n申し出たところ……。"
"ネオユニヴァース","チカ、ラ……？"
"ネオユニヴァース","……スフィーラ。\nとても……スフィーラ、だね。"
"","――受け入れてくれた。\n自分とはなぜか、出会った時から\nフィーリングが合い、交流もそこそこできた。"
"","――こうして結ばれた契約。\nどうにかネオユニヴァースの夢を\n叶えるために頑張りたい。"
"ネオユニヴァース","トレーナー。ネオユニヴァースは\nレースで……『つながる』をしたい。"
"ネオユニヴァース","“ランデブー”。走れば……わかり合える。\n並べば意識は……“コネクト”するよ。"
"選択肢","ああ、たくさん走ろう"
"","ネオユニヴァースの願いは、レースを通じて\n『他のウマ娘と繋がる』こと。"
"","走ることは全ウマ娘共通の言語。\nレースで活躍すれば、\n孤立も解消できるはすだ。"
"ネオユニヴァース","“コネクト”と、それから……“ANOI”。\n――もうひとつ。"
"ネオユニヴァース","ネオユニヴァースには\n“成し遂げる”をしたいことがある。"
"ネオユニヴァース","それは――"
"選択肢","それは……？"
"ネオユニヴァース","……？……“ノイズ”が……激しい。\nネオユニヴァースは……まだ……。"
"ネオユニヴァース","“ジャミング”の中に……。\n“PABL”……“ELNKL”……。"
"","何を感じているのか、\nさすがにわからなかった。\nだがネオユニヴァースには……。"
"","他にも秘めた目的がありそうだ。\nそれは今後のレース活動の中で\n明らかになっていくのかもしれない。"
"","こうして活動開始。ネオユニヴァースは\nまだデビュー前だが、その走りは――"
"ネオユニヴァース","ふっ……！"
"ネオユニヴァース","はあ、はあ、ふう……。"
"選択肢","すごい……レベルが違うな"
"ネオユニヴァース","そう……。『ありがとう』……。"
"","その素質は明らかに際立っていた。\nまさしく異次元クラス。\n宇宙からの来訪者のような走り……。"
"","そんな彼女と同期になるのは"
"ゼンノロブロイ","わあ……すごく速いですね、ユニさんっ！"
"ネオユニヴァース","ゼンノ……ロブロイ……。"
"ネオユニヴァース","あなたにも『ありがとう」。\n概念的には、あなたはネオユニヴァースの――"
"ネオユニヴァース","――『ずっ友」。"
"ゼンノロブロイ","ズッ友！？"
"ゼンノロブロイ","は、はい……！\nそう思っていただけるなんて嬉しいです、\nユニさん。"
"","このウマ娘は『ゼンノロブロイ」。\n図書委員で、性格はおとなしいが\n実は英雄に憧れるウマ娘だ。"
"","ネオユニヴァースはよく図書室に行くため、\nそこで知り合いになったらしい。"
"ゼンノロブロイ","認めてもらえるのは嬉しいですけど……\n私はユニさんより、だいぶ遅れています。\nレースの準備……。"
"ゼンノロブロイ","最初の一頁すら危ういなんて……。"
"ゼンノロブロイ","でも、どうにか近い時期に\nデビューできるよう頑張りますねっ。"
"ネオユニヴァース","近い……時期……。\nそれは……。"
"ネオユニヴァース","……………………。"
"ゼンノロブロイ","ユニさん？どうかしましたか？"
"ネオユニヴァース","ゼンノロブロイ、あなたは――"
"ネオユニヴァース","ううん。……ネガティブ。\nこれは――星の“残滓”。"
"ゼンノロブロイ","えっ？"
"","そんなネオユニヴァースとの日々が\nいよいよ始まる。\n何もかもが異質すぎるウマ娘だけに……。"
"","どんな未来が、事象が待っているのかは\nまったく予測できない。"
