"タイトル","皐月賞の後に・まさかの断崖"
"ネオユニヴァース","敗北……。\n前方に断崖が……。"
"ネオユニヴァース","“星間ドライブ”で突き抜けられたはず……。\nでも……。"
"ネオユニヴァース","そうはならなかった。\n事象は――変わる。"
"ネオユニヴァース","それは――救い。\n表裏の“VETM”……なんだ。"
"","残念ながら勝利には届かす。\nネオユニヴァースはコース上で\n何かをつぶやいていた。"
#分岐終了
"","そして1度、控室に戻ると……。"
"あるトレーナー","素晴らしい走りだったわ、\nネオユニヴァース。"
"","例のトレーナーが\n好走を称えにきてくれた。"
"あるトレーナー","うちの娘は、貴方にかなわなかった……。\nけど力は出し切れたかな。"
"あるトレーナー","今日の貴方のレースを見て……思った。\nやっばり……。"
"あるトレーナー","別の道を選んで、よかったんだって。\n少し救われた気がしたわ……。"
"選択肢","よかったって……"
"","そのトレーナーは少し肩をすくめると……。"
"あるトレーナー","多分、私がトレーナーだったら、\nネオユニヴァースの力を\nここまでは引き出せなかった。"
"あるトレーナー","今日の走りっぷりを見て、やっと、\nあれでよかったんだって思えた。"
"あるトレーナー","きっと私より通じ合える誰かがいる……。\nそれを……見せてもらえたから。"
"選択肢","そういうことですか……"
"","情も悩みも苦しみもあったのだろう。\nその上で、先約との義理を選んだ。"
"","このヒトは悪いヒトではない。\n誰にとっても最適の、正しい判断ができる\nトレーナーなのだろう。"
"ネオユニヴァース","……あ。"
"選択肢","どうした、ユニヴァース？"
"ネオユニヴァース","この“FELT”は……。"
"ネオユニヴァース","トレーナー、この『ヒト』も“SETO”……。\n“SETO”だよ。"
"あるトレーナー","え、“SETO”？"
"ネオユニヴァース","そう、“SETO”。"
"選択肢","そうか、“SETO”なんだ……"
"","オグリキャップと同じく、\n大切な断片を持つ者……。"
"","ということは大なり小なり、\nこれからも関係は続くのかもしれない。"
"あるトレーナー","あはは、トレーナーさん。\nなんだかよくわかりませんけど……。"
"あるトレーナー","ネオユニヴァースの言葉がわかる\nトレーナーさんは、\nやっばりベストパートナーですね。"
"","こうしてクラシック三冠の第一関門は突破。\n次の目標は『日本ダービー』だが――"
"ネオユニヴァース","トレーナー、次の目標レースは――"
"ネオユニヴァース","――“降雨”。\n雨だよ……。"
"選択肢","雨……？天気が崩れるのか？"
"ネオユニヴァース","そう……。"
"","天候予測……。海水の温度などから、\nある程度は察知できるのだろうか。"
"ネオユニヴァース","でも、その雨は……。"
"ネオユニヴァース","――ネガティブ。ただの雨じゃない。\nとても――"
"ネオユニヴァース","とても……“VOXT”。\nその雨は『わたし』ではなく……。"
"ネオユニヴァース","トレーナーを“妨碍”する。\n“断絶”を呼び込む。"
"ネオユニヴァース","絆を遮る……\n契約の――隔壁。"
"選択肢","ユニヴァース……？"
"","なかなかに読み取りにくい言葉だった。\n妨碍……。契約の隔壁……。"
"","自分とネオユニヴァースのトレーナー契約は\nなんの問題もないはす。なのに、なぜ……。"
"ネオユニヴァース","それでも――来て。必す。"
"ネオユニヴァース","『走りたい』から。あなたのため。\nそれから……『あなた』と一緒に。"
"","――あなたと『あなた」。\n意味不明な言葉のリフレイン。\nだが、どうやら……。"
"","ネオユニヴァースの“未来予測”によると、\n次の『日本ダービー』は\n一筋縄ではいかないレースになりそうだ。"
