"タイトル","日本ダービーにむけて"
"","――『日本ダービー』当日。"
"","ネオユニヴァースの“未来予測”によると\n天候は雨。だが――"
"","これは……雨などというレベルではない。\n季節外れの台風。そして――"
"","自分は不覚にも……駅前のロータリーで\n足止めを食らっていた。"
"","重要な書類を取りに戻ったら……\n豪雨と強風のため、交通機関は完全にマヒ。\nこのままでは……。"
"選択肢","レースに間に合わない……！"
"","担当ウマ娘のダービーに立ち会えない。\nこんなに情けないことはない……。"
"","タクシーも長蛇の列。\nこうなったら……。"
"","脇の車道に出て、必死に手を挙げる。\nヒッチハイクしてでも、\nレース場に戻らなければならない。"
"ネオユニヴァース","それでも――来て。必ず。"
"ネオユニヴァース","『走りたい』から。あなたのため。\nそれから……『あなた』と一緒に。"
"","ネオユニヴァースの想いに、\nなんとしても応えなければならなかった。"
"","通行車が跳ね飛ばす水を浴びながらも、\n必死に手を挙げ続ける。と――"
"","(キィィィッ！)"
"秋川理事長","トレーナーよ、こっちだ！"
"選択肢","秋川……理事長！？"
"秋川理事長","送迎ッ！　わたしの車に乗るといい！\n府中までふかふかだぞ！"
"","まさかの秋川理事長の助け舟により救われた。\nしかし……どうも奇妙なものを感じる……。"
"","よもやの台風、意外な支援。\nあまりの――偶然の連続。\nその全ては――"
"ネオユニヴァース","絆を遮る……\n契約の――隔壁。"
"","あのネオユニヴァースの言葉と、何かしら\n繋がっているのではないだろうか。"
"","そう、まるでこれは――"
"ネオユニヴァース","トレーナー……。間に合った、んだね。"
"選択肢","ああ、待たせてごめん！"
"","急いで準備を済ませ、パドックへと向かう。\nそう、そこには――"
"","ネオユニヴァースを待つ者がいる。\nようやくこの舞台へと駆け上がってきた――"
"ゼンノロブロイ","ユニさんっ！よかった……！\nトレーナーさん、間に合ったんですねっ。"
"ゼンノロブロイ","今日はよろしくお願いします！\nユニさんとGIで走れるようになるまで、\n時間がかかってしまいましたけど。"
"ネオユニヴァース","ゼンノ……ロブロイ……。"
"ネオユニヴァース","待ってくれている間……寒くなかった？\n台風……。"
"ゼンノロブロイ","えっ？あ、はい……。\n寒くないといえば嘘になりますけど……。"
"ゼンノロブロイ","でも平気ですっ。だって私は……。"
"ゼンノロブロイ","英雄の卵ですから！"
"ネオユニヴァース","英雄の……卵……。"
"ゼンノロブロイ","はい、図書室を出て、ようやくたどり着いた\n高峰。崖は険しく、風は鋭いですけれど――"
"ゼンノロブロイ","この勇気を削ることはできません\n英雄を目指す、私の勇気だけは！"
"ネオユニヴァース","そう……よかった……。\nゼンノロブロイはやはり――"
"ネオユニヴァース","“秘めている”ね。\nますはあなたと『つながり』たい……。"
"ゼンノロブロイ","はいっ、お手合わせ、\nよろしくお願いします！"
"","レース時間が近づくと……嵐はやっと収まり、\n雨も止んできた。だが――"
"","ターフはまだ荒れたまま。2人は\nこの泥濘を乗り越え、通じ合えるのだろうか。"
