"タイトル","日本ダービーの後に・早成のペルセウス"
"ゼンノロブロイ","届いた……。\n届いたんですか、私が……。"
"ゼンノロブロイ","この大舞台で、ユニさんにっ。\nそしてダービーウマ娘に……！"
"","英雄は開花した。\n晴れの舞台で。そして――"
"ネオユニヴァース","事象は――早巻き。\n“ニュートリノ""なのかも。でも……。"
"ネオユニヴァース","この勝利は――相応。\n少し……早かっただけ。"
"","勝利したゼンノロブロイを見守る\nネオユニヴァースの目は……\nなぜか懐かしげだった。"
"ネオユニヴァース","ゼンノ……ロブロイ……。"
"ゼンノロブロイ","あ、ユニさん……！"
"ネオユニヴァース","今日、ネオユニヴァースは\n『つながり』たかった。\n表層だけではなく――"
"ネオユニヴァース","――“高次元の底”。より深い階層で。"
"ネオユニヴァース","そこに“到達”できたね。\nゼンノロブロイはどう思って……。"
"ゼンノロブロイ","ユニさんっ、私も同じです！\nとても感動しています……！"
"ゼンノロブロイ","本気で競ったからこその深い尊敬……\n『つながり』を感じました!"
"ゼンノロブロイ","どんな物語も1人では紡げない……。\n心から尊敬し合える仲間が必要ですっ！"
"ゼンノロブロイ","今日こうして、やっと一緒に走れて……\n感じました。"
"ゼンノロブロイ","私の物語にとって、その仲間はユニさん！\nそして私もユニさんにとって、\nそういう存在になるため、邁進をと！"
"ネオユニヴァース","ロブロイ……。"
"ネオユニヴァース","『あたたかい』ね。\nそれに……やさしい、とても……。"
"ネオユニヴァース","なのに……『ごめん』ね。\n1人にして。"
"ゼンノロブロイ","えっ、1人にって……。\nあ、はい……。"
"ゼンノロブロイ","どちらかというと、\n1人にしていたのは私ですけれど……。"
"ゼンノロブロイ","これからは一緒ですっ。\nしっかり、ついていきますから！"
"","通じ合えた想いと通じ合えない秘密。\nいくつかはすれ違うものの――"
"","ネオユニヴァースは、ゼンノロブロイとの\nファースト・ドライブに成功したのだった。"
#分岐終了
"","――その日の帰り。余熱を冷ますために、\nブラっと寄り道し……。"
"ネオユニヴァース","トレーナー、ここまでは“青写真”通りだね。"
"選択肢","ああ、この調子だ！"
"","『皐月賞』そして『日本ダービー』と\n全て予定したスケジュール通りに来ている。"
"ネオユニヴァース","なら次のローンチも\n“青写真”通りに……。"
"選択肢","ああ『菊花賞』へ！"
"","と……ネオユニヴァースの表情が、\n急に固まった。"
"ネオユニヴァース","――ネガティブ。\nそれは“軌道”とかけ離れているね。"
"ネオユニヴァース","ネオユニヴァースは望みたいんだ。\nもっと『つながり』を。とくに……。"
"ネオユニヴァース","“前周期のウマ娘たち”との“交流”を。"
"選択肢","前周期のウマ娘って……まさか！？"
"","言葉の意味はなんとなくわかった。\n前の周期、つまり、ひとつ上の世代の\nウマ娘たち……。"
"","それの意味するところは……。"
"ネオユニヴァース","“チケット”は得た。別軌道にリンク。\n次に出るのは――"
"ネオユニヴァース","――『宝塚記念』。"
"選択肢","本気で言っているのか！？"
"","制度上は可能だ。クラシック級のウマ娘は\n6月以降、シニア級混合のレースにも\n出られるようになる。"
"","6月後半に行われるGI『宝塚記念』にも\n出走は可能。だが……。"
"","クラシック三冠の有カウマ娘が\n『宝塚記念』にも出るのは\n相当なレアケースだ。なぜなら……。"
"","約1か月の間にGI2戦。しかも\n『宝塚記念」は実力上位のシニア級ウマ娘が\n相手で、あまりに負荷が高い。"
"選択肢","あまり無理はさせたくないけど……"
"ネオユニヴァース","『ありがとう』トレーナー。\nでもネオユニヴァースは“啓蒙”するよ。"
"ネオユニヴァース","『つながり』こそが――エナジー\nトレーナーとの、そして他のウマ娘との。"
"ネオユニヴァース","オグリキャップはそう言ってくれた。\nゼンノロブロイも\n深く“FELT”させてくれた……。"
"ネオユニヴァース","『ぼく』は星の海を征く。\n“SETO”に触れ、次は……。"
"ネオユニヴァース","『あのウマ娘』と深く“交信”したい。\n“WARG”だけでは、わからない。"
"","“交信”したいウマ娘……。どうやら\nネオユニヴァースには目当てがあるようだ。"
"","確かに常識的なルートではない。\nしかしネオユニヴァースの目に、\n航路が見えているのなら……。"
"選択肢","……行くか、『宝塚記念』"
"ネオユニヴァース","トレーナー……。"
"選択肢","驚かせようか、みんなを！"
"ネオユニヴァース","……アファーマティブ。\nならば“決定”だね。"
"ネオユニヴァース","『宝塚記念』へ。2人で……“ランデブー”。\n見知らぬ外宇宙へ……。"
