"タイトル","宝塚記念にむけて"
"ファンA","おいおい、マジかよ！？\nネオユニヴァース『宝塚記念』参戦って！"
"ファンB","ああ、クラシック三冠の主役級が\n『日本ダービー』から挑戦なんて……。\nほぼ前例がないんじゃないか？"
"","――ネオユニヴァースの大胆な決断により、\n春のトウインクル·シリースは\n一気に沸き立った。"
"","誰もが刺激を求めていた。\nそれはネオユニヴァース自身も同じで。"
"ネオユニヴァース","これまでと――違う、ね。\n“同乗者”が。"
"","シニア級の猛者たちが集うレースは、\nクラシックロードとは完全に顔ぶれが違う。"
"","中でも目を引く代表格は――"
"シンボリクリスエス","春秋グランプリ制覇――\n必ず遂行してみせる。"
"","前年度の年度代表ウマ娘。\n冷徹な任務遂行者『シンボリクリスエス』。\nそして――"
"タップダンスシチー","勇猛なタップを見せようじゃないか！\nチャンピオンに、そして挑み来る新星に！"
"","躍動する超ポジティブウマ娘\n『タップダンスシチー』。力強いステップで\n大舞台へと駆け上がってきた。"
"ネオユニヴァース","『ワクワク』する、ね……。\n中でも1番高揚させてくれるウマ娘は……。"
"","ネオユニヴァースは舞台の端に目を向ける。\nと、そこには……。"
"ヒシミラクル","え？あ～、わたし？"
"ヒシミラクル","や～、確かに\n『菊花賞』も『天皇賞(春)」も\n勝たせてもらったんですけど～。"
"ヒシミラクル","メチャスゴにラッキーだった感じだし～。\nまあ今回も、がんばりはしますけどね。"
"ゼンノロブロイ","トレーナーさん、あのウマ娘は\n昨年3人で一緒に観た……。"
"選択肢","ああ、ヒシミラクルだな"
"","昨年の『菊花賞』でミラクル勝利した、\nまさしく奇跡の申し子だった。"
"ネオユニヴァース","ヒシミラクル……。\n目視不可の“OZSR”牽引力……。"
"ネオユニヴァース","今日は“傍観”だけでなく\n“月面採取”したい……。"
"ヒシミラクル","え、なに？どういう意味～？\nわたし、国語はそんなに～……。"
"ネオユニヴァース","それとネオユニヴァースには、\nもうひとつ、したいことが……。"
"ネオユニヴァース","“食変光星”……“連星”の裏側。\nそれは――"
"ネオユニヴァース","あのウマ娘が知っている……。"
"アグネスデジタル","むは～☆トップウマ娘ちゃんの楽園ッ！！\nここはまさにッ、ヘヴンオブヘヴンズ！！"
"アグネスデジタル","え、え、ナンデスカ？怪しいモンじゃない\n「これでも出走者ですし。"
"アグネスデジタル","いや～長々と走っててよかった～。\n春のドリームレースを、真横の関係者席から\n拝ませてもらえるなんて♪"
"","『アグネスデジタル』。\n芝ダート問わない万能型の、\nウマ娘大好きウマ娘だ。"
"","ネオユニヴァースがアグネスデジタルの\nどこに惹かれているのかはわからない。\nが、気になる存在のようだ。"
"ネオユニヴァース","『宝塚記念』……すごい、ね……。\n七色の“引力”“斥力”が影響し合って……。"
"ネオユニヴァース","――“星々の饗宴”。この見知らぬ外宇宙で\n今日、ネオユニヴァースは……。"
