"タイトル","宝塚記念の後に・スパイダーリンク"
"実況","ゴール！！なんというレース！！\nなんという豪華な祭典！！"
"実況","全ウマ娘、力を出し切りました！\nまさしく手に汗握る、大熱戦！！"
"実況","相も変わらず魅せてくれたヒシミラクル！\n新星ネオユニヴァースも、\nさぞ、いい経験になったことでしょう。"
"ヒシミラクル","お疲れ～、ユニヴァースちゃん。\nや～、緊張したけど楽しかったね～。"
"ヒシミラクル","そっちはどうだった？\nまあ、わたしもわたしなりにはやったってか。"
"ネオユニヴァース","――“KELT”。"
"ネオユニヴァース","“KELT”……だね。\nマントルの形成層が……違う。"
"ネオユニヴァース","ネオユニヴァースは言うよ。\nヒシミラクルは……ミラクル。"
"ネオユニヴァース","この“太陽風”を受けて――"
"ヒシミラクル","むむむ、むずかしいね……。\nええと～……つまり～。"
"ヒシミラクル","でも、褒めてくれたってことかな！\nそこは合ってるよね？へへつ……。"
"アグネスデジタル","おおお……ッ！あのヒシミラクルさんと\nユニヴァースさんが……。"
"アグネスデジタル","“““わかり”””合っているッ！！！"
"アグネスデジタル","エモみッ、尊みッ、ダブルの極みッ！！\nこれですよ、これ！\nデジたんやファンが摂取したかったのは！"
"ネオユニヴァース","『つながり』が……“拡張”していく……。"
"ネオユニヴァース","“網状星雲”……細かな糸のように、\nひとりひとりに……。"
"ファンA","ありがとー！　ネオユニヴァース！\n『宝塚記念」に出てくれて！！"
"ファンB","おかげで楽しかったぞー！！！！\nネオユニ最高ー！！！"
"","その歓声を背に受けながら、\nネオユニヴァースの元へと駆けつける。"
"ネオユニヴァース","トレーナー……。"
"選択肢","お疲れ様、最高に盛り上がったな"
"ネオユニヴァース","ネオユニヴァースは……これをしたかった。"
"選択肢","“これ”？"
"ネオユニヴァース","そう……『おもしろい』をしたかった。"
"ネオユニヴァース","『つながる』のはウマ娘とだけじゃない。\n細い“REEN”が、空で弾け散ると――"
"ネオユニヴァース","みんなが『おもしろい』になるよ。"
"選択肢","そうか、楽しませたかったのか"
"","アグネスデジタルみたいな、\nウマ娘を愛するヒトたちを楽しませたい。"
"","それこそネオユニヴァースの中に\nひっそり芽生えた\n『つながり』の進化系なのかもしれない。"
"ネオユニヴァース","“MAZN”の笑顔……。\nとっても……とっても……。"
"ネオユニヴァース","スフィーラ――だね。"
"","こうして『宝塚記念』は終わり、\nネオユニヴァースは元のクラシックロードへ\n戻る。"
"","次は『菊花賞』。長距離でどこまでやれるか、\n試金石となるレースだが……。"
"ネオユニヴァース","秋も今回みたいに『おもしろい』に\nしたい……。でも……。"
"ネオユニヴァース","『菊花賞』はわからない。\nさらなる……隔壁が……。"
