"タイトル","夏合宿（2年目）にて"
"ネオユニヴァース","ふっ――！！"
"","夏合宿中、ネオユニヴァースは\nひたすら駆け続けた。"
"","追いすがる何かを振り払うように。\nそして――"
"","(ドドーン、サッパーン！)"
"ネオユニヴァース","トレーナー……\n“衛星”の引カ干渉が激しいね……。"
"ネオユニヴァース","そのせいで波が――『荒ぶって』いるよ。"
"選択肢","ああ、今日は荒れ気味だな"
"","休憩時間は、何かに惹かれるように、\nじっと海を眺めることが多かった。\nと、そこへ――"
"ファインモーション","わーつ、みんな、こっちこっち！\n波がすごく高いよ♪"
"","やってきたのは4人組。\nネオユニヴァースより、\nひとつ上の世代のウマ娘たち。"
"ファインモーション","ねえねえ！みんななら、この荒波を\nどんなふうに乗り越える？"
"タニノギムレット","……ククッ！　荒波……？\n“乗り越える”だと？"
"","『宝塚記念』で競ったウマ娘の他、\n王族の姫『ファインモーション』や\n破壊王『タニノギムレット』の姿もあった。"
"タニノギムレット","…ククッ！荒波は黎明の兆し。\n海神が喚き散らし、海が酩酊するなら·"
"タニノギムレット","蹴破るだけだ！砕けろ！白に散れ！\nベンテシキューメーは左手で抱いてやる！"
"タニノギムレット","だぁああああーーっ！！"
"シンボリクリスエス","荒波を……か。方法はシンプルだ。"
"シンボリクリスエス","ただ波間を――強い意志で進むのみ。"
"ファインモーション","私だったらボートを用意するかな。\n近くでチャーターするとか♪"
"ヒシミラクル","なるほどお。蹴っ飛ばす、突き進む、\n借りちゃう、どれも大変そうだから～。"
"ヒシミラクル","わたしは波が戻るときに、\nうまく乗ろっかなあ。へへへ……。"
"3人","……何ッ！？\n――なるほど\n……なるほどね！"
"","荒波の越え方もそれぞれ。\nそれを聞き、ネオユニヴァースは……。"
"ネオユニヴァース","“MAZY”だね。どの方法でも……\n潮汐力に抵抗できる。"
"ネオユニヴァース","波は越えられる。\nでも――"
"ネオユニヴァース","海そのものは――越えられない。"
"ネオユニヴァース","海を越えて、\nその“向こう”へ行くことは……。"
"","ネオユニヴァースは荒波の遥か彼方……\n水平線の方を静かに見ていた。"
"","――その夜。\n2人で海辺を歩きながら……。"
"ネオユニヴァース","トレーナー……。波を越えられても、\n海は越えられない。なら――"
"ネオユニヴァース","海の向こうの『ヒト』に違うには――\nどんな“メンタリティ”が必要？"
"","海の向こうのヒトに会つ。\nそのための必要なメンタル……。"
"","質問の動機はよくわからない。\nだが遠方のヒトと会うのに必要なのは……。"
#分岐開始
"選択肢","会いにいく行動力"
"ネオユニヴァース","会いにいく行動力……。\n“PERS”だね……。"
"ネオユニヴァース","でもネオユニヴァースは“疎外”される。\nどのルートにも“検問”があるから。"
"ネオユニヴァース","トレーナー……ネオユニヴァースには、ね。"
"ネオユニヴァース","ビジョンがあるんだ。\n“来訪”の幻視か。"
"選択肢","え、来訪の……げんし？\n"
"ネオユニヴァース","そう……。本当に“QOAX”なら――\n来てくれる。"
"ネオユニヴァース","でも幻視があるのは『わたし』だけ。\n幻視がなければ“軌道”は見えない。"
"ネオユニヴァース","“夏の扉”が開かなければ、\n秋は観られないんだ……。"
"ネオユニヴァース","ネオユニヴァースは観るよ。観られる。\nでも――"
"ネオユニヴァース","トレーナーは……『来て』くれる？"
"ネオユニヴァース","海の色も波の形もまだわからない。\n“うねり”の因果は変わるから。"
"ネオユニヴァース","それでも『来る』ことを望む？\nあるいは、ここで――"
"","氷のような2つの瞳が、\n湖の底を窺うように……こちらを見ている。"
"","――理屈で考えないことにした。\n奥底のニュアンスを脳髄で捉える。"
"","それがネオユニヴァースとの\nコンタクト法だった。だから……。"
"選択肢","行くよ"
"ネオユニヴァース","…………。"
"選択肢","行く。行きたいと望む"
"ネオユニヴァース","そう……。\n……スフィーラ。"
"ネオユニヴァース","……スフィーラ。\nでも……。"
"ネオユニヴァース","ネオユニヴァースは\n“グレート・ディヴァイディング”と\n仮定する。"
"ネオユニヴァース","来てくれなくても“判明”するだけ。\n“断絶”は――新生だから。"
"","意味はおそらく掴めていると思う。\nどこまでもネオユニヴァースと共に進むと\n夜の海に誓ったのだった。"
