"タイトル","菊花賞にむけて"
"","『日本ダービー』の時は\n台風の中、駆けつけた。\n今回も必ず乗り越えるつもりだった。"
"","しかし今度の障害は\n予想外の方向から降りかかってきた。"
"選択肢","え、免許の不備！？"
"URA事務委員","はい……。貴方のトレーナー登録書類に、\n重大な不備が見つかりまして……。"
"URA事務委員","協議もしたのですが……確認が済むまで、\n行動は制限されます。たとえばレース場での\nバックヤード入場など。"
"選択肢","そんな……！"
"","バックヤードに入れなければ――"
"","レース前のネオユニヴァースのケアが\nできない。もしそれが理由で、\n力を出し切れなかったら……。"
"","悔やんでも悔やみきれないことになる。\nどうして、こんなことが……。"
"ネオユニヴァース","トレーナーは――因果に阻まれる。\n『日本ダービー』以上。海が立ちはだかる。"
"","因果……。ネオユニヴァースが\n言っていたのは、このことなのだろうか。"
"","分断の海は――形を変えて\n今、自分たちの目の前に……。"
"駿川たづな","トレーナーさん！　お待たせしました！"
"駿川たづな","すみません、掛け合ったんですけれど、\n今回はどうしても無理ということで……。"
"駿川たづな","どうにか立ち入り可能なエリアだけで、\n対処してもらうことはできませんか？"
"駿川たづな","今回だけ我慢してもらえれば、次回からは\n大丈夫です。きっと解決できるはず……。"
"選択肢","飲めません！『菊花賞』は1度だけ"
"URA事務委員","落ち着いてください。\nもし無理に立ち入るようなことをすれば……。"
"URA事務委員","その時は、トレーナー免許の一時停止も\n免れませんよ？"
"URA事務委員","クラシック三冠とはいえ、\nたった1度の付き添いのために、\n今後を棒に振るつもりですか？"
"","1度だけ。そういう見方もできるかも\nしれない。だが……。"
"","ただの1度ではないのかもしれない。\nネオユニヴァースは言っていた……。"
"ネオユニヴァース","ネオユニヴァースは\n“グレート·ディヴァイディング”と\n仮定する。"
"","ここは大きな分岐点。\nすなわち――"
"","ネオユニヴァースと共に進むのか、\n別れるのか。\nそんな分かれ目なのかもしれない。"
"","――運命の境界線。自分には見えなくても、\nネオユニヴァースは見えると言っている。"
"","“ルール”が“心中”か。\nどちらかを選ばなければいけないなら"
"選択肢","失礼します！"
"","(ダダダダダ、バンッ！)"
"駿川たづな","トレーナーさん……。"
"ゼンノロブロイ","ユニさん……。\nあの……よろしくお願いします……。"
"ゼンノロブロイ","どうか……しましたか？　少し元気が……。"
"ネオユニヴァース","ネオユニヴァースに……未来は見えない。"
"ゼンノロブロイ","……え？"
"ネオユニヴァース","未来は――見えないんだ。\nネオユニヴァースに見えるのは……\n“星彩”だけ。でも――"
"ネオユニヴァース","その星明かりは\n数億年前に発せられたもの。"
"ネオユニヴァース","今もそこに星が在るのかはわからない。\n“FOBN”なのかも……。"
"ネオユニヴァース","だから……これでいい。\n来られなくても……。"
"ネオユニヴァース","あなたは『あなた』じゃない。\nもしくは――『あなた』ではなくなった。"
"ネオユニヴァース","ネオユニヴァースは進んでみるね。"
"ネオユニヴァース","せめて……ロブロイのために……。\nロブロイだけは――"
"選択肢","ネオ！！！！！！！！"
"ネオユニヴァース","――え！？"
"選択肢","ユニヴァース！来たぞ！"
"","周囲の目など気にしていられない。\nただ全力で叫び、存在を知らせる。"
"","――ただ1度。\nしかし、その1度を軽視すれば、\n運命に亀裂が入り、星は割れる。"
"","ルールより大切なものがあると、\nこれまでの絆が教えてくれた。"
"ネオユニヴァース","トレーナー……。トレ……。"
"ネオユニヴァース","やはり……『あなた』は……。"
"ゼンノロブロイ","ユニさん……！トレーナーさん、\n遅れていたんですね……。だから……。"
"ゼンノロブロイ","でもっ、もう大丈夫ですよね。\n私たちの『菊花賞』、全力で！"
"ネオユニヴァース","――うん。"
"","ゼンノロブロイとの再戦。\nさらに力をつけた英雄候補と競うには――"
"","こちらも盤石でなければならない。\n2人で流星になる覚悟だった。"
