"タイトル","菊花賞の後に・知性の三冠ウマ娘"
"","どんな障壁があろうとも、\n見届けたい瞬間があった。\nそう、それは"
"","全てを注ぎ込んだ聡明なウマ娘が\n新たな“三冠ウマ娘”となる瞬間。"
"実況","ネオユニヴァース！！\nバ群の壁を、暴風の壁を、そして今日、\n距離の壁を越えて、ついに三冠達成ー！！"
"実況","かつてのどの三冠ウマ娘とも違う、\n知性の覇者が、ここに誕生です！！"
"ネオユニヴァース","“MISM”……。成し遂げられなかった……。\n成し遂げられず“失意”をさせた……。"
"ネオユニヴァース","でも今日……。\nとっても……スフィーラ……。"
"","ネオユニヴァースの表情は歓喜……という\nより、どこかホッとしているように見えた。"
"ネオユニヴァース","トレーナー……。"
"選択肢","おめでとう、ユニヴァース……"
"","それ以上の言葉は必要なかった。\nここにたどり着くまで、どれほどの苦難が\nあったかはお互いにわかっている。"
"","ネオユニヴァースの蒼い瞳が\n全てを物語っていた。と、そこへ――"
"？？？","おめでとう、2人とも。"
"","祝福に来てくれたウマ娘たちがいた。\nその顔触れは……。"
"ミスターシービー","キミは優等生なんだね。\n絵に描いたような走り。けど――"
"ミスターシービー","それをやりきるには強い想いがいる。\nアタシにはできない走りだった。"
"ネオユニヴァース","ミスター……シービー……。"
"シンボリルドルフ","優等生というか……当意即妙に見えたな。\nいつも周りを観た上で、\n自分の立ち回りを考える……。"
"シンボリルドルフ","意志で押し切るのではなく、意志を合わせる。\n私もいい勉強をさせてもらったよ。"
"選択肢","シンボリルドルフ……"
"ナリタブライアン","ただ――強かった。それだけだ。\nいつか手合わせしたいほどにな。"
"","そしてナリタブライアン。\n歴代の三冠ウマ娘たちの祝辞を受けて……。"
"ネオユニヴァース","ネオユニヴァースは\n“L4”になれたんだね。\n『未知』の……グルーピング……。"
"ネオユニヴァース","これからは“併存”……だね。"
"","ネオユニヴァースは、新たな三冠ウマ娘と\nて、その責任の一角を担ってみせると\n誓ったのだった。"
#分岐終了
"","そして、その夜――"
"ネオユニヴァース","トレーナー、ネオユニヴァースは\n『気がかり」なんた。\nトレーナーの資格のこと……。"
"選択肢","ありがとう、その件なら……"
"","『どうにか解決した』と報告した。\nあくまで悪意はなかったということで……。"
"","訂正の末、今後は不問となった。\nURAから若干の温情もあったようだ。"
"ネオユニヴァース","そう……。\nなら“星間宙域”は――クリア。"
"","大きなトラブルを乗り越えたことにより、\n絆は一層強まったと感じる。この調子なら――"
"","迷いなく“GATE”『天皇賞(春)』に\n挑むことができそうだ。\nだがレースまでには、まだかなりの間がある。"
"ネオユニヴァース","トレーナー、ネオユニヴァースは……。"
"選択肢","『ジャパンカップ』はどうかな？"
"ネオユニヴァース","――？\n音波生成以前に……“コネクト”……。"
"","以心伝心。ネオユニヴァースの\n『天皇賞(春)」前にどこか走りたいという\n気持ちは伝わった。"
"","そして次走候補は……。"
"","今日の走りを見る限り、\n長距離はかなり負荷が高いように感じた。\nならば……。"
"","ギリギリ中距離の『ジャパンカップ』で、\nシニア級のウマ娘を相手に、\n経験を積ませるのがよさそうだ。"
"ネオユニヴァース","――アファーマティブ。ネオユニヴァースは\n賛同するよ。『ジャパンカップ』に。"
"ネオユニヴァース","そして、そのレースの終わりを\n“観測”したら――"
"ネオユニヴァース","ネオユニヴァースは――\n来年の展望を共有したい。"
"選択肢","来年の……展望？"
"ネオユニヴァース","そう、“GATE”と――その先について。"
"ネオユニヴァース","“GATE”後のネオユニヴァースについて\n話したい。"
"","……どうやら『ジャパンカップ』の後、\n重大な“未来予測”が明かされそうだった。"
