"タイトル","菊花賞の後に・相反する勝利"
"","たとえ将来を棒に振っても、悔いはない。\nクラシック三冠の最後に“次”はない。"
"","その締めの舞台で、ネオユニヴァースが\n勝利する姿を見られたのだから。"
"ネオユニヴァース","「菊花賞』……。“MISM”……。\n成し遂げられず“失意”をさせた……。"
"ネオユニヴァース","そのレースには勝てた。\nでも――"
"","ネオユニヴァースは勝利しつつも、\nなお深く思案しているようだった。"
"ネオユニヴァース","トレーナー、ネオユニヴァースは\n『応える』をしたかったんだ……どうしても。"
"選択肢","ああ、よくやったな"
"ゼンノロブロイ","おめでとうございます、ユニさん！"
"ネオユニヴァース","ありがとう――ゼンノロブロイ。"
"","無二のライバルの祝福の言葉を、\nネオユニヴァースは嬉しそうに受け取った。"
#分岐終了
"","そして、その夜――"
"ネオユニヴァース","トレーナー、ネオユニヴァースは\n『気がかり」なんた。\nトレーナーの資格のこと……。"
"選択肢","ありがとう、その件なら……"
"","『どうにか解決した』と報告した。\nあくまで悪意はなかったということで……。"
"","訂正の末、今後は不問となった。\nURAから若干の温情もあったようだ。"
"ネオユニヴァース","そう……。\nなら“星間宙域”は――クリア。"
"","大きなトラブルを乗り越えたことにより、\n絆は一層強まったと感じる。この調子なら――"
"","迷いなく“GATE”『天皇賞(春)』に\n挑むことができそうだ。\nだがレースまでには、まだかなりの間がある。"
"ネオユニヴァース","トレーナー、ネオユニヴァースは……。"
"選択肢","『ジャパンカップ』はどうかな？"
"ネオユニヴァース","――？\n音波生成以前に……“コネクト”……。"
"","以心伝心。ネオユニヴァースの\n『天皇賞(春)」前にどこか走りたいという\n気持ちは伝わった。"
"","そして次走候補は……。"
"","今日の走りを見る限り、\n長距離はかなり負荷が高いように感じた。\nならば……。"
"","ギリギリ中距離の『ジャパンカップ』で、\nシニア級のウマ娘を相手に、\n経験を積ませるのがよさそうだ。"
"ネオユニヴァース","――アファーマティブ。ネオユニヴァースは\n賛同するよ。『ジャパンカップ』に。"
"ネオユニヴァース","そして、そのレースの終わりを\n“観測”したら――"
"ネオユニヴァース","ネオユニヴァースは――\n来年の展望を共有したい。"
"選択肢","来年の……展望？"
"ネオユニヴァース","そう、“GATE”と――その先について。"
"ネオユニヴァース","“GATE”後のネオユニヴァースについて\n話したい。"
"","……どうやら『ジャパンカップ』の後、\n重大な“未来予測”が明かされそうだった。"
