"タイトル","菊花賞の後に・抗えない重力"
"","ネオユニヴァースとゼンノロブロイは\n共に持てるだけの力を発揮し、全力で駆けた。\nだが……。"
"ネオユニヴァース","ふう……ふう……。“危難の海”……。\n推進力が……。"
"ゼンノロブロイ","はあ、はあ、これが『菊花賞』……。\n勝てなかったのは悔しいですけれど、\nでも……。"
"ゼンノロブロイ","ユニさんと一緒に、クラシックロードの\n終章を紡げて、よかったですっ。"
"ネオユニヴァース","ゼンノロブロイ……。そうだね……。\nこの“交信”記録は――"
"ネオユニヴァース","――“合致”だから。"
"ネオユニヴァース"
"トレーナー、ネオユニヴァースは"
"『応える」ができなかった……。"
"選択肢","気にすることはないよ"
"","笑顔で答える。少なくとも、\nこうして一緒に挑めたのだから悔いはない。"
"ネオユニヴァース","ゼンノロブロイは『悔しい』を感じていた。\nでも――"
"ネオユニヴァース","ネオユニヴァースはそこまでじゃない。\nごれは“NUUK”だから。"
"選択肢","“NUUK”……？"
"ネオユニヴァース","そう『納得できる』と『したくない』。\n併存するね……。"
"ネオユニヴァース","ネオユニヴァースは“線”であり\nゆえに“点”。"
"","ネオユニヴァースはどことなく敗北との\n折り合いをつけられているようだった。"
#分岐終了
"","そして、その夜――"
"ネオユニヴァース","トレーナー、ネオユニヴァースは\n『気がかり」なんた。\nトレーナーの資格のこと……。"
"選択肢","ありがとう、その件なら……"
"","『どうにか解決した』と報告した。\nあくまで悪意はなかったということで……。"
"","訂正の末、今後は不問となった。\nURAから若干の温情もあったようだ。"
"ネオユニヴァース","そう……。\nなら“星間宙域”は――クリア。"
"","大きなトラブルを乗り越えたことにより、\n絆は一層強まったと感じる。この調子なら――"
"","迷いなく“GATE”『天皇賞(春)』に\n挑むことができそうだ。\nだがレースまでには、まだかなりの間がある。"
"ネオユニヴァース","トレーナー、ネオユニヴァースは……。"
"選択肢","『ジャパンカップ』はどうかな？"
"ネオユニヴァース","――？\n音波生成以前に……“コネクト”……。"
"","以心伝心。ネオユニヴァースの\n『天皇賞(春)」前にどこか走りたいという\n気持ちは伝わった。"
"","そして次走候補は……。"
"","今日の走りを見る限り、\n長距離はかなり負荷が高いように感じた。\nならば……。"
"","ギリギリ中距離の『ジャパンカップ』で、\nシニア級のウマ娘を相手に、\n経験を積ませるのがよさそうだ。"
"ネオユニヴァース","――アファーマティブ。ネオユニヴァースは\n賛同するよ。『ジャパンカップ』に。"
"ネオユニヴァース","そして、そのレースの終わりを\n“観測”したら――"
"ネオユニヴァース","ネオユニヴァースは――\n来年の展望を共有したい。"
"選択肢","来年の……展望？"
"ネオユニヴァース","そう、“GATE”と――その先について。"
"ネオユニヴァース","“GATE”後のネオユニヴァースについて\n話したい。"
"","……どうやら『ジャパンカップ』の後、\n重大な“未来予測”が明かされそうだった。"
