"タイトル","デビュー戦にむけて"
"ネオユニヴァース","トレーナー、ネオユニヴァースは\nようやく『つながる』ができる？"
"選択肢","ああ、メイクデビューに出走だ"
"","仕上がりは十分だった。元からの素養も\nあるし、初戦からかなり期待できる。"
"","提案したレースは芝1800m。\nネオユニヴァースにとって\n最適に近いと思える条件だが……。"
"ネオユニヴァース","――トレーナー。\nその“競合”……ネオユニヴァースは\n『よくない』を“想起”する。"
"ネオユニヴァース","……六合の違和が。\n出走したら――"
"ネオユニヴァース","――来る、よ。"
"選択肢","来るって……何が？"
"ネオユニヴァース","来るのは――"
"ネオユニヴァース","――“ZDAL”."
"選択肢","え……ゼダール？"
"ネオユニヴァース","“ZDAL”。“帯星の尾”が。\nだから……。"
"","その瞳に冷たい光が走る。何かを\nものすごい速度で計測しているような目……。"
"","どうして、ここまで警戒するのかわからない。\nしかし本人のモチベーションも考えたうえで、\n出走レースを変更することにした。"
"ネオユニヴァース","1600m……。ネオユニヴァースの\nエーテルとは……“乖離”だね。"
"","選んだのは芝1600mのマイル戦。\n確かに1800mのほうが、\nやや向いていそうだが……。"
"ネオユニヴァース","でも――“乖離”していても\n『シンクロ』はできるんだ。"
"ネオユニヴァース","“メネラオス谷”を越えて、\nはじめて『つながり』を……。"
"","周りを見回し、微笑むネオユニヴァース。\n他のウマ娘との会話はまだ多くない。\nだが……。"
"","走れば通じ合えるかもしれない。\nはたして初コンタクトは成功するだろうか。"
