"タイトル","ジャパンCにむけて"
"","――『ジャパンカップ』\nかつて『宝塚記念』で、シニア級ウマ娘に\n早すぎる挑戦をしたネオユニヴァースだが。"
"シンボリクリスエス","ネオユニヴァースか……。久しいな。\n今回は――イーブンだ。"
"タップダンスシチー","――ハハッ！　走りだけじゃなく、\nノリもよくなってるといいんだけど！"
"","その時に争ったライバルたちと\n再戦することになった。\nだが晴れの再戦とはいかず……。"
"","前日に降った雨のせいで、\nコースは“重バ場”。"
"","ネオユニヴァースは、濡れたバ場は\n決して苦手ではない。むしろ得意だが……。"
"ネオユニヴァース","――重バ場。\n重バ場……。"
"ネオユニヴァース","常に重みたいなバ場……。\nそれは――"
"ネオユニヴァース","――『凱旋門賞」\nあるいはイギリスの……。"
"ネオユニヴァース","海外のレース場……。プランがあった。\n――“GATE”の後に。"
"選択肢","……ユニヴァース？"
"","途切れ途切れの信号のような独り言。\n引っかかったのは“GATE”の後という言葉。"
"","そう、ネオユニヴァースは約束してくれた。\nレースが終わったら“GATE”後の\n“未来予測”について話す、と。"
"ネオユニヴァース","トレーナー、夢は……。"
"ネオユニヴァース","夢は……叶わな……かったんだ。"
"ネオユニヴァース","レース場は普遍。\nでも――"
"ネオユニヴァース","そこに――\nそこ――には――"
"選択肢","待った！"
"","思わず制止する。ネオユニヴァースの精神が\nみるみる凍っていくような感覚があったから。"
"選択肢","今はレースに集中して"
"ネオユニヴァース","――レース。……アファーマティブ。\nそう……だね。"
"ネオユニヴァース","シニア級混合レース……。\n前は外宇宙。でも今日は違う……。"
"ネオユニヴァース","ここは――ネオユニヴァースの宙域。"
"ネオユニヴァース","シンボリクリスエス……。\nタップダンスシチー……。\n“ランデブー”を……。"
"ネオユニヴァース","航路が重なるかはわからない。\nだから――"
"","思考遊泳から戻ってくるネオユニヴァース。\n全てはこの関門を打ち破ってからに\nすることにした。"
