"タイトル","ジャパンCの後に・明かされた“窓”"
"ネオユニヴァース","クラシック級『ジャパンカップ』……。\nこの結果……この集束は――"
"ネオユニヴァース","――“既知”。\nけれど――揺らぎがあるね。"
"ネオユニヴァース","もう少し“DROC”だった。\nあの時、ネオユニヴァースは――"
"ネオユニヴァース","――4着。\n勝利したのは……タップダンスシチー。"
"ネオユニヴァース","避けられないんだね。\nやっばりネオユニヴァースは――"
"","その夜、ネオユニヴァースと\n共に来た場所は――"
"","――トレセン学園の屋上。\nネオユニヴァースと\n初めて出会った場所だった。"
"ネオユニヴァース","トレーナー、“GATE”後の話をしたい。\n『飲み込む』はできなくても――"
"ネオユニヴァース","“FELT”を希望するよ。\nネオユニヴァースの永続的な“視界”を。"
"選択肢","ああ……"
"","ネオユニヴァースのその目には、\n一体、何が見えているのだろうか。"
"ネオユニヴァース","ネオユニヴァースに――未来は見えない。"
"ネオユニヴァース","これはゼンノロブロイにも話した。\n未来は“不可視”なんだ――誰にも。"
"","“未来予測”。そんなふうに呼んでいたが、\nやはり予知ではないようだ。"
"選択肢","“推測”してるってことだよな？"
"","予知ではなく、その知性により、\n目に見えるものから推測している。\nそれは、わかりきった話……。"
"ネオユニヴァース","――ネガティブ。\n推測でもない。"
"ネオユニヴァース","未来は見えない。\nでもネオユニヴァースには……。"
"ネオユニヴァース","“観測”できるものがある。"
"選択肢","“観測”って……何を？"
"","“推測”と“観測”は大きく違う。\nすなわち――"
"","たとえ未来は見えなくても、\n“別の何か”は見えているということ。\nでは見えているのは……。"
"ネオユニヴァース","ネオユニヴァースに見えるのは――"
"ネオユニヴァース","――別宇宙。"
"選択肢","別……宇宙！？"
"ネオユニヴァース","そう、別宇宙。\nそこには――"
"ネオユニヴァース","もうひとりのネオユニヴァースがいる。\n“DBER”あるいは“MUTX”……。"
"ネオユニヴァース","ネオユニヴァースは連なっているんだ、\n無限に。"
"ネオユニヴァース","その中の――1番近い『ひとり』が見える。"
"選択肢","もうひとりの……ネオユニヴァース……"
"","あまりに突飛な話だった。\nいきなり話されたら、誰も信じないような。\nだが……。"
"","自分とネオユニヴァースには蓄積があった。\n信頼の蓄積が。そして――"
"","実際に――見てきた。ネオユニヴァースが\nわかるはすもないことを的中させたところを。"
"","別宇宙。近いことが起きる世界を\n万が一、見られるのだとしたら……。"
"","――全てに説明がつく。"
"選択肢","見えるん……だな"
"ネオユニヴァース","――アファーマティブ。"
"選択肢","もし見えるんだとしたら――"
"","信じよう。\nそして大事なのは、この先だ。"
"選択肢","君は今後……どうなるんだ？"
"ネオユニヴァース","今後……。\n“GATE”の後……。"
"選択肢","そう、その話だ"
"","ネオユニヴァースは知っている。\n別宇宙の自分に、なにが起きたのかを。"
"ネオユニヴァース","別宇宙のネオユニヴァースは……。"
"ネオユニヴァース","『天皇賞(春)』に出た。\nそして――"
"ネオユニヴァース","――大敗する。\n10着だった。"
"ネオユニヴァース","レース後、様々な信号が交錯する。\n『紛れ』『限界点』『ロフテッド』……。"
"ネオユニヴァース","そして、その後、別宇宙の『ぼく』は\n“NIZR”する。すなわち――"
"ネオユニヴァース","――“いなくなる”。"
"選択肢","いなくなる……！？"
"","それは不可解な言葉だった。\n引退ならまだわかる。\nだがネオユニヴァースが使った言葉は……。"
"","――“いなくなる”。\n意味がボンヤリしていて、\n何が起きたのかわからない言葉だった。"
"ネオユニヴァース","ネオユニヴァースはいなくなる。\n“観測”できす、どうなったのかも見えない。"
"ネオユニヴァース","そうなる……は望まない。\nネオユニヴァースは“STRK”したいんだ。\n“GATE”を越えて――"
"ネオユニヴァース","存在したい……。\n“消失”したくない……。"
"","あたかも搔き消えてしまったかのように……。\nそれが本当なら、突破したいと\n切実に願うのも当然だった。"
"","――『天皇賞(春)』まで、あと半年。\nそれまでに真相を突き止めなければならない。"
"","背が冷たくなるのを感じながら、\nとりあえず、この後どうするかを\n話すことにした。"
"選択肢","次走はどこへ……？"
"","今までネオユニヴァースは、\n想定路線を避けるのではなく、\nより力強く進むことを選んできた。"
"","消失を回避するなら、路線はそのままで\nよりよい結果に挑む方がいいように思える。"
"ネオユニヴァース","『ジャパンカップ』の後、別宇宙の\nネオユニヴァースが進んだのは"
"ネオユニヴァース","――シニア級『大阪杯』。"
"","『大阪杯』\n来年の3月に行われる2000mのGIだ。"
"","距離的にも最適。なんの前情報もなくても、\n選んだであろうレース。"
"ネオユニヴァース","『大阪杯』。それが――\n向こうの『ぼく』たちの選択。そして――"
"ネオユニヴァース","トレーナーとの――最後の幸せな記憶。"
