"タイトル","“消失”についての検証"
"","――年の瀬。\n誰もが“年忘れ”を口にするなか……。"
"","決して忘れられない出来事があった。\nそれは――"
"ネオユニヴァース","――『天皇賞(春)』。\nユニヴァースは10着で大敗する。\nそして――"
"ネオユニヴァース","“NIZR”.\n“いなく”なる。"
"","あまりに強烈すぎて、\n片時も頭から離れない記憶。"
"","別宇宙で、ネオユニヴァースは\n『天皇賞(春)』後に\nいなくなってしまう……。"
"","だがウマ娘が突然消えるなんてありえない。\nありえるはすがない。"
"","考えられるのは……。"
"ウマ娘のカフェ店員","ありがとうございましたー\nまたのご来店、お待ちしています♪"
"","――“引退”。\nこれならありうる。"
"","不振に陥ったウマ娘が引退し、\n普通の暮らしに戻ることはよくある。\n他には――"
"","(ガタンゴトン、ガタンゴトン……)"
"","――“失踪”。考えたくはないが、\nこれもありうる。"
"","勝てない自分に嫌気がさして、競走生活から\n逃げたくなる。そんなウマ娘もいるだろう。"
"","だが……どうもピンとこない。\nネオユニヴァースが“いなくなる”と言った\n声の暗さを考えると、重さが足りない。"
"","図書室で次から次へと文献をあさる。\n仮説でもいいから、何か手掛かりは……。"
"ゼンノロブロイ","あの……トレーナーさん。\nなにかお探しですか？"
"選択肢","ゼンノロブロイ……"
"ゼンノロブロイ","お邪魔でしたらすみませんっ。でもその……\nもしお役に立てることがあればと思って。"
"","調べ物をしていると、いつも\nゼンノロブロイは助け船を出してくれる。"
"","……詳細は伏せたまま、\n相談することにした。"
"ゼンノロブロイ","別宇宙の存在の消失……ですか。\nすごいですね、そんなことに\n興味があるなんて……。"
"ゼンノロブロイ","でも、そういうSF小説は昔からありますし、\n最近は映画にも出てきますものね。"
"選択肢","見解を聞かせてくれる？"
"ゼンノロブロイ","そう……ですね。別宇宙とはいっても、\n相似の世界なら、法則は同じ……。"
"ゼンノロブロイ","この世界で起きないことは、\n別宇宙でも起きないと思います。\n誰かが消えるなんて、ありえないかと。"
"選択肢","そうか……"
"","やはり起きえない。たくさんの本に\n精通しているゼンノロブロイが言うなら、\nそうなのだろう。"
"ゼンノロブロイ","ただ……。"
"ゼンノロブロイ","消えることはありえなくても\n“消えたように感じる”ことは\nあるかもしれませんね。"
"選択肢","……どういうこと？"
"ゼンノロブロイ","つまり、こういうことです。仮に、\n別宇宙の出来事を観察できるとすると……。"
"ゼンノロブロイ","元宇宙から見ている者は“なにか”を通して、\n観察していることになりますよね？"
"ゼンノロブロイ","たとえば“現き窓”や“ワームホール”。\nこういうのって、トレーナーの座学で\nやりますか？"
"選択肢","……やらないな"
"","もっばらスポーツ学やスボーツ医学ばかりで\n宇宙科学もどきは、まったく教わらなかった。"
"ゼンノロブロイ","“なにか”を通して見る……ということは\nその“なにか”の影響を\nいつも受けることになります。"
"ゼンノロブロイ","その影響によって、消失したように\n見えることもあるのではないでしょうか？\nたとえば……。"
"ゼンノロブロイ","曇りガラスを通して見たら、\n世界全体が曇って見えますよね？"
"ゼンノロブロイ","別宇宙は曇っていなくても、\n観察する側からすれば、\n曇っているようにしか見えないんです。"
"選択肢","なるほど……"
"","少しだけわかった気がした。たまたま、\nそのフィルターに引っかかってしまえば、\n存在するのに見えなくなるものもある。"
"","さすがはゼンノロブロイ。\nかなりの博識だった。"
"ゼンノロブロイ","トレーナーさん、あの……。\nもしかして、なのですけれども……。"
"ゼンノロブロイ","ユニさん……のことですか？"
"選択肢","え！？どうして！？"
"ゼンノロブロイ","いえっ、心当たりがあるわけではないんです。\nただ……！"
"ゼンノロブロイ","トレーナーさんがそんなに真剣になるのは、\nユニさんのことだからじゃないかなって。"
"ゼンノロブロイ","頑張ってくださいね。\n私……ユニさんやトレーナーさんと……。"
"ゼンノロブロイ","いつまでも変わらずに走りたいって\n思っています。大好きなユニさんを\n助けてあげてくれたら……。"
"選択肢","ああ、任せておいて"
"","笑顔で約束し、図書室を後にした。"
"","今年の物語はこうして終わり、\nそしてまた新しい物語の扉が開く。\nだが――"
"","確信があった。ネオユニヴァースの物語は、\n来年こそがもっとも重大な章となる。"
