"タイトル","福引チャンス！(特賞)"
"","夕暮れ時。トワイライト色の町を\nネオユニヴァースと歩いていると――"
"ネオユニヴァース","トレーナー……。\n前方に――『ヒト』の渦が。"
"ネオユニヴァース","射出される球状の物体に\n『ワイワイ』している、ね。これは……。"
"","抽象的な言葉だったが、つまりは――"
"商店街の人","さあさ、新春·大福引祭り開催中だよ～！\n特賞はなんと『温泉旅行券』！"
"商店街の人","1等は『特上にんじんハンバーグ』\n2等は『にんじん山盛り』\n3等は『にんじん1本』！"
"商店街の人","さあさ、楽しい楽しい福引だよ！\nそこのアンテナ立ってるウマ娘さん、\nやっていかないかい？"
"ネオユニヴァース","フクビキ……。運勢を定量化して\n『ガラガラボン』だね。"
"ネオユニヴァース","エントリーチケットは――"
"選択肢","ここにある、1枚だけな"
"","貴重な1枚を、商店街のおじさんに渡す。\nこれでもう流れは不可逆だ。"
"ネオユニヴァース","チャンスは1度……。\nネオユニヴァースのエナジーは限定的。\nでも――"
"ネオユニヴァース","“EXAL”たちの意思と、\nトレーナーのチカラを合わせれば……。"
"","ネオユニヴァースがカを集積し、\n抽選器へと誘導。その勢いを受けて、\n2人でレバーを回す！"
"","旋回する銀河。\n弾き出される恒星は――何等星か？"
#分岐開始
"商店街の人","なんとっ！おめでとうございまぁぁぁす！！\n特賞『温泉旅行券』、出ましたあ～～～～！！"
"","『温泉旅行券』を獲得した"
"ネオユニヴァース","……………………！！"
"ネオユニヴァース","“ケフェウス級”の……恒星が……。"
"ネオユニヴァース","トレーナー、その券で、\n施設への滞在は許可される。だから……。"
"ネオユニヴァース","『温泉旅行』に――出立。"
"","（ブゥン）"
"","ネオユニヴァースの姿が……\n忽然と見えなくなった。"
"","（シュゥゥゥン）"
"ネオユニヴァース","どうして……来ないの？"
"選択肢","いや、無理だから！"
"","瞬間移動した……ように見えたけど、\nそんなわけはない。そしてもちろん、\nついていくこともできない。"
"選択肢","温泉がどんなところかは知ってるのか？"
"ネオユニヴァース","その構造は……把握だね。\nつまり『温泉』は――"
"ネオユニヴァース","この星の中心。その表層にあたる\n上部マントルで熱せられた『水』が……。"
"ネオユニヴァース","1度沈殿し、様々な成分と共に……\n地表へと噴出する。つまり――"
"ネオユニヴァース","……『楽しい』になるよ。"
"選択肢","そ、そうか……"
"","説明から『楽しい』までが\nすいぶん飛躍していたか、\n楽しみにしてくれていることは確かなようだ。"
"ネオユニヴァース","トレーナー、ネオユニヴァースには\n“周期”が見える、よ。"
"ネオユニヴァース","『わたし」たちは来年3月に“同期”できる。\nだから、そこまでに……。"
"ネオユニヴァース","もっと速度を増して、同調を――\n"
"選択肢","ああ、頑張って結果を残そう"
"","好成績あってこその温泉旅行。\nネオユニヴァースは未来に向けて、\nさらに加速するのだった。"
