"タイトル","福引チャンス！(2等賞)"
"","夕暮れ時。トワイライト色の町を\nネオユニヴァースと歩いていると――"
"ネオユニヴァース","トレーナー……。\n前方に――『ヒト』の渦が。"
"ネオユニヴァース","射出される球状の物体に\n『ワイワイ』している、ね。これは……。"
"","抽象的な言葉だったが、つまりは――"
"商店街の人","さあさ、新春·大福引祭り開催中だよ～！\n特賞はなんと『温泉旅行券』！"
"商店街の人","1等は『特上にんじんハンバーグ』\n2等は『にんじん山盛り』\n3等は『にんじん1本』！"
"商店街の人","さあさ、楽しい楽しい福引だよ！\nそこのアンテナ立ってるウマ娘さん、\nやっていかないかい？"
"ネオユニヴァース","フクビキ……。運勢を定量化して\n『ガラガラボン』だね。"
"ネオユニヴァース","エントリーチケットは――"
"選択肢","ここにある、1枚だけな"
"","貴重な1枚を、商店街のおじさんに渡す。\nこれでもう流れは不可逆だ。"
"ネオユニヴァース","チャンスは1度……。\nネオユニヴァースのエナジーは限定的。\nでも――"
"ネオユニヴァース","“EXAL”たちの意思と、\nトレーナーのチカラを合わせれば……。"
"","ネオユニヴァースがカを集積し、\n抽選器へと誘導。その勢いを受けて、\n2人でレバーを回す！"
"","旋回する銀河。\n弾き出される恒星は――何等星か？"
#分岐開始
"商店街の人","2等賞～！！\n賞品は『にんじん山盛り』です！"
"","『にんじん山盛り』を獲得した"
"ネオユニヴァース","にんじん――山盛り。\n天文学的な数……。"
"ネオユニヴァース","トレーナー、このにんじんの数だけ"
"ネオユニヴァース","“EXAL”たちは存在するね。"
"選択肢","そうなんだ……"
"","なんだ、としか言えない。\nこうだと言われれば。そして――"
"","ネオユニヴァースに誘われるままに、\nそのにんじんの山を持って、\n夜の小高い場所へとやってきた。"
"ネオユニヴァース","ここならば……。\n全ての“EXAL”に\n1本すつ届けられる……。"
"ネオユニヴァース","トレーナー、“ノイズ”にならないよう、\n目を閉じていて。"
"選択肢","ああ、わかった"
"","言われるままに目を閉じ、\nそして再び目を開くと……。"
"","にんじんは……綺麗に消えていた。\nまるで宙に吸い上げられたように。"
"選択肢","本当に持っていったのか？"
"ネオユニヴァース","持っていったというか、\nネオユニヴァースが“捧げた”。\nそして“捧げ”終わった後は――"
"ネオユニヴァース","自分で食べる、をしたよ。\n『お腹がいっばい』なんだ……。"
"選択肢","そ、そうか……"
"","捧げた後に食べる……。\n限りなくお供えに近い儀式により、\nネオユニヴァースは栄養を獲得したのだった。"
