"タイトル","福引チャンス！(はずれ)"
"","夕暮れ時。トワイライト色の町を\nネオユニヴァースと歩いていると――"
"ネオユニヴァース","トレーナー……。\n前方に――『ヒト』の渦が。"
"ネオユニヴァース","射出される球状の物体に\n『ワイワイ』している、ね。これは……。"
"","抽象的な言葉だったが、つまりは――"
"商店街の人","さあさ、新春·大福引祭り開催中だよ～！\n特賞はなんと『温泉旅行券』！"
"商店街の人","1等は『特上にんじんハンバーグ』\n2等は『にんじん山盛り』\n3等は『にんじん1本』！"
"商店街の人","さあさ、楽しい楽しい福引だよ！\nそこのアンテナ立ってるウマ娘さん、\nやっていかないかい？"
"ネオユニヴァース","フクビキ……。運勢を定量化して\n『ガラガラボン』だね。"
"ネオユニヴァース","エントリーチケットは――"
"選択肢","ここにある、1枚だけな"
"","貴重な1枚を、商店街のおじさんに渡す。\nこれでもう流れは不可逆だ。"
"ネオユニヴァース","チャンスは1度……。\nネオユニヴァースのエナジーは限定的。\nでも――"
"ネオユニヴァース","“EXAL”たちの意思と、\nトレーナーのチカラを合わせれば……。"
"","ネオユニヴァースがカを集積し、\n抽選器へと誘導。その勢いを受けて、\n2人でレバーを回す！"
"","旋回する銀河。\n弾き出される恒星は――何等星か？"
#分岐開始
"商店街の人","残念、はずれ！\n参加賞は『ティッシュ』だよ～。"
"","『ティッシュ』を獲得した"
"ネオユニヴァース","テイ、シュー……。ティッシュ……。\nこの紙片は……。"
"ネオユニヴァース","刻まれたサインが……見える……。\nこれは……。"
"","ネオユニヴァースはうなされたように、\n何かを語り始めた。"
"ネオユニヴァース","黄面の――闘将……。虜に……。\nスマ、ト……に……。"
"ネオユニヴァース","眩いほどの輝きは……受けつが……。\nロ……。ロ……？"
"ネオユニヴァース","はあ、はあ……ネオユニヴァースは……\n“禁忌”を見たよ……。"
"ネオユニヴァース","――長方形の立体物。\nあれは……。"
"","信じられないほど疲れ果てている。\n残念賞は思った以上のマイナスを\nネオユニヴァースにもたらした。"
