"タイトル","大阪杯にむけて"
"ネオユニヴァース","『大阪杯』……。ネオユニヴァースに\nとても“JYVE”だね。"
"ネオユニヴァース","“惑星食”がかかっていないんだ。\n――どの準惑星にも小天体にも。"
"選択肢","ああ、条件はピッタリだな"
"","芝2000m。ネオユニヴァースにもっとも合う\n条件のひとつだ。"
"","希望に満ちた表情を見ながらも浮かぶのは\n……やはり例の消失問題についてだった。"
"ネオユニヴァース","――『天皇賞(春)』。\nネオユニヴァースは10着で大敗する。\nそして――"
"ネオユニヴァース","“NIZR”。\n“いなく”なる。"
"","刻一刻と迫る――“消失”の時。\nしかし、やはり急に消えるというのは……。"
"選択肢","どう考えてもおかしい……"
"","物理的に不自然なのに加えて、\nさらに違和感があるのは……。"
"選択肢","なあ、消失の瞬間は見えないんだよな？"
"ネオユニヴァース","瞬間……。"
"ネオユニヴァース","――アファーマティブ。そう。"
"","消えるなら、消える瞬間に何が起きたのか、\n見えてもいいはず。なのに見えない。"
"","少なくとも、ひとつだけハッキリしている\nことがあった。それは……。"
"","“レース中の事故ではない”こと。"
"","ネオユニヴァースの話によると\n『天皇賞(春)』は10着だったらしい。\n完走は、しっかり果たしている。"
"","さらにはレース後……。"
"選択肢","休養や引退する姿も見えないんだよな？"
"ネオユニヴァース","……アファーマティブ。"
"","ネオユニヴァースの姿は、\n本当に唐突に見えなくなる。まさに“消失”。"
"","――謎は深まる一方だ。\nいったんネオユニヴァース本人から離れ、\n全体に目を向けると……。"
"選択肢","“大王”と“特異点”についてだけど"
"ネオユニヴァース","“大王”と“特異点”…\n消失後に頭現する2個体……。"
"選択肢","それは見えるんだよな？"
"ネオユニヴァース","――見える。"
"","消失後に現れる脅威についても、\nネオユニヴァースには見えている。"
"","いや、この2個体ばかりだけではない。"
"","ゼンノロブロイのその後についても、\n見えている。"
"","次世代の大波に飲まれると。\nなのに……。"
"","ネオユニヴァースの姿だけが見えない。\nとすると原因はおそらく……。"
"選択肢","“フィルター”か"
"","ゼンノロブロイは言っていた。\n覗き窓が曇っていたら、たとえ存在しても\n見えなくなることはある、と。"
"","この場合、その“覗き窓”に当たるのは……。"
"ネオユニヴァース","――――"
"","ネオユニヴァースの目。\nこの――蒼い瞳。"
"","別宇宙を現ける唯一の窓口。\nその経路で、情報が遮断されている。"
"","では――なぜ？\nなぜネオユニヴァースの目に\nネオユニヴァースだけが見えないのか？"
"","しかも、ずっと見えないわけではない。\n『天皇賞(春)』の後、急に見えなくなる。"
"","何かある……。何かが起きる……。\nネオユニヴァースの内宇宙に、\n何か原因が……。"
"ネオユニヴァース","トレーナー、ネオユニヴァースは行くね。"
"ネオユニヴァース","“GATE”に向けて加速したいんだ。\nそれから――幸せの“FELT”を。"
"ネオユニヴァース","逃せば『さみしい』になるよ。\n“誘導灯”は遠ざかる。"
"ネオユニヴァース","――――"
"","パドックへと歩むその背を\n見送りながら……。"
"選択肢","ユニヴァース……？"
"","妙な気持ちが沸き上がった。\nこの感覚――この期待感は"
"","――既知。いや、知っているはすはない。\nでも、どこか懐かしく感じる……。"
"","あるいはネオユニヴァースの存在が、\nもうひとつの宇宙にもいるのなら……。"
"選択肢","いるのか？“自分”も"
"","――久々の勝利を目指すネオユニヴァース。\nその挑戦を支える誰か……。"
"","つまり“自分”のような存在が、別宇宙にも\nいるのかもしれない。その想いが……。"
"","流れ込んでくるような気がした。\nネオユニヴァースを通じて。"
"","認識できるはすがない。\nそれでも――"
"","かすかに感じた。もうひとつの宇宙にある、\n同じ方向を目指す“意志”を。"
