"タイトル","大阪杯の後に・運命の渦動へ"
"ネオユニヴァース","“SERR”……。\nネオユニヴァースの“SERR”……。"
"ネオユニヴァース","――ネガティブ。\n『わたし』たちの“SERR”……。"
"ネオユニヴァース","“軌道”は――戻りつつある。"
"ネオユニヴァース","此処から、あるいは――"
"","レースを終えたネオユニヴァース\nとても嬉しそうに見えた……。"
"","まるで懐かしい宝物を取り戻したかのように。"
"ネオユニヴァース","トレーナー、“KERB”は\n“分かち難い”んだね……。"
"ネオユニヴァース","ネオユニヴァースは“リバイブ”できたんだ。\nとても……“DIGG”……."
"ネオユニヴァース","だから……“ひとつ”に。"
"選択肢","ああ……"
"","不思議な感覚だった。ネオユニヴァースの\n言葉にできない嬉しさが全て伝わってくる。"
"","気持ちと気持ちが直接繋がったような。\nそして――"
"","この願い……祈り……共生は……\n今、ここだけで生まれたものではない気も\nする。"
"","どの宇宙にも強くある願い――"
"","『このまま共に――走り続けられたら』。"
"","その夜――次走についての\n長い長い協議が行われた。"
"","運命の“GATE”『天皇賞(春)』まで\n1か月半。決断の時だった。"
"ネオユニヴァース","トレーナー、ネオユニヴァースは“俎上”に\n載せるよ。『天皇賞(春)』を――"
"ネオユニヴァース","迂回――はありえるか。"
"","迂回……。すなわち出走しない選択。\nレースそのものを避け、消失する未来から\n逃げるのはアリかナシか。"
"","だが……。"
"選択肢","それで避けられるかはわからないよな"
"ネオユニヴァース","…………。"
"","ネオユニヴァースも同じことを感じていた\nようだ。そんな小手先の方法で\n消失を回避できるかはわからない。"
"","ウマ娘である以上、レースから逃げ続ける\nわけにもいかない。仮に自分は守れても――"
"","ゼンノロブロイを救うことはできない。\n次世代に飲まれてしまうだろう。"
"ネオユニヴァース","トレーナー、ネオユニヴァースはもう――\n別宇宙とは違うんだ。"
"ネオユニヴァース","今の推進力なら、あるいは……。"
"選択肢","賭けにはなるな"
"","保証はない。成功、失敗、どちらの保証も。\nだが――"
"","成功の可能性を増やす努力は、まだできる。\n『天皇賞(春)」まで1か月半あるのだから。"
"選択肢","ユニヴァース、話があるんだ"
"","例の話を打ち明けた。消失したのではなく、\n単に見えないだけの可能性について。"
"","ネオユニヴァースは意外そうだった。\nそして――"
"ネオユニヴァース","その可能性は『ありえなくもない』だね……。\nそうだとしても――"
"ネオユニヴァース","――“ノイズ”の根源。\n“ジェイムズ·ウェッブのヒビ”を\n確かめたい。"
"","言うことはもっともだった。残された時間で、\n謎は解明しないといけない。そのうえで――"
"選択肢","行こうか、ユニヴァース"
"ネオユニヴァース","い……く……。"
"選択肢","ああ、“GATE”へ"
"","やることはやった。尽くすべき努力は\n全てしてきた実感はあった。"
"","あらゆる準備をしたなら、勝負するしかない。\nそれはレースも人生も同じだった。"
"ネオユニヴァース","――アファーマティブ。"
"ネオユニヴァース","ネオユニヴァースは今日まで\n満ち足りていたんだ。だから……。"
"ネオユニヴァース","――行きたい。"
"ネオユニヴァース","行って……突破したい。\n“GATE”『天皇賞(春)』を2人で。"
