"タイトル","天皇賞（春）にむけて"
"","“GATE”『天皇賞(春)。\nすっと目指してきた――最大の関門。"
"","この日を境に、ネオユニヴァースは\n消失しかねない。そう思い、準備してきた。\nしかし――"
"ネオユニヴァース","トレーナー、ネオユニヴァースは\n“確信”しているよ。"
"ネオユニヴァース","本当の“GATE”は――"
"選択肢","ああ……この後だ"
"","別宇宙のネオユニヴァースは、レース中では\nなく、“レース後から夏まで”の間の\nどこかで大きく頓挫する。"
"","ならば、この『天皇賞(春)』は偽りの門。\n避ける必要はないし、避けてはいけない。"
"ネオユニヴァース","ネオユニヴァースは――\n定常的にリンクし続ける。"
"ネオユニヴァース","“大王”と“特異点”は来る。\nだから――"
"ゼンノロブロイ","ユニさん……\nあらためて、よろしくお願いします。"
"ゼンノロブロイ","去年は追う立場でした。\nでも今年は……！"
"ネオユニヴァース","ゼンノロブロイ、ネオユニヴァースは、\nすっと『寄り添う」をしたい。"
"ネオユニヴァース","未来はまだ――併存している。\n可であり、不可……。"
"ネオユニヴァース","“NIZR”は……繰り返さない。\n繰り返したくない。でも――"
"ネオユニヴァース","不可でも――“遺したい”んだ。"
"","別宇宙では、最後の対戦となったレース。\nこの宇宙ではどうなるかわからない。"
"","そして……絶対に何も起きないとも限らない。\n最後まで油断せす、2人の激突を\n見守ることにした。"
