"タイトル","デビュー戦の後に・初リンク＆ニアミス"
"ネオユニヴァース","ふう……はぁ……。\nリンク――確立。"
"ネオユニヴァース","ネオユニヴァースたちの目指す座標は……\nみな……同じ……。"
"一緒に走ったウマ娘","お疲れ様！ネオユニヴァース……だっけ？\nいい走りだったね！"
"ネオユニヴァース","あ……能動的……発信。"
"ネオユニヴァース","ネオユニヴァースは――“求めて”いた。\n交流、共感、つまりは――相乗……。"
"一緒に走ったウマ娘","そ、そう……何言ってんのかわかんないけど、\nまたね！"
"ネオユニヴァース","……リンク……切断。"
"ネオユニヴァース","でも……“再コネクト”は可能。\n“符牒”は……合致。"
"ネオユニヴァース","トレーナー。ネオユニヴァースは\n“触れ合い”をした。"
"ネオユニヴァース","接続時間は……0.02。\nでも……とっても“METI”なんだ。"
"","ネオユニヴァースの報告は難解だった。\nだが……。"
"","『接続時間』は秒数ではなく独自の体感。\n“METI”は喜びに近い感情……であることは\n理解できる。"
"選択肢","そうか、よかったな"
"","そして走りはとてもよかった。\nネオユニヴァースは、ウマ娘として\nほぼ完ぺきな素養を持っている。"
"","今のところ弱点はない。\n強いていえば……。"
"ネオユニヴァース","この……“ドップラー”は……。"
"","弱点は――普通の言葉を話せないことくらい。\nしかし、それがレース活動の\n大きなマイナスになる心配は……。"
"","（おおおおおおお……）"
"ネオユニヴァース","――？"
"選択肢","何だ、今の歓声は？"
"","コースの方から大きなどよめきが聞こえた。\n気になって外へ出てみると……。"
"ゼンノロブロイ","あ、トレーナーさん、ユニさん！\n見ましたか、今の……！？"
"選択肢","ロブロイ、何かあったのか？"
"ゼンノロブロイ","すごい勝ち方をしたウマ娘がいてっ。\nそのレースは……。"
"ゼンノロブロイ","メイクデビュー、芝1800m……。\n勝ったウマ娘は……。"
"エアグルーヴ","ふむ、メイクデビューとしては上々だったな。\nレース運びも落ち着いていた。"
"エアグルーヴ","だが本番はここからだ。\nはたして上で、どこまでやれるか。"
"エアグルーヴ","ん、ネオユニヴァースか。\n先ほどは素晴らしい走りだったな。\nデビューおめでとう。"
"エアグルーヴ","欲を言えば、直接対決が見たかったな。\n今、勝利した“母の愛弟子”と。"
"選択肢","愛弟子……じゃあレースで勝ったのは……"
"エアグルーヴ","ああ、母の教え子だ。母は現役を退いた後、\nスクールを運営し、ウマ娘たちに\n走りを教えているからな。"
"エアグルーヴ","学園では母に代わり、\n私がアドバイサーを務めている。\n今勝ったのは、私が面倒を見ている1人だ。"
"","このウマ娘は『エアグルーヴ』。\n生徒会副会長で、その理想の高さと強さから\n“女帝”と呼ばれている。"
"","その教え子が、ネオユニヴァースの\n出走予定だった1800mのレースに出ていた。\nもし対戦していたら……。"
"ネオユニヴァース","本当なら……もう1日後のはすだった。"
"ネオユニヴァース","『それ』は『わたし』の“軌道”を遮り、\n前へ……。リンクは――不確立。"
"ネオユニヴァース","“記されて”いた……。\n――“ZDAL”来訪は。"
"選択肢","――！？"
"","“ZDAL”……。その言葉が\n指し示していたのは、強力なライバルの存在。"
"","もし一緒に走っていたら……\n軽くひねられていたかもしれない。"
"エアグルーヴ","彼女はトリプルティアラ路線に進みたいと\n言っている。そちらと緑があるかは\nわからないが……。"
"エアグルーヴ","また会おう、ネオユニヴァースと\nそのトレーナー。共に研鑽を。"
"","そして――その夜。"
"ネオユニヴァース","トレーナー。『メイクテビュー』オーバー。\nこの後、ネオユニヴァースは――"
"選択肢","ごめん、ユニヴァース……"
"ネオユニヴァース","…………？"
"","まず謝る。トレーナーとして、\n今回の判断はあまりに後手後手だった……。"
"","ユニヴァースはおそらく出走リストを見て\n危険を感じ……レース変更を提案してきた。"
"","しかしそれを自分は漠然と呑んでしまった。\nその言葉の真意や理由を\n深く理解しないままに。"
"","――強敵との、あわやのニアミス。\nこの程度の理解度では、\nこの先、到底乗り切れない……。"
"ネオユニヴァース","トレーナー……。"
"選択肢","もっと理解してみせるから"
"","相性はいいはず。\nだがそれに甘んじてはいけない。\nもっと意思疎通できるようにならなければ。"
"ネオユニヴァース","トレーナー、ネオユニヴァースも――同じ。\n理解したい。"
"ネオユニヴァース","あなたを……もっと……。\n“SITL”あるいは……。"
"","ネオユニヴァースもしゅんとしている。\nうまく伝えきれなかったことを\n後悔しているようだ。"
"","――契約は結んだ。だが心は\nまだドッキングできていない。ならば――"
"選択肢","年内は“同調”に専念しよう"
"ネオユニヴァース","同……調……？"
"選択肢","ああ、レース活動を通じて、わかり合おう"
"","ネオユニヴァースとたくさん対話する。\nそして他のウマ娘とたくさん対話させる。"
"","ネオユニヴァースのしたいことをさせながら、\n来年に向けての準備期間にあてるとしよう。"
"ネオユニヴァース","――アファーマティブ、トレーナー。\nネオユニヴァースも……『賛成』。"
"ネオユニヴァース","レースに“MAZN”――だね。"
"","こうして方針は決まった。年末まで、\nレース経験をいくつか積ませるとしよう。"
