"タイトル","天皇賞（春）の後に・“GATE”突入"
"","ウマ娘にとって、レース結果は何より重要。\nだが――"
"ネオユニヴァース","トレーナー、対向車線に来るよ。\n……“コマンダー”のみ、だね。"
"選択肢","タクシー！"
"","今日だけ結果より重要なことがある。\nネオユニヴァースと向かった先は――"
"","（ウィィィィィン）"
"医者","お待たせしました。\nレントゲンの結果ですが"
"医者","“異常なし”ですね。"
"選択肢","どこにも、ですか？"
"医者","ええ、骨にも関節にも、\nおかしなところはありません。"
"医者","ネオユニヴァースさん、\nどこかに違和感でも？"
"ネオユニヴァース","違和感は……。"
"ネオユニヴァース","――“NOST”。\nネオユニヴァースは“平常航行”だね。"
"","そこまで聞いて、やっと肩から力が抜ける。"
"","『天皇賞(春)」を無事乗り切った。\nこれでようやく真の“GATE”へと向かえる。"
"ネオユニヴァース","トレーナー、次の“針路”は――"
"ネオユニヴァース","『宝塚記念』が最適だね。\n“居住条件”も“インターバル”も\n理想に近い。"
"ネオユニヴァース","でも、その遷移の中で――"
"","『宝塚記念」へ向かう途中で、\n別宇宙のネオユニヴァースは\n深刻なケガを負ってしまった。"
"","今までは軌道を変えずにきた。\nだが、この先は……。"
"","――ここよりネオユニヴァースとの旅は、\n未知の宙域に入る。"
"","『宝塚記念』が向くのはわかっている。\nわかっているが、あえて――"
"選択肢","夏への扉を開けようか"
"ネオユニヴァース","夏への扉――\n春はこのまま、やり過ごして……。"
"ネオユニヴァース","――夏から秋へ。\n穏やかな域に“ドライブアウト”するなら――"
"ネオユニヴァース","――『天皇賞（秋）』。"
"選択肢","そこにしよう"
"","とにかく目先の目標を変えて、\n雰囲気を明るくしたかった。"
"","うまくいかなかった別宇宙とは違う目標。\n希望の星を示すことで、\n少しでも気分を上向きにしたい。"
"ネオユニヴァース","『天皇賞(秋)』\nこっにか“漂着”できれば、\nネオユニヴァースたちは……。"
"選択肢","ああ……"
"","そこは――“GATE”の向こう側。"
"","もし到達できれば\n別宇宙の悲劇から脱出できた証となる。"
"ネオユニヴァース","目標は定まったね。\nこれで――残る“懸念”はひとつだけ。"
"ネオユニヴァース","“GATE”を――どう“感知”するか。"
"","問題はそこだった……。"
"","ネオユニヴァースの競走人生に\n終止符を打った、重大な疾思。"
"","それを……どう察知するか？\n全力で警戒すれば回避できるのか？"
"","“GATE”の座標時は大体わかった。\nだが、その突破方法は\nまだ見つかったわけではない。"
"ネオユニヴァース","それでもネオユニヴァースは――疾走する。"
"ネオユニヴァース","トレーナーと『走る』。\nゼンノロブロイと走り続ける。"
"ネオユニヴァース","それが“XACF”だから。"
"ネオユニヴァース","減速すれば“重力井戸”に捕まる……。\n最速のまま――“GATE”を。"
"選択肢","ああ、突破するのみだ"
"","現役を続けていく以上\nトレーニングの手を緩めることはできない。"
"","全力で鍛えつつ、ネオユニヴァースを\n守る方法を探す。それこそが最大の使命。"
"","いよいよ『天皇賞（秋）』に向けて、\n無視界の決死行が始まる。"
