"タイトル","たったひとつの弱点"
"","――いよいよ運命の宙域。\n全力でトレーニングしつつ、\n異常の芽を探る日々……。"
"","正直――甘く見ていた。\nどごか頭だけで考えていた。"
"","やることは今までと同じ。\nだがまさか――こんなに苦しいものだとは。"
"ネオユニヴァース","はあ……はあ……はぁ……。"
"選択肢","ユニヴァース、もっと集中しよう"
"ネオユニヴァース","…………。"
"","ネオユニヴァースは体ばかりに気を取られ、\n見守る側も、異変ばかりに気を取られる。"
"ネオユニヴァース","この宙域は、まるで……。"
"ネオユニヴァース","“真空”……だね。"
"","まさに壁1枚の向こうは真空。\n突き破れば、即窒息しそうな緊張感。"
"ネオユニヴァース","…………。"
"選択肢","…………"
"","自然と会話もなくなる。全ての意識を、\n異常感知に向けざるをえなかった……。"
"ネオユニヴァース","トレーナー……。これだけやっても·\n探り当てられるかは……。"
"選択肢","…………"
"","……言う通りだった。\n重大疾患の前触れを察知できるか、\n予防できるかはわからない。"
"ネオユニヴァース","…………。"
"選択肢","…………"
"","またしても言葉がなくなる。\n2人を隔てる空間は“空気のない宇宙”。"
"","音を伝える媒介がないから、\n言葉も伝わらない。ただ沈黙だけが……。"
"選択肢","（これは……よくない）"
"","ふと考える。\n今の状態は……別宇宙と同じではないか。"
"","別宇宙で起きた悲劇について、\nネオユニヴァースはこう言っていた。"
"ネオユニヴァース","ケガに……気づけなかった……。"
"ネオユニヴァース","ケガを……話せなかったんだ……。\nそこからすっと……“ABSS”に！"
"","気づけない。話せない。\nつまりは――伝えられない。"
"","――会話の断絶。あるいは今の状況は、\n別宇宙と似ているのではないだろうか。"
"","必要なことは、逆のはず。\nつまり――"
"選択肢","ユニヴァース、もっと話そう"
"ネオユニヴァース","トレーナー？"
"選択肢","たくさん話そう。疲れはどう？"
"ネオユニヴァース","疲れ……。ネオユニヴァースは\n“揺蕩っている”ね。"
"ネオユニヴァース","つまり“BIBB”なんだ。\n2時間を過ぎると“錯雑”が……。"
"","相変わらず、語る言葉は難しい。\nそしておそらく――"
"","この難解な言葉が――全並行宇宙で、\nネオユニヴァースを助けられなかった理由だ。"
"","――ディスコミュニケーション。\n意思疎通できなければ、\n悲劇は繰り返される。が――！"
"","今は――違う。"
"ネオユニヴァース","『つながる』のはウマ娘とだけじゃない。\n細い“REEN”が、空で弾け散ると――"
"ネオユニヴァース","みんなが『おもしろい』になるよ。"
"","そう、自分は……交感できる。\n感じ取ることができる。"
"","ネオユニヴァースの難解な言葉の下に\n埋もれた、豊かな感情を。"
"ネオユニヴァース","トレーナー……。"
"ネオユニヴァース","――“AMRT”。"
"","たくさんの贈り物、たくさんの信号を交換し、\n同調を高めてきた。"
"","そして、さらに――"
"ネオユニヴァース","トレーナー、“KERB”は\n“分かち難い”んだね……。"
"ネオユニヴァース","ネオユニヴァースは“リバイブ”できたんだ。\nとても……“DIGG”……。"
"","言葉そのものも、かなり理解できる。\nおそらく誰よりも。"
"","ネオユニヴァースの弱点は\n“普通の言葉を話せないこと”くらい。"
"","だが今は――"
"ネオユニヴァース","トレーナー……。"
"選択肢","君に……弱点はない"
"ネオユニヴァース","弱点……。\nネオユニヴァースの“WEDN”は……。"
"選択肢","ない。君はもう――完璧だ"
"","唯一の弱点を埋めるため、ここまで2人で\n交流を“積み重ねて”きた。"
"","ユニヴァースが正確に発信してくれれば、\nどんなに難解でも、きっと……。"
"選択肢","感じたことは、全て伝えてほしい"
"","もはや、意味どうこうのレベルではない。\n彼女は全力で発し、自分は全力で感じるのみ。"
"","それだけが“GATE”内に散在する\n危険な星屑を回避し、進む方法だった。"
"ネオユニヴァース","――アファーマティブ。わかった。"
"ネオユニヴァース","ふっ……！！"
"ネオユニヴァース","はあ、はあ……。トレーナー“クリア”。\n“SRIV”がマージナル。"
"選択肢","問題なしだな。そのまま続けて"
"ネオユニヴァース","ふっ……ふう……！！"
"ネオユニヴァース","細かいパルスがあるよ。“脊随”から\n中心を通って“KELG”に……。"
"選択肢","もっと細かく教えて"
"ネオユニヴァース","…………。“LARB”から“KELG”。\n“LOB”じゃなく。"
"選択肢","……神経系の過敏反応か。わかった"
"","ネオユニヴァースはまだ遠慮している。\nわかりやすい言葉を使おうとし、\n精度を犠牲にしている。"
"","こちらが追いつかなければいけない。\nその超知性に、どうにか――"
"","そしてある日――"
"ネオユニヴァース","トレーナー、右脚の“SEEY”に\n“疼き”がある……。"
"ネオユニヴァース","“ACVE”には至っていない。\nかすかな……波動……。"
"選択肢","――！？"
"","これまでとは異質のレポート。“SEEY”\n“ACVE”はそれそれ、脚の腱の特定繊維だ。"
"","捕まえた……かもしれない。いや、だが、\nわからない。とにかく、することは……。"
"","(プシュウウウウッ！！)"
"選択肢","収まった……？"
"ネオユニヴァース","――ネガティブ。冷却では、\n“オリジン”にアプローチしきれない。"
"選択肢","2日、いや1.5日、休もう"
"ネオユニヴァース","――アファーマティブ。その後は？"
"選択肢","異常がなければ、すぐ再開"
"ネオユニヴァース","……うん。"
"","そんな日々がずっと続く。\n咄嗟の舵切り、終わりのないタイトロープ。"
"","やがて――時間の感覚が完全に消えた。\n集中するなか、飛ぶように刻が過ぎる。"
"","朝夜朝夜朝……。その日その日を\n懸命に生き抜くサイクルの中で――"
"","ネオユニヴァースと共に光となった。\nそれでも――"
"","夏が遠い……。\n目指した夏が……。"
"","太陽はまだ虚空の彼方。\n気の遠くなるような旅は……。\n果てしなく続く。"
