"タイトル","夏合宿（3年目）スタート！"
"","――夏合宿。\nこの海に……ようやくたどり着いた。"
"","ネオユニヴァースは……無事。\n『宝塚記念』前に、\n引退に追い込まれるようなことはなかった。"
"","まだ半信半疑。\nそれでも――"
"","（ドサッ）"
"","気が抜け……砂の上に倒れ込む。"
"","暗黒の春を越え、やっと夏まで……。"
"ネオユニヴァース","トレーナー……。"
"ネオユニヴァース","トレーナー·……。\n“冷凍睡眠”……しているの？"
"ネオユニヴァース","ネオユニヴァースたちは……\n“漂着”できたのかな。"
"ネオユニヴァース","きっと此処が……。"
"","ゆっくりと起き上がる。ネオユニヴァースは\nどことなくリラックスしそ見える。"
"","何度も見てきた顔。\nしかし、こんなに安らいだ表情は……\n初めて見る気がした。"
"ネオユニヴァース","トレーナー、ネオユニヴァースたちは\n『抜けた』のかな……。"
"ネオユニヴァース","もう“ABSS”の影は……。"
"選択肢","まだわからない"
"","完全に安心はできなかった。\nしかし、ここからはまた別の宙域に入る。"
"","どんな場所なのか確かめなければいけない。\n依然、危険なのか、それとも……。"
"ネオユニヴァース","トレーナー……\nもし“ABSS”の重力を振り切れたなら……。"
"ネオユニヴァース","ネオユニヴァースにはしたいことがあるんだ。"
"選択肢","したいこと？"
"ネオユニヴァース","そう、それは――"
"ネオユニヴァース","“REVE”……。"
"ネオユニヴァース","ゼンノロブロイとつながりを強めていきたい。\nそれから――"
"ネオユニヴァース","“REEN”を広げていきたいんだ。\n――“既知”の存在、『未知』の存在。\nもっと広く。"
"ネオユニヴァース","“大王”と“特異点”に飲まれないためにも。"
"ネオユニヴァース","ネオユニヴァースは“創りたい”んだ。"
"ネオユニヴァース","新しい宇宙を、みんなと。"
"","その表情は整然としている。\nウマ娘、ネオユニヴァースの新しい命は――"
"","ここから始まるのかもしれない。\nこの夏の海から。"
