"タイトル","夏合宿（3年目）終了"
"","毎日のように降り注ぐ、熱い夏の日差しが――"
"ネオユニヴァース","ふっ……！！"
"","日に日に不安をぬぐい去ってくれた。\n心配された異変は、もはや影も形もなく……。"
"","ネオユニヴァースの走りは、\nかうて見たこともないほど、よくなった。"
"","そして迎えた――合宿最終週。"
"ネオユニヴァース","――――"
"","未知の少女が――立っていた。\nどの宇宙にもいないネオユニヴァースが。"
"","知性の高さは変わらない。しかし、\nそのたくましさは見違えるほどで……。"
"ネオユニヴァース","トレーナー……ネオユニヴァースは\n『感謝』するよ。"
"ネオユニヴァース","……違う。“深謝”“快哉”“APPR”\nどれも違和が……。"
"ネオユニヴァース","どう……言えば……。"
"選択肢","言葉はいらないよ"
"","必要なかった。こうして見つめ合うだけで、\nたくさんの情報が伝わってくる。"
"","この関係があったから“GATE”を\n越えられた。完全に2人でひとつ。"
"","それでもネオユニヴァースは\nただ一言だけ、伝えてくれた。"
"ネオユニヴァース","……『ありがとう』。"
"","この夏を過ぎて強くなったのは\nネオユニヴァースだけではない。"
"ゼンノロブロイ","――ユニさん。"
"ネオユニヴァース","ゼンノロブロイ……。"
"ゼンノロブロイ","私なりに……心配はしていました。\n事情は知らないながらも……。"
"ゼンノロブロイ","ユニさん、大変な時期なんだろうなって。"
"ゼンノロブロイ","でも……来ましたね。\nお互いに、ここまでっ。"
"ゼンノロブロイ","私は茨の園を踏み越えて。\nユニさんは暗い間を振り払って！"
"","こちらも瞳の優しさは前と同じ。\nしかし湧き出るたくましさがまるで違う。"
"ゼンノロブロイ","来たるべき秋。私が目指すのは英雄です。\nでも英雄は――"
"ゼンノロブロイ","“1人では成らず”です。どんな本でも\n英雄の隣には“ある仲間”がいますから。"
"ネオユニヴァース","“ある仲間”……。\n英雄の隣にいるのはいつだって……。"
"ネオユニヴァース","『ネオユニ』……。\n英雄と……『ネオユニ』。"
"ゼンノロブロイ","え……ネオユニ……？\nそれ、職業なんでしょうか……？"
"ゼンノロブロイ","いえっ、でもそういうことにしましょう！\n英雄とネオユニ……！"
"？？？","ええええっ、英雄の隣は\n『魔法使い』でしょ～！？"
"","とそこへ、魔女っ子帽子をかぶったウマ娘が\nやってきた。"
"スイープトウショウ","並ぶのはアタシっ！\nせっかくデビューしたんに\n交ぜてくんなきゃ、やだやだや～だ～～～！"
"ゼンノロブロイ","でもスイープさん。スイープさんは\nまだクラシック級……。"
"スイープトウショウ","フンだ！秋の『秋華賞』が終わったら、\nすぐ交ざれるようになるんだからつ。"
"スイープトウショウ","見てなさい。ロブロイもユニヴァースも、\nアタシの魔法で、こんぺいとうに\n変えてあげるんだからっ。"
"ネオユニヴァース","コンペイトウ……。\n“綺羅星”だね。"
"","にぎやかに乱入してきた魔法使いウマ娘、\nスイープトウショウ。その姿を見て……。"
"ネオユニヴァース","トレーナー……“REVE”……。"
"ネオユニヴァース","これも“REVE”だね……。"
"","暗黒宙域を抜けて……広がる視界。\nネオユニヴァースは新たな交友の輪を\n感じているようだった。"
"","そして、その夜――"
"ゼンノロブロイ","ユニさん。笑わないで聞いてくださいね。\n私、この秋、どうしても……。"
"ゼンノロブロイ","自分の物語に書き加えたい章があるんです。"
"ネオユニヴァース","“章”？　それは――"
"ゼンノロブロイ","――『秋シニア三冠』制覇の章です。"
"ゼンノロブロイ","つまり『天皇賞(秋)』『ジャパンカップ』\n『有馬記念』、3つのGIの完全制覇！"
"ゼンノロブロイ","私の物語には、まだ私が\n絶対の活躍をする章がありません……。"
"ゼンノロブロイ","真の英雄を目指す以上、その章を\n記したいんです。この秋に必す……！"
"ネオユニヴァース","ゼンノロブロイ……。そうだね。\n知らないかもしれないけれど……。"
"ネオユニヴァース","ゼンノロブロイは――成し遂げた。\n『秋シニア三冠』を。"
"ゼンノロブロイ","え、成し遂げたって……。"
"ネオユニヴァース","一瞬は飛躍した。でも――"
"ネオユニヴァース","それは長い宇宙の歴史から見れば……\n“MOOM”の煌めき……。"
"ネオユニヴァース","『継ぐ』をできなかったんだ……。"
"ネオユニヴァース","だからネオユニヴァースは――\n簡単には獲らせないよ。"
"ネオユニヴァース","“失壁”からの“FUNV”もある。\n獲り合うことで、ワームホールは球になる。"
"ネオユニヴァース","それを願って――ここまで来たんだ。\n……星を越えて。"
"ゼンノロブロイ","ユニさん……。よくは理解できていないかも\nしれないですけれど……。"
"ゼンノロブロイ","よろしくお願いします……！この章は\n私とユニさんの章って思っていますから！"
"","たどり着いた新宙域。ますやるべきことは、\nゼンノロブロイと“今”を確かめあうこと。"
"","2度と並べなかったはずの2人が\n今――"
"","並んで――同じ星空を見上げていた。"
