"タイトル","天皇賞（秋）にむけて"
"","――“GATE”越え。それは夏の終わりで\n成し遂げたのかもしれない。だが……。"
"","やはり確定するのは\n『天皇賞(秋)』に第一歩を刻んだ時。"
"ネオユニヴァース","トレーナー、ネオユニヴァースは踏み出すよ。"
"ネオユニヴァース","降り立ったことのない“月面”に。"
"選択肢","ああ……"
"","そっと背に両手を当てて……\nやさしく送り出した。"
"ネオユニヴァース","あ……。"
"","（ワアアアアアアアアアッ！！）"
"ネオユニヴァース","……スフィーラ……だね。"
"ネオユニヴァース","この1歩は小さな1歩。\nでも――"
"ネオユニヴァース","“シンギュラリティ”なんだ。\nネオユニヴァースたちの……。"
"","旅の終わり。\nそして――始まり。"
"","ここからネオユニヴァースの\n新しい航路が始まる。"
"ゼンノロブロイ","ユニさん、いよいよですね。\n秋シニア三冠の第1戦。"
"ゼンノロブロイ","主人公は譲らないつもりです。\nでも、まだわからないとも思っています。"
"ネオユニヴァース","ゼンノロブロイ。ネオユニヴァースは\nあなたが……大事。"
"ネオユニヴァース","高度を上げ、共にstage2への\n“セパレーション”を果たしたい……。"
"ネオユニヴァース","だからこそ、阻んでしまうかも。\n星間航路を。"
"ネオユニヴァース","前方をふさぐ遮蔽物になりうる。\nそれでも――"
"ゼンノロブロイ","望むところですっ！！"
"ゼンノロブロイ","私が記したいのは――1番熱い英雄譚……！"
"ゼンノロブロイ","もし英雄たりえても、読む方の\n心が震えないのなら、意味はありません。"
"ゼンノロブロイ","本はいつだって、変わりたい自分を\n奮い立たせてくれるもの。だから――"
"ゼンノロブロイ","――来てください、ユニさん。\n2人で紡ぎましょう、新しい物語を！"
"ネオユニヴァース","ゼンノロブロイ……。"
"ネオユニヴァース","――アファーマティブ。\nいく……ね。"
"","新生した宇宙少女と覚醒した英雄。\nこれは――まだ見ぬ第2章。"
"","物語と物語がぶつかり、\n新たな史実が生まれる。"
