"タイトル","天皇賞（秋）の後に・進化への簒奪"
"","誰もが――熱狂した。\nターフ上での2人の再会に。"
"","途切れた物語の続編。\nその初戦は――"
"ネオユニヴァース","ネオユニヴァースが……勝利……。"
"ネオユニヴァース","夢を“アブダクション”した……。\nでも代わりに――"
"ネオユニヴァース","ゼンノロブロイに“REVS”を促した。\nさらなる“配列”を、と……。"
"ゼンノロブロイ","はあ、はあ……おめでとうございます……\nユニさん……。"
"ゼンノロブロイ","すごく悔しいですつ。\nでも……！"
"ゼンノロブロイ","これが真の英雄になるために……\n必要な試練なのかも。"
"ゼンノロブロイ","栄光の冠、お預けします！\n必ず取り返しにいきますからっ！"
"ネオユニヴァース","冠……。\n秋シニア三冠の“TIPS”……。"
"ネオユニヴァース","受け取ったよ、ゼンノロブロイ。\n取りに来て、必ず。"
"","ネオユニヴァースは『天皇賞(秋)』を制し、\n秋シニア三冠の権利を引き継いだのだった。"
#分岐終了？
"ネオユニヴァース","トレーナー、このレースで\nネオユニヴアースは“軌道”を確認できた。"
"ネオユニヴァース","行けるんだね、すっと……このまま。"
"","もう心配はいらない。\n別宇宙の悲運とは完全に決別できた。\nだが……。"
"選択肢","このままじゃないよ"
"ネオユニヴァース","――ネガティブ？\nこのままでは……行けない？"
"選択肢","ああ、たくさんの“REVE”があるから"
"","星の道は真っ直ぐ続く。\nしかし続くだけではない。"
"","新しい出会いがあり、そして、これまで\n出会ったウマ娘との、より強い交流がある。"
"ヒシミラクル","うんうん、リーヴェリーヴェ、\nリーヴェですよね～。"
"ヒシミラクル","今日はあんまり交ぜてもらえなかった\nですけど、次は～。"
"ネオユニヴァース","――？　トレーナー、\nゼンノロブロイが――“異種生命体”に。"
"ヒシミラクル","ヒシミラクルっ！ユニヴァースちゃん、\nヒシミラクルだよ～。異種ちゃうちゃう！"
"ゼンノロブロイ","ヒシミラクルさん、お疲れ様でした。\n今日はありがとうございました。"
"ヒシミラクル","あ～、ロブロイちゃんは\n出てたの気づいててくれた？\nなら、ちょっとよかったかな～。"
"","昨年の『宝塚記念」以来。\n奇跡の申し子、ヒシミラクルも\nこのレースには参加していた。"
"ヒシミラクル","ね～ふたりとも。同じシニア級になって、\nこうしてお近づきになれたなら～。"
"ヒシミラクル","もう少しお話したいっていうか。\nその～、お友だち候補になりたいな～\nみたいな。"
"ヒシミラクル","さ、さすがに、ちょいウザかな～？\nでも、もし……。"
"ネオユニヴァース","ヒシミラクル……。\n“FELT""……だね。"
"ネオユニヴァース","ネオユニヴァースは“拡充”を求めたい。\nあなたとも。そして……。"
"ネオユニヴァース","“対抗”したいんだ。\n“大王”と“特異点”に。"
"ヒシミラクル","だい……なんだって？"
"ヒシミラクル","その～、ダイちゃんとかトクイちゃんを\nやっつけたい感じ？"
"ネオユニヴァース","――アファーマティブ。"
"ヒシミラクル","そ、そう……。\nなんか……ちょっとこわいね。"
"ヒシミラクル","ユニヴァースちゃん、バチバチな感じだけど、\nもう少し楽しくやってもいいのかな～\nなんて。"
"ネオユニヴァース","――？"
"ヒシミラクル","や～、やややっ、なんでも！\nでも、そのさ！"
"ヒシミラクル","みんなで面白くいこうよ！\nえっと次のレースは～。"
"ネオユニヴァース","次……。"
"ネオユニヴァース","――『ジャパンカップ』。"
"ゼンノロブロイ","『ジャパンカップ』……ですね！"
"ヒシミラクル","じゃあ『ジャパンカップ』。\nわたしも！"
"ネオユニヴァース","トレーナー……。"
"選択肢","ああ、『ジャパンカップ』で！"
"","迷いはない。東京、芝2400m。\n秋シニァ三冠の第2戦。"
"","友がいる、先輩がいる、\n世界中の人々が見ている\n新生ネオユニヴァースの集大成になりそうだ。"
"ネオユニヴァース","星が……集う。“MAZN”の星が。\nネオユニヴァースはもう“STDA”じゃない。"
"ネオユニヴァース","星団となれば“対抗”できる。\n“大王”と“特異点”に。でも……。"
"ネオユニヴァース","『もう少し楽しく』……。"
"ネオユニヴァース","ネオユニヴァースは“共闘”のために来た。\nなのに……。"
"ネオユニヴァース","揺らぎを……感じる·\n補正があるなら……知りたいんだ。"
"ネオユニヴァース","『ジャパンカップ』で、\nネオユニヴァースは……。"
