"タイトル","ジャパンCの後に・広がるスカイラブ"
"","秋シニア三冠、第2戦\n『ジャパンカップ』勝利。\nそのレースは――"
"","ネオユニヴァースにとって、\n未来への大きなランドマークとなった。"
"実況","ネオユニヴァース！\nネオユニヴァースです！\n今、サークルの中心へ舞い降りたー！"
"実況","まさに多次元の走り！\nゼンノロブロイ、ヒシミラクルを上回り、\nそして――"
"実況","大きく広げた手は、何を意味するのか！？\n勝利宣言か、それとも支配かー！"
"ネオユニヴァース","やっと――わかった。"
"ネオユニヴァース","ゼンノロブロイ、ヒシミラクル、\n会場の全個体、“窓”からの“観測者”……。"
"ネオユニヴァース","全てとつながることで、やっと……。"
"ネオユニヴァース","大切なのは――“FELTIE”。\nこの輪を……無限に広げること。"
"ネオユニヴァース","そう……未来への“抵抗”。\n“涙滴型の舟”の舷窓は"
"ネオユニヴァース","“曇っていた”んだ。\nまだ……。"
"ゼンノロブロイ","ユニさん！お疲れ様でした……！"
"ヒシミラクル","いや～強い強い。\nなんだろ、気合いがレベチってか。"
"ゼンノロブロイ","でしたね……。\n最後は勝てる気がしませんでした。"
"ゼンノロブロイ","ユニさん、このレースに特別な\n想いでも？もちろん『ジャパンカップ』は\n重要なレースですけれど。"
"ネオユニヴァース","ネオユニヴァースは欲していたんだ。\n――“神の杖”を。"
"ネオユニヴァース","『わたし』たちの未来を守りたかった。\nだから――"
"ネオユニヴァース","“迎撃者”になろうとした。\nでも、それは――"
"ネオユニヴァース","“間違っていた”んだ……。"
"ゼンノロブロイ","間違って……いた？"
"ネオユニヴァース","『つながり』は全てに広がる。\n温かく――無限。"
"ネオユニヴァース","もっと広げられるんだ。\nそう、ゼンノロブロイたちだけでなく……。"
"ネオユニヴァース","“大王”にも“特異点”にも。"
"ゼンノロブロイ","“特異点”って……ユニさん……。"
"ネオユニヴァース","すっと“ABSS”にいたネオユニヴァースは\n見失っていた。"
"ネオユニヴァース","ゼンノロブロイを遺すことしか\n考えられなかった。でも……。"
"ネオユニヴァース","“大王”や“特異点”ともつながれる。\n“事象の地平線”はない。"
"ネオユニヴァース","ネオユニヴァースは……やっと気づけたんだ。\n――『愛』に。"
"ゼンノロブロイ","ユニさん……。"
"","空を見上げるネオユニヴァースは\nとてもスッキリした表情に見えた。"
"","まるで何かから解き放たれたように。"
"ヒシミラクル","や～、なんだか\nよくわからないけど～。"
"ヒシミラクル","大切だよねっ、愛は！"
"ネオユニヴァース","トレーナー……。"
"選択肢","ユニヴァース……"
"","――午後3:52。\n送り出したウマ娘は帰還した。\nその様子は……。"
"ネオユニヴァース","とってもスフィーラなんだ。"
"","純化した生命そのものだった。\n暗い暗い字宙を抜けて……。"
"","重大な疾患、絆の喪失、友の埋没、\n歪んだ怨恨。ようやく全てを乗り越えて……。"
"ネオユニヴァース","今日ネオユニヴァースには“ANOI”……。\nもうひとつ勝ちたい理由があったんだ。"
"ネオユニヴァース","それは――トレーナーのため。"
"選択肢","俺のため？"
"ネオユニヴァース","そう『大阪杯』の後、\n捧げられなかった。"
"ネオユニヴァース","“MAZN”の勝利、歓び。\n一緒に果たすはすだったのに……。"
"ネオユニヴァース","“異境”でも勝つはすだった。だから……\nこの『ジャパンカップ』は、どうしても。"
"","『大阪杯』後。\nそれは……別宇宙でのことだろう。"
"","シニア級『大阪杯』後、ネオユニヴァースは\nひとつも勝てなかった。海外遠征も中止に。\nだから……。"
"ネオユニヴァース","トレーナー、ネオユニヴァースは\n還ってきたよ。"
"ネオユニヴァース","続くはすだった時間軸に。\n“EVEU”……やっと……。"
"選択肢","ユニヴァース……"
"ネオユニヴァース","トレーナー……。"
"","刻の狭間から、次元を越えて\n戻ってきたウマ娘……。"
"","今、本当の意味で迎えよう。\nこの愛すべき来訪者を。"
"選択肢","おかえり……ネオ"
"ネオユニヴァース","――ただいま。"
