"タイトル","温泉旅行"
"","ネオユニヴァースとたくさんのレースを\n勝ち抜いてきた、ある日のこと――"
"ネオユニヴァース","トレーナー、ネオユニヴァースから\n報告があるよ。"
"ネオユニヴァース","やっと地表が“安定”してきたんだ。\nこれなら長時間の着水が可能。すなわち"
"ネオユニヴァース","“適温”なんだ。"
"選択肢","なんの話？"
"ネオユニヴァース","トレーナーは……感知できないんだね。\nつまり――"
"ネオユニヴァース","此処だよ。"
"選択肢","ここは……温泉旅館！？"
"","一瞬で来たような気がした。\nいや、しかし気のせいだろう。"
"","今日は1日かけて電車で移動してきた。\nそう思うことにした。"
"","入浴中……。"
"","ネオユニヴァースは……\n温泉に入りにいったきり、帰ってこなかった。"
"","1時間、2時間、3時間……。\nさすがに心配になってきたが……。"
"ネオユニヴァース","――ふう……“地球は青かった”ね。"
"選択肢","おかえり。涼んでたのか？"
"","長湯していたにしては、ケロリとした表情。\nどこかで休んでいたとしか思えないが……"
"ネオユニヴァース","『涼む』は……していない、ね。\nマントルの――直上にいた。"
"ネオユニヴァース","“プリブリーズ”……減熱症を防ぐために、\nすっと同調していたんだ。"
"選択肢","すっと同調って……"
"","つまり、この長時間……\nずっと温泉に浸かっていたということ。"
"選択肢","のぼせたりしてないのか！？"
"ネオユニヴァース","ファーレンハイト温度……96.8°F。\n――『平熱」だね。"
"ネオユニヴァース","ネオユニヴァースは“軽微”なんだ。\n“SERF”だから。"
"","どうやら体温が超安定しているようだ。\n言われてみれば……。"
"","普通はレース後、ウマ娘は紅潮するもの。\nだがネオユニヴァースは……。"
"","紅潮しているのを見たことがない。\n心配することはないのかもしれないが……。"
"ネオユニヴァース","…………。"
"ネオユニヴァース","トレーナー、ネオユニヴァースは依頼するよ。\n“熱伝導探査”を。"
"ネオユニヴァース","探査方式は――『おでこコッツン』。"
"","……どうやら、おでこを接触させて、\n体温を測らせようとしているようだ。"
"","……一瞬だけ、言われた通りに\nしてみることにする。"
"","――こつん。"
"","触れたおでこは……。"
"","確かに平熱だった。ホッと胸をなでおろす。"
"ネオユニヴァース","ネオユニヴァースも確認したよ。\nドレーナーも『平熱」だね。"
"ネオユニヴァース","なら、また『温泉』に……。"
"ネオユニヴァース","――？"
"選択肢","どうかした？"
"","一瞬、ネオユニヴァースの菅い瞳に、\nノイズが走った。これまでと違う反応……。"
"ネオユニヴァース","トレーナー、ネオユニヴァースは……\n検知したよ。"
"ネオユニヴァース","体温、急上昇中……。\n97.0……97.2……97.4……。"
"ネオユニヴァース","トレーナーとの……接触が……。"
"ネオユニヴァース","ネオユニヴァースを置いて……帰還して……。"
"選択肢","ユニヴァース、しっかり！"
"","まさかのインシデント。\nあわてて水を飲ませ、落ち着かせる。"
"","間もなく様子は元に戻った。"
"ネオユニヴァース","『ありがとう』トレーナー。\nネオユニヴアースは“ラーニング”。\nこの『温泉計画』は――"
"ネオユニヴァース","『未知』の脅威と『ドキドキ』に満ちている。\n“アンセーフド”なんだ。"
"","やっといつもの波長に戻り、\n静かな笑みを浮かべるネオユニヴァース。"
"","ネオユニヴァースとの間に、\nかけがえのない絆を感じた\nひとときだった……。"
