"タイトル","高まる理解、深まる謎"
"","――日進月歩。ジリジリと進む、\nネオユニヴァースとの同調。"
"","トレーニング中、彼女が発するシグナルの\n意味も、徐々に理解できるようになってきた。"
"ネオユニヴァース","トレー……ナー……もう走れない……。\n“ハイパーゴリック推進剤”に支障……。"
"","推進剤はつまり……燃料。\n脚が動かないなら\n体作りの成分ではなく……。"
"選択肢","即効性の栄養ドリンクを飲もう"
"ネオユニヴァース","トレーナー“エマージェンシー”だよ。\n駆動部の“シリカガラス”が……。"
"","駆動部ということは……関節。\nそこの耐熱素材が熱を帯びているなら……。"
"選択肢","じゃあ、すぐにアイシングを！"
"","軽度な時と重度な時。\nその違いもだいぶわかるようになった。"
"","そして理解度が上がることで、\nよりハッキリしたのは……。"
"ネオユニヴァース","トレーナー、ネオユニヴァースは推奨するよ。\n冷却から加熱への転換を。"
"ネオユニヴァース","“重力圈”は過ぎた……\nこれ以上の冷却は、固着につながるから。"
"","どうやら、これ以上冷やす必要はなさそうだ。\n加熱、すなわち熱するのではなく……。"
"選択肢","わかった。温熱療法に切り替えよう"
"","ハッキリしたのは、彼女の“聡明さ”だ。\n言葉は難解だが、分析は常に正しかった。"
"","その知性は、まさに恐るべき高さ。\nだが……少し妙なこともあった。"
"ネオユニヴァース","ゼロ、イチ……ゼロ、イチ……。"
"ゼンノロブロイ","ユニさん？えっと……\n何の運動をしているのでしょう？"
"ゼンノロブロイ","かなり変わった動きに見えますけど……。\nそのストレッチには、どういう効果が……。"
"ネオユニヴァース","ネオユニヴァースは“姿勢制御”をするよ。"
"ネオユニヴァース","後傾の癖は……“DEDU”になるから。\nつまりは“抜本的に”だね。"
"選択肢","――！？"
"","ここのところ、タイムの伸びがよくなかった。\n『後傾』という言葉に、なるほどと思った。\n重心が原因……。"
"","だがトレーナーの自分でも読み解けなかった\n深い理由に、どうしてネオユニヴァースは\n気づけたのだろうか。"
"ゼンノロブロイ","そうなんですねっ。さすがはユニさん！"
"ゼンノロブロイ","私もユニさんに負けないよう、努力します！\nそろそろメイクデビューですし。"
"ネオユニヴァース","メイクデビュー……それは……。"
"ネオユニヴァース","――ネガティブ。"
"ゼンノロブロイ","え、ユニさん？\nネガティブって……。"
"ネオユニヴァース","――“懸念”するよ。\n射出には時間が……。"
"ネオユニヴァース","とくに最初のローンチ。\nゼンノロブロイ、あなたは――"
"ネオユニヴァース","“エクスクルージョン”されるかも、ね。"
"ゼンノロブロイ","エクス、クルージョン……？"
"","――その数日後。"
"ゼンノロブロイ","えっ？係員さん、“出走できない”って\nどういうことでしょう？"
"URA係員","このレースは出走登録者が多くてね。\n抽選の結果、あなたが除外になったの。"
"URA係員","大変申し訳ないんだけど、\nまた申し込んでくれる？"
"ゼンノロブロイ","そんな……。どうにか『メイクデビュー』をって\n必死に準備してきたのに……。"
"ゼンノロブロイ","今の体で、また一から仕切り直しなんて……。"
"URA係員","もしかして、まだ成長途上なのに、\nデビューを急いでるのかしら。\nだったら……。"
"URA係員","あまり慌てないほうがいいわよ。\nトウインクル·シリーズは\n予定通りにいかないことも多いから。"
"ゼンノロブロイ","でも……早くユニさんに\n追いつきたいのに……。"
"ネオユニヴァース","ゼンノロブロイ、ネオユニヴァースも――\n『急がない』を推奨……。\n無理は見えていた……。"
"ネオユニヴァース","ネオユニヴァースは……『心配』。\n急がなくても将来は\n“フラマウロ”の近くに着けるから。"
"ゼンノロブロイ","ユニさん……。"
"","ネオユニヴァースは、ゼンノロブロイが\n無理をしていることに気づいていた。\nよく併走するからかもしれない。だが……。"
"","気づけるはずのないこともあった。\nそれは――"
"ネオユニヴァース","“エクスクルージョン”されるかも、ね。"
"ゼンノロブロイ","エクス、クルージョン……？"
"","――『出走不可』。\n多人数が申し込むことによる抽選漏れを、\nどうやって察したのだろう。"
"","あるいはウマ娘たちの動向を\n掴んでいたのかもしれない。だが……。"
"選択肢","ユニヴァース、どうして……？"
"ネオユニヴァース","――？"
"選択肢","どうしてわかったんだ、出走できないことが"
"ネオユニヴァース","どうし……て……？\nどうし……。"
"ネオユニヴァース","うう……。"
"ゼンノロブロイ","ユニさん……？大丈夫ですか？"
"ネオユニヴァース","大丈……夫……。少し、あるね。\n“偏頭痛”が……。"
"","理解できるようになったことは多い。\nだが同時に、理解できない謎も\n増えていく……。"
"","小さなパラドックスを抱えたまま、\nネオユニヴァースとの日々は続くのだった。"
