"タイトル","エンディング（ノーマル）"
"","ネオユニヴァースとの最初の3年間は、\nますますの成績で終わった。そして"
"","――9月。ネオユニヴァースに誘われて、\nちょっとした旅に出ることにした。\n行き先は――"
"ネオユニヴァース","トレーナー。ネオユニヴァースは\nどうしても……この場所へ。"
"選択肢","どうしてレース場に？"
"","やってきたのは札幌レース場。\n今まで深い緑はなかった場所だ。"
"","気になるのは、\nここに来たかった理由だが……。"
"ネオユニヴァース","どうしても今日、\nここに来たかった“TIFY”は"
"ネオユニヴァース","――“終着地”だから。"
"ネオユニヴァース","別宇宙のネオユニヴァースは……\nここで……“離脱”したんだ。"
"選択肢","え……？"
"ネオユニヴァース","もう走れないってわかって、そのすぐ後……。"
"ネオユニヴァース","此処で『サヨウナラ』をした。\n全ての地球の人々に。"
"ネオユニヴァース","旅は――“不可逆”。\n行ったら戻ってこられないから。"
"ファンA","ネオユニヴァース！お疲れ様ー！"
"ファンB","ネオユニヴァース、ありがとうー！\nゆっくり過ごしてねー！"
"ネオユニヴァース","ネオユニヴァースは愛され……\n“嘱望”されていたよ。"
"ネオユニヴァース","ネオユニヴァースの中には“北十字星”が\nない。どの星とも光を重ねられる……。"
"ネオユニヴァース","終わりには……続きがあったんだ。\n見たくないから“星影”だった。"
"選択肢","そうだったんだ……"
"","別宇宙のネオユニヴァースの……その後の話。"
"","つらい話だが、それでもあえて\n話してくれたのは、信頼の証なのだろう。"
"ネオユニヴァース","“碑”が立った後、\nネオユニヴァースと『あなた』は、\nなにひとつ共にはできなかった。"
"ネオユニヴァース","でも、そんな中でも……。"
"ネオユニヴァース","ただひとつ、あったんだ。\n“散光星雲”からこぼれた\n“スペクトル”……。"
"選択肢","……スペクトル？"
"ネオユニヴァース","ネオユニヴァースが残した光と共に、\n『あなた』は――"
"ネオユニヴァース","海の向こうへと発った。\nそして――"
"ネオユニヴァース","“成し遂げる”をしたんだ。\nそして“旗”を手に掲げて……。"
"ネオユニヴァース","惑星の震動に嘆き悲しむ『ヒト』に……\n""BREX”を……。"
"ネオユニヴァース","『悲しい』ばかりじゃなかった。たとえ\nネオユニヴァースと、ではなくても……。"
"ネオユニヴァース","『あなた』はネオユニヴァースの潮流に\n乗って、“INZY”を見せてくれた。"
"","なんとなく……しかわからなかった。\nでも、ひとつだけわかれば、それでいい。"
"","別宇宙には悲劇ばかりではなく……\n素晴らしい思い出もあったのだ、と。"
"","しかし、その話は――"
"選択肢","大切に胸にしまっておこう"
"ネオユニヴァース","胸に……“格納”？"
"選択肢","ああ、別の物語だから"
"","これから始まる2人の日々とは、\nまた一線を画する話。"
"","それは……どこかの誰かが\nまた紐解けばいい。"
"ネオユニヴァース","――アファーマティプ。\nそうだね、トレーナー。"
"ネオユニヴァース","この宇宙では、ネオユニヴァースは\nすっと走り続けられる。だから……。"
"ネオユニヴァース","“享受”したいんだ。\n……トレーナーと。"
"ネオユニヴァース","また動きはじめた、この時間を。\nトントン、ツーツー……。"
