"タイトル","統合される宇宙"
"","ネオユニヴァースとの最初の3年間は、\n素晴らしいものとなった。"
"","成績もさることながら、なにより\n彼女を存続させることができたのだから。"
"","――XXYY.06.26"
"","新生したネオユニヴァースは、\nその後も変わらすに駆け続ける。"
"","ゼンノロブロイやスイープトウショウと共に。\nだがその中に……。"
"ゼンノロブロイ","残念でしたね、ユニさん。\n昨年のダービーウマ娘と走れないなんて。"
"スイープトウショウ","そうね。『NHKマイルC』と『ダービー』、\n両方を制覇した、すごい娘だったのに！"
"ネオユニヴァース","心配ない。\nゼンノロブロイ、スイープトウショウ。"
"ネオユニヴァース","走れなくても……一緒にいる。\n彼女は――走っている。"
"ネオユニヴァース","『わたし』たちには“暗渠”があるんだ。"
"ネオユニヴァース","ターフの底を流れている、もうひとつの河が。"
"","――XXYY.10.23"
"","その年の秋――"
"実況","三冠ウマ娘だー！\n新たな三冠ウマ娘、ここに誕生一！"
"実況","この追込はミスターシービーの再来か！？\nあるいはまったく異質の……。"
"ゼンノロブロイ","すごいですね、ユニさん！あのウマ娘！\nあの走り……！"
"ゼンノロブロイ","こんなことを言うのは\n自覚が足りないかもしれないですけれど……。"
"ゼンノロブロイ","少し憧れてしまいます。\n本当にすごい……！"
"ネオユニヴァース","少し……憧れる……。"
"ネオユニヴァース","“特異点”の出現は思ったとおり。\nでもやはり……。"
"ネオユニヴァース","思っていたのと少し違う。\n“大王”も“特異点”も……\nゼンノロブロイを遮るものじゃない。"
"ネオユニヴァース","共に刺激し合う『仲間』……。"
"ネオユニヴァース","で、あるならば――"
"ゼンノロブロイ","どうしたんです、ユニさん？"
"ネオユニヴァース","ネオユニヴァースは疑問に思うんだ。\n『わたし』は――"
"ネオユニヴァース","何のために――この宇宙へ？"
"","――XXYY.12.24"
"","クリスマスイブ。『有馬記念』前日を、\nネオユニヴァースと2人でゆっくりと過ごす。"
"","明日はゼンノロブロイと\nタップダンスシチーも出走する。\nそして――今年の三冠ウマ娘も。"
"選択肢","勝とうな、ユニヴァース"
"ネオユニヴァース","勝つ……。"
"ネオユニヴァース","トレーナー、ネオユニヴァースは\n勝たなければいけない？"
"選択肢","え？"
"ネオユニヴァース","勝てば『満ち足りる』になれる？"
"ネオユニヴァース","ならば、もし“STDA”で勝っても……。"
"ネオユニヴァース","トレーナーがいない宇宙で勝っても\n『満ち足りる」になる？"
"","返答に戸惑っていると。"
"ネオユニヴァース","そう……だったんだ……。"
"ネオユニヴァース","だからネオユニヴァースは\nこの宇宙に……。"
"","言っていることがわからない。\nだが……。"
"ネオユニヴァース","トレーナー、ネオユニヴァースは――\n本当の“銀河核”を共有したい。"
"ネオユニヴァース","今日は――クリスマスイヴ。\n……目を閉じて。\nあのクリスマスと同じように。"
"","言われるままに目を閉じる。\n額に……冷たいものが当たる感覚があった。"
"ネオユニヴァース","行こう、トレーナー。"
"ネオユニヴァース","全ての宇宙が――つながる場所へ。"
"","そこは――見知らぬ場所だった。"
"選択肢","ユニヴァース、ここは？"
"ネオユニヴァース","此処は……此処ではなく、其処でもなく、\n此処や其処やどこかが統合されたところ……。"
"ネオユニヴァース","つまり“重力の底”だね。\nネオユニヴァースは……。"
"ネオユニヴァース","私はやっとわかったの。\nあなたの宇宙に来た……ううん……。"
"ネオユニヴァース","私たちの宇宙が、生まれた理由に。"
"選択肢","生まれた……理由……"
"ネオユニヴァース","そう。聞いてくれる？"
"","ネオユニヴァースの口調が少し変わった気が\nした。知性の高さはそのままだが……。"
"","難しい言葉が消えた気がする。この空間では\n思考が直接伝わるのかもしれない。"
"ネオユニヴァース","私はすっと思っていた……。\nそう……。"
"ネオユニヴァース","やってきたのは、\n自分が消えるのを防ぐためだと。"
"ネオユニヴァース","そしてゼンノロブロイを\nひとりにしないためだと。"
"ネオユニヴァース","でも、そうじゃなかった。ゼンノロブロイは\n私がいなくても、触れ合っていける……。"
"ネオユニヴァース","“戦い”は理由じゃない。競走するためや\n受け継がせるために来たんじゃない。"
"ネオユニヴァース","他のウマ娘には、それが1番の娘もいる。\nでも――"
"ネオユニヴァース","私は違う。違った。"
"ネオユニヴァース","私は――勝つために来たんじゃない。"
"選択肢","じゃあ……なぜ？"
"ネオユニヴァース","私はただ――"
"ネオユニヴァース","『あなたと過ごしたかった』だけ。"
"選択肢","俺と……？"
"ネオユニヴァース","そう、あなたは私に、こう言ってくれた。\n『自分の1番愛していた存在』と。"
"ネオユニヴァース","なのに多くの時間を失くしてしまった。\nその時間をただ……続けたかっただけ。"
"ネオユニヴァース","私はただ居たかったんだ。\n走れても走れなくても、あなたと。"
"選択肢","ネオ……"
"ネオユニヴァース","決して叶わない願い。\nでも、それを知って――"
"ネオユニヴァース","“彼ら”がカを貸してくれた。\n私ひとりだけでは成し遂げられないから。"
"ネオユニヴァース","私に会いたいあなたと、あなたに会いたい私。\n窓をつなげてくれた。"
"ネオユニヴァース","そう、会えるわけはなくても、\nただひとつだけ――"
"ネオユニヴァース","この宇宙なら会えるから。"
"","刻が意味を失くす。世界が意味を失くす。\n全ての境界線が消えて、ひとつとなる。"
"","たくさんのネオユニヴァースがひとつに。\nたくさんの自分がひとつに。\nそして――感じる。"
"確かに自分は","“ネオユニヴァースを愛していた”と。"
"ネオユニヴァース","本能や憎しみは次元を越えられない。\n越えられるのは――"
"ネオユニヴァース","“愛”だけ。愛だけが越える。\n越えさせてくれる。"
"ネオユニヴァース","そう、目指すのは勝利じゃない。\n“一緒に勝利を目指す”こと …… 。"
"ネオユニヴァース","そして――この宇宙が。"
