"タイトル","軸線上のミラクル"
"","ネオユニヴァースが時々見せる、\n驚異の察知能力。\nそれについては依然、謎のままだった……。"
"","だが、それはそれとして\n日々の経験は積ませなければならない。\nそう“レースに出す”ことだけではなく……。"
"選択肢","ユニヴァース、『菊花賞』を見にいこうか"
"","“レースを観させる”ことも大事な仕事。\nどうせ観させるなら、\n現地で楽しく観戦させてあげたかった。"
"ネオユニヴァース","『菊花賞』……\nクラシック三冠の最後……。"
"ネオユニヴァース","ひとつ『先輩』の“締めくくり”だね……。"
"選択肢","ああ、きっと勉強になるから！"
"ネオユニヴァース","トレーナー、ネオユニヴァースは言うよ。\n『ありがとう」を。"
"ネオユニヴァース","とても“GENY”……。瞳は“慈愛”で……。"
"ネオユニヴァース","――感じる。\nこの……優しさは……。"
"ネオユニヴァース","……“既知”？"
"ネオユニヴァース","いつか……あなたは……。"
"選択肢","……？"
"ネオユニヴァース","まだ……“LYBL”……。"
"","こうして京都レース場へと出かけた。\nと、そこには――"
"ゼンノロブロイ","あ、ユニさん！　トレーナーさん！\nいらしていたんですね。"
"ゼンノロブロイ","見てください！\n幾多の戦場に名を刻んできた、\n今年の英雄たちが勢そろいですつ。"
"","ゼンノロブロイは熱視線を\nパドックに送っていた。"
"ゼンノロブロイ","ますなんといっても注目は1番人気……\n6番の娘ですよね。皐月賞ウマ娘ですし！"
"ゼンノロブロイ","並び立つのは18番のウマ娘。\nあとは……。"
"ネオユニヴァース","皐月賞ウマ娘……\nあの……個体は……。"
"ネオユニヴァース","勝てない……かもしれないね。"
"ゼンノロブロイ","えっ……勝てない？\n距離が長すぎるということですか？"
"ネオユニヴァース","距離……。それ以前に\n大きな隔壁が……。"
"ネオユニヴァース","――“ローンチ·フェイリァ”。"
"","“ローンチ·フェイリァ”。\nどういう意味だろうか？"
"ネオユニヴァース","このレースは“磁気嵐”の中にある。\n“航行できない”中、抜けてくるのは――"
"ネオユニヴァース","あの――ウマ娘。"
"","そう言って、ネオユニヴァースが\n指差したのは……。"
"ヒシミラクル","あ～、めっちゃ緊張する～。\nGIなんて、これが初めてだもんね～。"
"ヒシミラクル","ど、どぉも！ヒシミラクルです～。\n知らない？知らないですよね～……。"
"ヒシミラクル","自己紹介すると～……\nあれ、紹介ポイントがないや。"
"ヒシミラクル","まあ誰より普通が売り？といいますか～。"
"ゼンノロブロイ","え……ヒシミラクルさんですか？"
"ヒシミラクル","いや～デビューから9連敗だったし、初めて\n重賞に出た前走も、ぜんぜんかなわなくて。"
"ヒシミラクル","でも、期待された分だけは応えたいってか。\nへへつ……。"
"","――ヒシミラクル。\n世間の評判は……ごくごく普通のウマ娘。"
"","このレースでの人気も、\n掲示板に載れればミラクルという程度だ。"
"","そのウマ娘が勝つことができるだろうか？\nいくらなんでも『菊花賞』で……。"
"ゼンノロブロイ","トレーナーさん、まさか……。"
"","ありえないと言いたかった。\nいや、レースではなんでも起こりうる。\nだが……。"
"","――事前にわかるわけがない。\nネオユニヴァースが、ちょっと\n変わっているだけの普通のウマ娘なら。"
"","こうして決戦の幕は上がった。\nその直後――"
"","（ウオオオオオオオオオオオッ！？）"
"実況","おおっと！皐月賞ウマ娘！\nスタート直後にまさかのトラブル！"
"実況","競走中止により、レースは波乱の展開！\nそしてゴール前、抜け出したのは――"
"ヒシミラクル","え、ええっ、やった～～～！\nわたしが菊花賞ウマ娘に！ほわあ～！！"
"ヒシミラクル","でもクタクタ～……。ぜえぜえ……\n目の前がぐるぐる～。誰かお水～。"
"実況","ヒシミラクル！ヒシミラクルです！\n10番人気から、まさかの激走！\n奇跡の勝利をおさめました！"
"ゼンノロブロイ","……！？\nトレーナー……さん……。"
"ゼンノロブロイ","ヒシミラクルさん、勝っちゃいました……。\nそれに皐月賞ウマ娘は、\nレース直後のトラブルで……。"
"ゼンノロブロイ","ユニさん……あなたは……。"
"選択肢","ユニヴァース、どうして……"
"","もはや疑いの余地はない。\nネオユニヴァースは――"
"選択肢","未来が予測できるのか？"
"","その異常な知性の高さにより、目に見える\n情報から、未来を推測できるのかもしれない。"
"","超能力ではないとしても、\n本当にそんなことができるのだとしたら……。"
"ネオユニヴァース","――“既知”。"
"選択肢","え？"
"ネオユニヴァース","――“既知”。このビジョンは。\n“ANOI”……。"
"ネオユニヴァース","『あなた』……は……。"
"","そう言ったきり、ネオユニヴァースは\n黙ってしまう。"
"","高い知性による洞察能力……。\nその恐ろしさを目の当たりにした\n『菊花賞』だった。"
