"タイトル","目標達成の後に・冷凍の扉"
"","手探りで“交信”し続けた1年が終わった。\nそしてネオユニヴァースは――"
"ネオユニヴァース","トレーナー、ネオユニヴァースは\n“及第”だね。"
"ネオユニヴァース","これで来年もレースができる？\n『つながり』を広められる？"
"選択肢","ああ、もちろん！"
"","数々のレースを経験し、\n来年へと繋がるキャリアを積めた。"
"","活動は順調そのもの。\nだが――"
"選択肢","ユニヴァース、あの……"
"ネオユニヴァース","――――"
"","無機質な瞳。\n例の“未来予測”の話をしようとすると、\nネオユニヴァースの目は色を失くす。"
"","まるで――意識をどこかに\n飛ばしてしまったかのように。\nその瞳は……。"
"","背筋の凍るような深淵を湛えていた。"
"ネオユニヴァース","トレーナー、あなたは……。"
"ネオユニヴァース","あなたが……『あなた』なのかは\n“未知”だね。"
"選択肢","え？"
"ネオユニヴァース","“PREV”は継続的か、断絶的か。\nだから――"
"ネオユニヴァース","トレーナー――来て。"
"","誘われるままに、\nネオユニヴァースの後についていく。\n冷たい扉がひとつ開いた感覚があった。"
"ネオユニヴァース","トレーナー、ネオユニヴァースは――"
"ネオユニヴァース","いくつかを“キャプチャー”したよ。\nその中で……。"
"ネオユニヴァース","“最大座標”を\nトレーナーに共有したい。"
"ネオユニヴァース","ネオユニヴァースが\n越えなければならない“GATE”を。"
"","ゲート……。珍しく、\nハッキリと意味のわかる英語。"
"","文字通り『門』という意味なら、\nそれこそがデビュー前に語っていた……。"
"ネオユニヴァース","“コネクト”と、それから……“ANOI”。\n――もうひとつ。"
"ネオユニヴァース","ネオユニヴァースには\n“成し遂げる”をしたいことがある。"
"","そのゲート越えこそ、ネオユニヴァースの\nもうひとつの秘めたる目的なのかもしれない。"
"","『他のウマ娘と繋がる』ことと\n同じくらい大事な目的。それは……。"
"選択肢","その“GATE”とは？"
"ネオユニヴァース","あるレース、なんだ。"
"ネオユニヴァース","ネオユニヴァースは、\nそのレースに出て――先へ進みたい。"
"選択肢","そのレースはいつなんだ？"
"ネオユニヴァース","今から……約500地球日後……。"
"ネオユニヴァース","『再来年」だね。\nレース名は――"
"ネオユニヴァース","――『天皇賞(春)』。"
"選択肢","春の天皇賞か……"
"","レース名は聞き慣れたものだった。\n誰もが獲りたいと願う、\nシニア級の長距離GI。だが……。"
"","わからないのは、\nネオユニヴァースとの繋がりだ。\nどうして『天皇賞(春)」なのだろう。"
"","それも例の“未来予測”によって\n弾き出した解なのだろうか。"
"ネオユニヴァース","――――"
"","だがそれ以上は怖くて聞けなかった。\nやっと開いた1枚の冷たい扉……。"
"","目標を明かしてくれただけでも大きな進展。\nここは深く突っ込ます、\n自分から話してくれる日を待つことにした。"
"ネオユニヴァース","トレーナー、“針路”は――"
"ネオユニヴァース","『天皇賞(春)』に“アプローチ”するには\nネオユニヴァースはどこへ？"
"","――遠い目標。距離3200mに向けて\nチューニングするのは、まだ早すぎる。\nならば……。"
"選択肢","『皐月賞』がいいと思う"
"ネオユニヴァース","『皐月賞』。\n――1.242742マイル。"
"","クラシック三冠の初戦、2000m。\nごく普通に、誰もが目指す軌道に乗り、\nそして――"
"","秋の『菊花賞』3000mから\n『天皇賞(春)』3200mへ。\nその路線が王道に思えた。"
"ネオユニヴァース","多くの星が通る“軌道”……。\nそのルートは――"
"ネオユニヴァース","“ピギーバック”前提――だね。"
"選択肢","ピギーバック？"
"ネオユニヴァース","思考済、だよ。\n成層圈まではいける。"
"ネオユニヴァース","でもブレイクできるかは……。"
"","まだ迷いの見えるネオユニヴァース。\nでも、かろうじて納得してくれた。"
"","来年は『皐月賞』から、ネオユニヴァースの\n真意を、少しずつ探っていくとしょう。"
