"タイトル","新年の抱負"
"ネオユニヴァース","トレーナー、ネオユニヴァースから\n『お知らせ』があるよ。"
"ネオユニヴァース","――公転。地球が主星を1周したね。\nゆえに……『あけおめ』。"
"選択肢","ああ、おめでとう……"
"","すいぶん壮大な新年のあいさつだった。\nだが祝う概念は、ネオユニヴァースの中に\nあるようだ。"
"","今年からクラシック級。ネオユニヴァースが\n狙うのは、もちろんクラシック三冠だが……。"
"ネオユニヴァース","トレーナー、ネオユニヴァースは\nまだ揺れているんだ……。"
"ネオユニヴァース","クラシック三冠は――波長が合う。\n限りなくセイフティ。でも……。"
"ネオユニヴァース","“GATE”への突入速度は……。"
"","目を伏せる。\nおそらく例の“未来予測”では――"
"","クラシック三冠路線では\n『天皇賞(春)」でいい結果が出せない。\nそんなふうに読んでいるのかもしれない。"
"ネオユニヴァース","ネオユニヴァースは“仮説”を立てたいんだ。\nもしかしたら――"
"ネオユニヴァース","もっといい航路があるのかも。"
"選択肢","もっといい航路か……"
"","クラシック三冠路線以外に、\nもっと強くなる道はあるだろうか?\nたとえば――"
"","『桜花賞』『オークス』『秋華賞」を走る\nトリプルティアラ路線。"
"","あるいは『NHKマイルC』を中心とする、\nマイル路線。しかし……。"
"","どちらもクラシック三冠路線より距離が短い。\n『天皇賞(春)』のことを考えると……。"
"ネオユニヴァース","ネオユニヴァースは、トレーナーに……\n謝罪の意志を発信。"
"ネオユニヴァース","せっかくの『あけおめ」なのに、\n疲弊を強いているね。"
"","しゅんとしている。確かに新年早々から\n重い話をしすぎてしまったようだ。"
"ネオユニヴァース","トレーナー、ネオユニヴァースは\n新年の遊戲を“所望”するよ。"
"ネオユニヴァース","数回、自転する間は『お休み』……。\n過ごし方をリクエストしたい。"
"","新年の遊戲。気晴らしにはいいかもしれない。\nネオユニヴァースに何をさせてあげよう？"
#分岐開始
"選択肢","パワースポット巡り"
"ネオユニヴァース","パワースポット巡り……\n鋭気を集積するルーティン。"
"ネオユニヴァース","であるならば、ネオユニヴァースは\n『やってみたい』ことがあるよ。"
"","どうやら心当たりがある模様。\nならばと、それに付き合うことにした。"
"","(ガタンゴトン、ガタンゴトン……)"
"ネオユニヴァース","6周目に――突入。"
"選択肢","あの……電車でグルグル回るだけ？"
"ネオユニヴァース","――アファーマティブ。……そう。\n体を静止させたまま、ずっと……。"
"ネオユニヴァース","これが1番『休まる』ね。\nネオユニヴァースは元気になるよ。"
"","乗り放題きっぷで、電車に身を委ねる。\nその間、ネオユニヴァースは微動だにしない。"
"","堂々たる落ち着きよう。このルーティンに\nより、気力はみるみる回復したようだった。"
#分岐終了
"","こうして2人でたくさん楽しんだ、\nその帰り道"
"ネオユニヴァース","――！！　あ、トレーナー……。"
"ネオユニヴァース","“スペースサイン”……。"
"選択肢","スペースサイン？"
"ネオユニヴァース","導きが……舞い降りたんだ。\n道を教えてくれる……導き。"
"ネオユニヴァース","“ANOI”……。\nクラシック三冠以外に至るサインは――"
"","ネオユニグァースは、その指をかざすと――\n宙に文字を書き始めた。"
"","その文字は――"
"","S　E　T　O"
"ネオユニヴァース","“SETO”。シィートゥだよ。"
"選択肢","“SETO”？"
"ネオユニヴァース","そう。“SETO”。\nそれが――星間の中継ポイント。"
"","意味はよくわからない。\nでも……。"
"","“SETO”。その意味を探り当てることが、\n今年の飛躍、第一歩に繋がるのかもしれない。"
