"タイトル","“SETO”を継ぐ者"
"","――“SETO”。ネオユニヴァースを\nクラシック三冠以外に導くかもしれない\nキーワード。"
"","その意味は不明。\nしかし、これだけハッキリした文言なら、\nいくらでも調査できる。"
"","“SETO”……。そういえば“METO”という\n猫が、どこかの牧場にいるとかいないとか。"
"","あるいは……スウィーツとシィートゥは\n似ている気がする。\n甘いものと何か関連が……。"
"ゼンノロブロイ","あのっ……トレーナーさん。調べ物ですか。\n熱心ですね……。"
"ゼンノロブロイ","もし、なにか困ったこととかあるなら、\n言ってもらえると……。"
"選択肢","ゼンノ……ロブロイ……"
"ゼンノロブロイ","はい、なんでしょう……？"
"選択肢","わからない……さっばり……"
"ゼンノロブロイ","ええっ、トレーナーさん？\n泣かないでください、お願いですからっ。"
"","――調査断念。“SETO”について、\nあらゆる文献を探ったが、手がかりの\nカケラも見つからなかった……。"
"","代わりに、別方面からアプローチ。\n“最強への道”について考える。"
"","クラシック三冠を経ずに『天皇賞(春)』へ\n向かう有望なルートがあれば……。"
"ゼンノロブロイ","三冠以外のルートですか。私なんかが\n最強を語るのはおこがましいですけれど、\n思いつくのは……。"
"ゼンノロブロイ","――トリプルティアラ路線。\n――秋は『菊花賞」を避け、2000mの\n『天皇賞(秋)』へ進む、シニア級合流路線。"
"ゼンノロブロイ","……あたりは検討済みですよね？"
"選択肢","もちろん"
"","早めにシニア級に挑む路線も無論考えた。\nだが将来、長距離に挑む\n有利とは思えない。"
"ゼンノロブロイ","他にはルートらしいルートなんて、\nとくに……。"
"ゼンノロブロイ","あ！でも待ってください！\n私の知る限り、たしかひとり……。"
"","そういうとゼンノロブロイは\nトウインクル·シリーズの年代史を開く。"
"ゼンノロブロイ","ありました！クラシック三冠には一切出す、\n裏ルートで連戦連勝し続けたウマ娘……。"
"ゼンノロブロイ","そして、ついに最強の1人と呼ばれるまでに\nなった……。"
"選択肢","――！？そのウマ娘は？"
"","ゼンノロブロイから重要なヒントをもらい、\nそのウマ娘とネオユニヴァースを\n会わせることにした。"
"ネオユニヴァース","地方の――レース場。"
"ネオユニヴァース","どうしてこんなところに……。"
"？？？","やあ、待たせてしまったかな。"
"ネオユニヴァース","あなたは――"
"オグリキャップ","もう少し早く来ようと思っていたんだが……\n捕まっていた。"
"ネオユニヴァース","捕獲された……。“信奉者”に?"
"オグリキャップ","いや、美味しそうな屋台に。"
"選択肢","オグリキャップ、来てくれてありがとう"
"","このウマ娘はオグリキャップ。\n地方出身で、やがて中央でも“怪物”とまで\n言われるようになったウマ娘だ。"
"","クラシック街道の裏をひた走った影の王者。\nその経験談はとてつもなく参考になりそうだ。"
"ネオユニヴァース","オグリキャップ。\nあなたは――クラシック三冠に不出走。"
"ネオユニヴァース","でも強くなれた。\n“STDA”……誰よりも。"
"ネオユニヴァース","ネオユニヴァースは、ある座標を\n目指しているんだ。そこを越えるために\n強くなりたい。"
"ネオユニヴァース","質問を発信。クラシック三冠は出ないほうが\n“強靭”になれる？"
"オグリキャップ","三冠回避か。そうだな……。"
"オグリキャップ","私は確かに色々な事情で、\nクラシック三冠には出走しなかった。"
"オグリキャップ","そして夏にはすでに先輩ウマ娘たちに交ざり、\n勝敗を競っていた。"
"オグリキャップ","おかげで学べたこともたくさんあったと思う。\nではもし、私がクラシック三冠に\n出ていたら――"
"オグリキャップ","もし出られたら、私は……。"
"オグリキャップ","もっと早くに――強くなれていただろうな。"
"選択肢","もっと早くに、強く？"
"オグリキャップ","ああ、クラシック三冠には\nたくさんのライバルたちがいたから。"
"オグリキャップ","競い合えたら、どんなに楽しかっただろうか。"
"オグリキャップ","競い合えたら、どれほどたくさんの夢を\n見せられただろうか。"
"オグリキャップ","三冠には出なかったが、出なかったから\n強くなれたなんてことは決してないと思う。"
"オグリキャップ","素晴らしいライバルたちと素晴らしい舞台で\n競い合う。それ以上の強くなるやり方を、\n私は知らない。"
"ネオユニヴァース","オグリ――キャップ……。"
"","その言葉には説得力があった。異端を進み、\nそれでもなお異端に染まらない、\n真っ直ぐな言葉。"
"","知性とはまた違う、\n正しさを感じさせる言葉だった。"
"ネオユニヴァース","素晴らしいライバル……。\nそれが1番推力を得られる“針路”……。"
"ネオユニヴァース","でも、そこを進んで\n速度が足りないとしたら、理由は……。"
"選択肢","どう走るか、かもな"
"ネオユニヴァース","どう……『走る』か？"
"選択肢","ああ、やり方次第ってことだ"
"","進路選択だけで、全てが決まるわけではない。\nその道で、どんな努力をするかも重要だ。"
"","たとえ“未来予測”がどうであったにせよ、\nそれを変えることはできるはすだ。"
"ネオユニヴァース","オグリキャップ……。ネオユニヴァースは\n『ありがとう』を伝えるよ。"
"ネオユニヴァース","あなたは“智慧者”だね。\n“崇高”を感じる……。"
"オグリキャップ","力になれたなら、よかった。\nでもキミは……。"
"オグリキャップ","なんだろう。美味しそう？\nいや違う。でも何か……。"
"オグリキャップ","懐かしい感じがする。\nなぜだろう……。"
"ネオユニヴァース","あ……。"
"ネオユニヴァース","“SETO”……。"
"選択肢","え？"
"ネオユニヴァース","オグリキャップ……。\nあなたは“SETO”……。\nシィートゥ……。"
"","ネオユニヴァースがふと口にした言葉に驚く。\nよくわからないがオグリキャップは……。"
"","探していた“SETO”らしい。\nネオユニヴァースは、そう感じたようだ。"
"オグリキャップ","“SETO”……。はは、そうか。\n私は確かに……。"
"オグリキャップ","好きだ、スイトン。あれは美味しい。\n帰りに食べていこう。"
"ネオユニヴァース","トレーナー、ネオユニヴァースの\n『腹は決まった』よ。"
"ネオユニヴァース","クラシック三冠へ出る。\nそこにはライバルがいる。"
"ネオユニヴァース","まだ“未接触”の――ライバル。\nゼンノロブロイも『日本ダービー』には\nアジャストする。"
"選択肢","ああ、頑張ろう！"
"","迷いは消えた。\n後はクラシック三冠を突き進むのみ。"
"","ますは『皐月賞』。そこから\n来年の“GATE”に向けて、加速していこう。"
