"タイトル","皐月賞にむけて"
"","クラシック三冠初戦『皐月賞」。\nそこで立ちはだかるライバルは……。"
"","――ウマ娘ではなかった。"
"","（コンコン！）"
"ネオユニヴァース","ツー・ツー……。"
"選択肢","どうぞ"
"？？？","失礼します。"
"","レース前、突然の来客。\n入ってきたのは――"
"？？？","久しぶりだね、ネオユニヴァース。\nそれから初めまして、トレーナーさん。"
"選択肢","あの……どなたですか？"
"ネオユニヴァース","“交信”記録あり。\nこの『ヒト』は――"
"ネオユニヴァース","“契約未締結”だったトレーナー。\nそう、あの日……。"
"あるトレーナー","貴方とは意志の疎通がうまくできない。\n何を言っているのか、感じているのか、\n正直わからない……。"
"あるトレーナー","それにね……。実は貴方より前に、\n契約を申し出てくれたウマ娘がいるの。"
"あるトレーナー","彼女への義理も果たしたい。\nだから、どちらかを選ばなきゃ\nいけないなら……。"
"","教えてもらい、ハッとした。\nこのヒトが、先約のためネオユニヴァースと\n契約を結ばなかったトレーナー。"
"","そのトレーナーが、あいさつに来たと\nいうことは……。"
"選択肢","担当ウマ娘が『皐月賞』に？"
"あるトレーナー","はい、こぎつけることが\n重賞もいくつか勝って。"
"あるトレーナー","ネオユニヴァース、あの時はごめんね。\nでも……。"
"あるトレーナー","貴方とこうして競えることが嬉しいわ。"
"ネオユニヴァース","『うれしい』……。ネオユニヴァースは\n“ミッシング”。でも……。"
"ネオユニヴァース","“XACF”だね。"
"あるトレーナー","ザク……シフ？"
"ネオユニヴァース","そう……“XACF”……。"
"あるトレーナー","相変わらず……難しい言葉を使うのね。"
"あるトレーナー","でも、だからこそ今日は確かめさせてほしい。"
"あるトレーナー","……じゃあレースでね。"
"","何か意味ありげな顔で去っていく\nトレーナー"
"","彼女が去った後、\nネオユニヴァースにひと声かける。"
"選択肢","ユニヴァース、“宿命”に打ち勝とうな"
"ネオユニヴァース","“宿命”……。"
"選択肢","そう“XACF”に"
"","おそらく“宿命”に近い意味だろう。\nなんとなく推測して言うと……。"
"ネオユニヴァース","だね、トレーナー。ネオユニヴァースは\n打ち勝つよ、“宿命”に。"
"","――“宿命”の再会。\nあの日の別離の意味が……。"
"","この『皐月賞』の舞台で\n問われることになりそうだ。"
