"タイトル","名指導"
"ネオユニヴァース","ふっ、ふっ――！\n……“アップクォーク”、『この調子』だね。"
"サトノクラウン","あれ？あそこにいるの……\nユニヴァースさんも早朝練かな？って――"
"サトノクラウン","ユニグァースさーん！\n今、ちょっといいですか？"
"サトノクラウン","今の走り、すごく洗練されていますね。\n何か特別なトレーニングをされてるんですか？"
"サトノクラウン","海外の……特に欧州で見かける\nトレーニングの走法に近いなと思いまして！"
"ネオユニヴァース","特別……“MABTE”。\nその表現は適切かも。"
"ネオユニヴァース","これは、ネオユニヴァースの“養成者”\nトレーナーと、“案出”したもの。"
"ネオユニヴァース","能力上昇のための研究……\n“素材”は『国内』『国外』を問わない――"
"ネオユニヴァース","次は、欧州のレース……。"
"ネオユニヴァース","“解析”――『リズム』が違う、ね。\n『スタミナ』を要するから……。"
"選択肢","ああ、これは取り入れたいな"
"ネオユニヴァース","“UNDY”――『リズム』を作るには\n長期的訓練が必要、だね。"
"選択肢","君の好きな音楽の力を借りるのはどう？"
"ネオユニヴァース","――！\n『聴く』と『走る』を、一緒に……？"
"ネオユニヴァース","音楽はネオユニヴァースの体に\n『馴染む」をしてる……“CDR”\n“妥当性”“期待値”共に高度、だね。"
"ネオユニヴァース","トレーナーが“収集”するレース映像、\n『トレーニング』の“IDE”……有意義。"
"ネオユニヴァース","“コード”は……『リズムを作る」。\n『タフな土壌』『音』を揃えて、『走る」。"
"サトノクラウン","タフなバ場を走るための、リズムを作る……\nなるほど、面白いですね。\nこの早朝トレーニングもトレーナーの指示で？"
"ネオユニヴァース","これは――『自主トレーニング』。"
"ネオユニヴァース","オユニヴァースのための“手法”\nトレーナーと……思考を“ランデブー”した。"
"ネオユニヴァース","“THRF”――『お気に入り』と言える。\nだから、続ける……“ハップル”。"
"サトノクラウン","――！"
"サトノクラウン","ふふ、本当に特別なんですね。\n想いも含めて、とっても。"
"サトノクラウン","多謝多謝！聞かせてくれて\nありがとうございます、ユニヴァースさん！\n参考にさせてもらいますね！"
"ネオユニヴァース","――アファーマティブ。\n“期待値”はきっと満ちる、よ。"
