"タイトル","ダンスレッスン(選択肢上)"
"","ネオユニヴァースのダンスレッスンを\n見学させてもらうことになった……が。"
"ネオユニヴァース","感情の“発露”――\n『表現』難しいね。"
"選択肢","ダンスは上手なんだけどな……"
"ダンスの先生","ネオユニヴァースさん、オーケー！\n次はもっと、感情を体で表現してみて！"
"ネオユニヴァース","感情を、体で……。"
"ダンスの先生","ユニーク、だね……。\nええっと……それは、どんな感情かな……？"
"","それから、自ら残って練習をしているものの\nいまだに納得の答えが出せていないようだ。"
"？？？","well,well,well.\nまだここにいたとはな。"
"ネオユニヴァース","タップダンスシチー。"
"タップダンスシチー","アンタのステップはアンタのもんさ。\nこれはこれでアンタの味が出てる。"
"タップダンスシチー","感情だってたしかに乗ってると感じる。\nことダンスに関しちゃうるさいからさ、\n間違いないよ。"
"選択肢","なるほど……"
"タップダンスシチー","ただ、まあ……エンターテイナーとしちゃ\nもう一歩だ。わかりやすさが欲しいねぇ。"
"ネオユニヴァース","わかりやすさ……。"
"タップダンスシチー","アンタを知らない人でも、\nパッと見でわかる要素が欲しいんだよ。"
"タップダンスシチー","ウイニングライブはいろんな人が観る。\nそのみんなにちゃんと感情を\n受け取ってもらって、一緒に燃えたいだろ？"
"ネオユニヴァース","アファーマティブ……どうしたら？"
#分岐開始
"選択肢","タップダンスシチーから教わるとか"
"ネオユニヴァース","……うん。\n教えて、タップダンスシチー。"
"タップダンスシチー","へえ、アタシを手本に選ぶのかい？"
"ネオユニヴァース","ネオユニヴァースは、\n“アイコン”を知らない。"
"ネオユニヴァース","ますは“INTI”……\n『基礎』を固めたい。"
"タップダンスシチー","堅実、無難――"
"タップダンスシチー","だけどそれでいいっ！\n冒険は足元をおろそかにしちゃできないよ！"
"ネオユニヴァース","『ありがとう』……！\nネオユニヴァースは、お客さんと\n『盛り上がる」をしたい！"
"タップダンスシチー","アンタの魂は受け取った！\n開拓してやろうじゃないか！"
"","こうしてタップダンスシチーと\n踊ったネオユニヴァースは、\nひとつ夢へと進んだのであった。"
