"タイトル","ダンスレッスン(選択肢下)"
"","ネオユニヴァースのダンスレッスンを\n見学させてもらうことになった……が。"
"ネオユニヴァース","感情の“発露”――\n『表現』難しいね。"
"選択肢","ダンスは上手なんだけどな……"
"ダンスの先生","ネオユニヴァースさん、オーケー！\n次はもっと、感情を体で表現してみて！"
"ネオユニヴァース","感情を、体で……。"
"ダンスの先生","ユニーク、だね……。\nええっと……それは、どんな感情かな……？"
"","それから、自ら残って練習をしているものの\nいまだに納得の答えが出せていないようだ。"
"？？？","well,well,well.\nまだここにいたとはな。"
"ネオユニヴァース","タップダンスシチー。"
"タップダンスシチー","アンタのステップはアンタのもんさ。\nこれはこれでアンタの味が出てる。"
"タップダンスシチー","感情だってたしかに乗ってると感じる。\nことダンスに関しちゃうるさいからさ、\n間違いないよ。"
"選択肢","なるほど……"
"タップダンスシチー","ただ、まあ……エンターテイナーとしちゃ\nもう一歩だ。わかりやすさが欲しいねぇ。"
"ネオユニヴァース","わかりやすさ……。"
"タップダンスシチー","アンタを知らない人でも、\nパッと見でわかる要素が欲しいんだよ。"
"タップダンスシチー","ウイニングライブはいろんな人が観る。\nそのみんなにちゃんと感情を\n受け取ってもらって、一緒に燃えたいだろ？"
"ネオユニヴァース","アファーマティブ……どうしたら？"
#分岐開始
"選択肢","なんのために踊るか思い出して"
"ネオユニヴァース","なんの……ため？"
"ネオユニヴァース","……“THNK”。ネオユニヴァースは、\n『ダンス』でなにを……。"
"ファンA","ネオユニヴァース！\nおめでとー！"
"ファンB","いいレースだったぞー！\nお疲れさまー！"
"ネオユニヴァース","……『ありがとう」。\n届けたい。"
"ネオユニヴァース","後ろまで、大きく……\nみんな、“シグナル”受け取ってほしい……！"
"タップダンスシチー","なぁんだ、本能でわかっているじゃないか。"
"タップダンスシチー","いいねえ、情熱が体を動かしてきた。\nそのまま身をまかせちまいなっ！"
"ネオユニヴァース","……スフィーラ！"
"","心の声を聴いた結果、\nネオユニヴァースのダンスは感情を乗せ\nさらに磨きがかかったのであった。"
