"タイトル","ファンレター"
"","ある日のこと。\nここ最近、ネオユニヴァース宛に届いた\nファンレターをまとめて渡した。"
"ネオユニヴァース","それ、『全部』？"
"選択肢","ユニヴァースへのファンレターだよ"
"ネオユニヴァース","……？"
"ネオユニヴァース","…………。"
"選択肢","あれ？"
"ネオユニヴァース","…………。"
"選択肢","どうしたんだ？"
"ネオユニヴァース","『不思議」だから、\n“帰結”を探している。"
"ネオユニヴァース","ネオユニヴァースは『走る』をした。\n“交信”を求めて“ランデブー”した。"
"ネオユニヴァース","けど、手紙を送信してくれた人は\nネオユニヴァースを『見ていた』だけ。\n……どうして？"
"","なんとなくだが、言いたいことはわかった。\n直接関わりのない人たちが自分に関心を\n持ってくれていることが不思議なのだろう。"
"選択肢","見ているだけで強烈だった、とか"
"ネオユニヴァース","強烈……。"
"","直接競い合ったわけでも、\nその場にいたわけじゃなくても。\n人は感情を揺さぶられる。"
"","それこそ、走る彼女からあふれるほどの\nまばゆさと熱に目がくらむように……。"
"ネオユニヴァース","……ネオユニヴァースの“シグナル”が\n共鳴した？"
"選択肢","これもひとつの交流じゃないかな！"
"ネオユニヴァース","……交流。\nあんなに、できた。"
"ネオユニヴァース","ふふ、だとしたら……『胸がいっぱい』だね。\nスフィーラ……スフィーラ！"
"","部屋へ戻ったネオユニヴァースは\nファンレターを読み始めた。\n1通1通、できた緑を噛み締めるように……。"
