"タイトル","宇宙人の生態？"
"","所用があり、\nネオユニヴァースの教室を訪ねると……。"
"ジャングルポケット","おっちょうどいーとこに！\nあんた、ユニヴァースのトレーナーだろ？"
"選択肢","えっ？そうだけど……"
"ジャングルポケット","ちょっと手伝えよ！\nコイツあっためんの！！"
"選択肢","ど、どういう状況！？"
"","奇怪な状態のネオユニヴァースに、驚く。\n室内だというのにコートを着て、\n味噌汁を飲み、足元には足温器があった。"
"ジャングルポケット","コイツ冷てーからあっためてんだって！\nあんたもなんか案出せよ！"
"アグネスタキオン","やあやあ！なんでも、彼女は運動後ですら\n体温上昇が微量らしいじゃないか！"
"アグネスタキオン","ウマ娘の体温変化と、運動能力への影響！\nまさにクールダウンの効率化を試すのに\n打ってつけのモルモ――"
"アグネスタキオン","……もとい、大事なクラスメイトだからねえ！\nシャカール君と方針を協議していたのさ。"
"エアシャカール","とりあえず冷えの原因を特定すべきだろ。\nオイ、基礎データ測らせろ。"
"ネオユニヴァース","アファーマティブ。\nどんな“LIDAR”も、受諾するよ。"
"選択肢","（乗り気みたいだし、見守ろうかな）"
"アグネスタキオン","さて、ひとます体内外から防寒対策を\n施した結果は如何かな、ユニヴァース君！"
"ネオユニヴァース","“等級”は変動しない……。"
"アグネスタキオン","要するにほぼ変わりなしってところかい？\nふむ、単純に温めるだけではダメそうだな。"
"エアシャカール","とはいえ、体内器官に\nデプローチし続けンのが早ェし確実だろ？"
"アグネスタキオン","そうだねえ……ひとまず次は血流かな。\n腹筋ベルトを試してみようか！"
"ジャングルポケット","腹筋ベルト巻くのか！？　おもしれー！\nんじゃそれで味噌汁チャレンジとかどーよ！？"
"ネオユニヴァース","……～～っ、――ズズ……。"
"ジャングルポケット","おっ、ちょいあったまってきたんじゃね！？\nもいっちょ振動レベル上げっか！"
"選択肢","いや、さすがにこれ以上は……！"
"マンハッタンカフェ","……そうですよ、ポッケさん、タキオンさん。\nそれ以上はやめましょう……。"
"マンハッタンカフェ","ユニヴァースさんも……悪ふざけに\n無理して付き合う必要は、ありません……。"
"アグネスタキオン","失敬な、悪ふざけではなく人助けだよ！\nさあ、次はどんなアプローチをしようかなあ。"
"エアシャカール","オイ、なンでも試しゃいいってモンじゃ\nねェぞ。効率考えろ、アプローチは正確に――"
"","クラスメイトたちがあれこれ\n議論している間、ネオユニニヴァースは\n黙って味噌汁を飲んでいる……。"
"選択肢","すごい実験になっちゃったな"
"ネオユニヴァース","宇宙人の生態は、“グリーゼ”……\nネオユニヴァースは『珍しい』から、ね。"
"","宇宙人の生態が珍しい……そうだろうか。\n自分の目には……。"
"アグネスタキオン","ユニヴァース君！\n腹筋ベルトの調子はどうだい、経過を――"
"アグネスタキオン","……ふむ。まだ手足が冷たいねえ。\n普段相当寒いんじゃないのかい？\n教室の空調温度を少し上げてみようか。"
"エアシャカール","つか、空調合ってねェなら申告しろよ。\nさみィのに我慢するとか非効率だろ。"
"アグネスタキオン","そうだ、このドリンクを試してくれたまえ！\n甘酒ベースにクエン酸とマグロエキス、\nあとこの間偶然できた実験の副産物を――"
"マンハッタンカフェ","待ってください、今の材料……\n一部明らかな不安要素が……。"
"","やはり彼女たちは、\nネオユニヴァースの冷え性ぶりを心配し\n思いやっているように見える。だが――"
"ジャングルポケット","げぇっ、なんだそれクソますずそーじゃん！\nさすがにやめとけって、これは。"
"ネオユニヴァース","“OPON”。\n謎の解明……データは『豊富』が最良。"
"","ネオユニヴァースは、やはり自分が\n珍しがられているだけだと思っているようだ。\nなんとももどかしいが……。"
"アグネスタキオン","――だから、試す価値はあるさ！\nなあ、君もそう思うだろう！？"
"選択肢","えっ、な、何？"
"アグネスタキオン","だからぁ、私の特製ドリンクを飲む価値は\nあるという話さ。それなのにカフェときたら\n穏便な食事療法がどうとか言って……。"
"","何やら、ドリンクと食事療法の\n2択で揉めているようだが……。"
"分岐開始
"選択肢","ドリンクで、即効性を追求しよう"
"アグネスタキオン","ハッハッハ、わかっているじゃあないか！\n大丈夫、食用の栄養素しか入ってないから。\nぐぐいっとひと息で、ね！！"
"ネオユニヴァース","“UNDY”――"
"ネオユニヴァース","――――"
"ネオユニヴァース","……値に“流動”はない、よ。"
"アグネスタキオン","えーーっ！本当に手強いな、君！"
"","その後も騒がしく実験は続き――\nネオユニヴァースは、案外賑やかで\n思いやりのある日常を過ごしているようだ。"
#分岐開始
"選択肢","食事療法、学ばせてほしい"
"","時間はかかるものだろうが、\nより確実に、日常的に実践していけそうだ。"
"アグネスタキオン","つまらないなぁ。\n時には冒険心も肝要だよ、君。"
"マンハッタンカフェ","駄々をこねないでください……\n当然の判断です。"
"ジャングルポケット","んじゃさ、今日の昼メシ鍋食おーぜ！\nなんかあったろ、\nカフェのメニューに美味そうなの！"
"ネオユニヴァース","『昼メシ、鍋』……つまり、“共有”？\n――スフィーラ、だね。"
"","みんなと昼食を共有したネオユニヴァース。\n本人にまだ自覚はないようだが、周囲と\n繋がれる日は、案外近いのかもしれない。"
