"タイトル","有馬記念の後に・秋空の三連星"
"","別宇宙で“その座”に就いたのは","“英雄”だった。だが、この宇宙では――"
"実況","ネオユニヴァース！！\n今年度の秋シニア三冠を達成ー！！"
"実況","『天皇賞（秋）』『ジャパンカップ』\nそして『有馬記念』を制しましたー！！"
"ヒシミラクル","いいよいいよ、ユニヴァースちゃん！\nあ～、くやし！でもなんか、うれしっ！"
"タップダンスシチー","スターシップねえ。ハハッ、わかんないけど、\n波の上を浮いてるような走りだったな！"
"","ライバルたちの祝福。\nそして――"
"ゼンノロブロイ","ユニさん……おめでとうございますっ。"
"ネオユニヴァース","ゼンノロブロイ、\nネオユニヴァースは――"
"ネオユニヴァース","あなたと曳き合って“成し遂げる”をした。\nでも――"
"ネオユニヴァース","完全なる“墓奪者”となったね……。\nゼンノロブロイの金冠を……。"
"ゼンノロブロイ","……ユニさん。"
"ゼンノロブロイ","“強者”と“英雄”の違いって、\nなんだと思いますか？"
"ネオユニヴァース","“強者”と……“英雄”……。\n……アンノウン。"
"ゼンノロブロイ","私はこう思うんです。\n“強者”はただ強い者。\n“英雄”は……。"
"ゼンノロブロイ","語り継がれる者だって。"
"ネオユニヴァース","語り……継がれる……。"
"ゼンノロブロイ","ユニさん、言ってました。このままじゃ\n私は煌めきを残せないって。"
"ゼンノロブロイ","残せないなら、それは……私が思い描いた\n英雄にはなれないということです。\nですから……。"
"ゼンノロブロイ","これでよかったんです！\nこれこそが私が夢見た\nストーリーラインなんだと思います。"
"ゼンノロブロイ","ありがとうございますっ！\n私にさらなる英雄の道を示してくれて。"
"ゼンノロブロイ","来年また挑戦させてください！\nユニさんを超える、秋シニアミ冠王者に\n必すなってみせます。"
"ネオユニヴァース","ゼンノロブロイ……。"
"ネオユニヴァース","そうだね。ネオユニヴァースは\n“可住惑星”に導くために……。"
"ネオユニヴァース","これからもいる。すっと……いるよ。\n英雄の隣にはやっぱり『ネオユニ』だね。"
"","微笑み合う2人。成し遂げた栄光は、\n星光となり――"
"","限りなく続く2人の未来を照らすのだった。"
