"タイトル","星空のコネクト"
"","新しいトレーニング計画を練っていたら、\nすっかり行き詰まってしまった……。"
"選択肢","うーん……う～～ん……"
"ネオユニヴァース","…………“COTT”の、霧散を“観測”。\n“エントロピー”は、常に増大する……。"
"ネオユニヴァース","……トレーナー、ネオユニヴァースと\n『星を見る』をしない？"
"選択肢","えっ？星を……？"
"ネオユニヴァース","そう……『天体観測』、だよ。\n今しか視認できない“ビジョン”が\n存在する……たくさん。"
"","なんて、ストレートな誘いだろう。\n普段は彼女の言葉の真意を探ってばかりだが、\nすぐにわかったことが嬉しかった。"
"選択肢","行こう！今すぐ！"
"ネオユニヴァース","スフィーラ――\n座標まで……“ワームホール”を経由。\n3、2、1……。"
"選択肢","――！？"
"ネオユニヴァース","――“SbS”を『離脱』\n環境、時刻、バイタル、“オールグリーン”。\n目標地点に『到着』……だよ。"
"選択肢","――あれ、ここは……？"
"","……？移動した覚えはあるのに、\n道中の記憶がぼんやりとしかなかった。\nだが、手荷物は傍らにちゃんとある。"
"選択肢","（疲れてるのかな？まあいいか）"
"ネオユニヴァース","トレーナー。上を見て――"
"ネオユニヴァース","“Ori”……。\n『オリオン座』……。"
"選択肢","オリオン座なら、聞いたことがある"
"ネオユニヴァース","トン、トン……下降……。\nツーツーツー……下降。\nトン、トン……あの7点を“コネクト”。"
"","彼女の指差す星を線で結ぶと、\n四角形の中に、明るい3つ星が並んだ。\nとても見つけやすい星座だった。"
"ネオユニヴァース","“Ori”は、判りやすい……\n“ABD”……“観測”……できる。\nネオユニヴァースとは、反対に……。"
"選択肢","でも判りにくい星だって、輝いてる"
"ネオユニヴァース","……アファーマティブ。\nうん、恒星はみんな、発光している。\n音もなく、“STDA”に……。"
"","星には詳しくないが、\n彼女の解説は難解ながらも面白かった。\nそれに、星空はとても綺麗だ……。"
"選択肢","すっと見ていたいなあ……"
"ネオユニヴァース","――ネガティブ。"
"選択肢","えっ……？"
"ネオユニヴァース","トレーナーの\n“WORR”『質量』は、すでに低下した。\n“チャンドラセカール限界”は、越えない。"
"ネオユニヴァース","ブラックホール化の可能性はなくなったはす。\n“THRF”……『もう終わり』、だよ。"
"ネオユニヴァース","今日は……このへんで。\n『お開き』に、しょう。"
"選択肢","あ、あぁ、うん……！"
"","突然の解散……。彼女は頭のいい子だ。\n解説を聞くしかできない自分と星を見るのは\n少しつまらなかったのかもしれない。"
"","ふがいないような、さみしいような……。\nともかく、彼女を寮まで送ろ――"
"選択肢","って、待って待って……！"
"","振り返ると、もう彼女は消えていた。\n『ガシャン』という奇妙な音を残して。\n……なにやらボケットが温かい……。"
"選択肢","あれ？これは、ゆず茶……？"
"","温かいミニペットボトルが\nいつの間にかポケットに入っていた。\n握りしめると、冷えた指先がじんとした。"
"","……今さらながら、疲労感に気づく。\nそも仕事で行き詰まっていたところだった。\n早めの解散は正解だった気がする。"
"選択肢","そっか、もしかして……"
"","翌日。ネオユニヴァースに会うと\nいつも通りに換拶をしてくれた。"
"ネオユニヴァース","『おはよう』……トレーナー。"
"選択肢","昨日は気分転換させてくれてありがとう"
"ネオユニヴァース","『ありがとう』……は、\nネオユニヴァースに、言っているの？"
"選択肢","もちろん！"
"","彼女は……星を見たかったのではなく、\n自分を気分転換に連れ出してくれたのだ。\n早めの解散も、温かいドリンクも、みな……。"
"選択肢","いろいろ気遣ってくれたよな"
"ネオユニヴァース","……“シンチレーション”。\n昨日の事象と、ネオユニヴァースの意志は、\n『外界』からは……続合不可能だと思ってた。"
"ネオユニヴァース","……スフィーラ……スフィーラ。\nこれも、“コネクト”……かな……？"
"ネオユニヴァース","なんだか……『ほわほわする』……よ。"
