"タイトル","遭遇、新たなる感覚"
"ネオユニヴァース","あれは――……。"
"フジキセキ","フジキセキのマジックショーへようこそ！\n今日はこの不思議な杖で、\nみんなに魔法をかけてあげるよ！"
"ネオユニヴァース","イリュージョン……。面白そう。\n“観測”開始。"
"フジキセキ","――やあ！ユニヴァース！\nショーはどうだったかな？"
"ネオユニヴァース","……“ビッグバン”……。\n“パラドックス”を体感したよ。"
"ネオユニヴァース","目の前の“事象”に対し、認識が\n“エラー”を起こした……。“MYS”……。"
"フジキセキ","ふふっ、不思議かい？\n実は、視線を誘導する魔法をかけたのさ。\nこの杖を使ってね。"
"ネオユニヴァース","『魔法』……？\nネオユニヴァースは『魔法』を\nもっと知りたい。"
"フジキセキ","好奇心旺盛なポニーちゃんだね。\nそれなら少しだけ秘密を教えてあげるよ。"
"フジキセキ","レッスン1。まずはみんなに、この杖には\nなにかあると気にしてもらうんだ。"
"フジキセキ","『これは――……貴方を不思議な世界に\n誘う杖です。杖から放つ力で、貴方に\n魔法をかけてさしあげましょう』……ってね。"
"フジキセキ","そしてレッスン2。次は杖を使って、\n視線を釘付けにするのさ。こんなふうにね。"
"ネオユニヴァース","なるほど……。"
"フジキセキ","みんなの意識が、杖に集まったところで、\nレッスン3。――ボケットを見てごらん？"
"ネオユニヴァース","…………！\n……“侵入”を感知できなかった……。"
"フジキセキ","トリックよりも視線誘導がコツなんだ。\n視線、仕草、声色にテンボ。\nテクニックが必要だから、難度も高くてね。"
"フジキセキ","それでも君なら、\nマスターできるんじゃないかな。\nよかったら練習してみるかい？"
"ネオユニヴァース","アファーマティブ。"
"ネオユニヴァース","この杖は“メビウス”の杖。これで\n30億年彼方の“トワイライトゾーン”から、\nあなたに“シグナル”を送るよ……。"
"ネオユニヴァース","…………どう？"
"フジキセキ","うん、バッチリ！特に言葉選びが\n神秘的で、興味を惹かれたよ！"
"ネオユニヴァース","ネオユニヴァースも、『魔法』……使えた。"
"ネオユニヴァース","とっても……スフィーラ、だね。"
"","この出来事を経て、コツをつかみやすく\nなったのか、ネオユニヴァースの走りは\nますます冴えわたったのだった。"
