"タイトル","有馬記念の後に・2つめの金星"
"","秋シニア三冠――達成ならず。\n惜しくも『天皇賞（秋）』こそ\n逃したものの……。"
"実況","ネオユニヴァース！\n今年度の『有馬記念』を制覇です！"
"実況","秋シニア三冠のうち、二冠を手中に！\nこの秋冬は、まぎれもなく\n主役の1人でした！"
"ヒシミラクル","いいよいいよ、ユニヴァースちゃん！\nあ～、くやし！　でもなんか、うれしっ！"
"タップダンスシチー","スターシップねえ。ハハッ、わかんないけど、\n波の上を浮いてるような走りだったな！"
"ゼンノロブロイ","ユニさんにはきっと見えているんです……。\nターフに描かれた、星の道が。"
"","ライバルたちの祝福。\nそして――"
"ネオユニヴァース","トレーナー、ネオユニヴァースは再度、\n帰還したよ。"
"ネオユニヴァース","今度も“月の砂”を持って。\nたどり着けなかった“衛星”もあったけれど。"
"選択肢","いや、十分だよ……！"
"","今年の秋冬は、後半になるほど\nグングン調子が上向いた。"
"","そう、ネオユニヴァースの上昇角度は――"
"","間違いなく上がっている。目指す到達点、\n大気圈上の字宙ステーションに向かって。"
"スイープトウショウ","ちょっとユニヴァース！トレーナーには\n“月の砂”で、アタシへのお土産は！？"
"ネオユニヴァース","スイープトウショウへの……\n『お土産』は……。"
"ネオユニヴァース","量子データ。\n魔術の発展に“GATC”をもたらす……。"
"スイープトウショウ","なによそれ～！？\nもっと、たのしいもんがよかったのに～！！"
"","目に見えないお土産。目に見えない絆。\n後輩ウマ娘との交流も、\nさらに進展するのだった。"
