"タイトル","ダイエット成功！"
"","ある日、ネオユニヴァースが\n寮のロビーを通りかかると――"
"テレビの音声","『やあ、テレビの前の諸君！\nこのところ体が重く感じることはないかい？』"
"ネオユニヴァース","ん……あれ？\n……重い、かも……。"
"ネオユニヴァース","“EVA”に備えた補給が……過剰だった？\n未使用“エネルギー”は体内に固着した……。"
"テレビの音声","『原因は食べ過ぎ？運動不足？\nでも、気づいたなら善は急げだ！\n重力に負けず、立ち上がろうじゃないか！』"
"テレビの音声","『さあ、エクササイズのはじまりだ！\n終わる頃には、月面にいるみたいな気分さ！』"
"ネオユニヴァース","エクササイズで……月面へ……？"
"テレビの音声","『ますは楕円軌道を描いて……\nはい、飛び出せアボロ！ドッキング！\nあなたも一緒にエクササイズ♪』"
"ネオユニヴァース","“パラボリック”……！\nこの訓練なら……ネオユニヴァースも……。"
"","あくる日――\nトレセン学園の庭で体操に勤しむ\nネオユニヴァースを見かけた。"
"ネオユニヴァース","『飛び出せアポロ、ドッキング』。"
"ネオユニヴァース","『ふんふんふんふん、スペースラブ』。"
"選択肢","なんだか楽しそうだね？"
"ネオユニヴァース","あ？、トレーナー。……うん、\nネオユニヴァースは『エクササイズ♪」。"
"ネオユニヴァース","アルテミス目指して……。\n『飛び出せアボロ、ドッキング』。"
"","ネオユニヴァースは継続してエクササイズし、\nダイエットに成功するのだった！"
