"タイトル","プラネタリウムを飛び出して"
"","トレーニング前、ネオユニヴァースは\nプラネタリウムに来ていた。"
"ナレーション","『“銀河へ飛び立とう”の上映をはじめます。\n上映中は他のお客様のご迷惑に\nならないよう、会話はお控えください』"
"ネオユニヴァース","音声……“遮断”。\n『ワクワク』は内包、だね。"
"ナレーション","『太陽系が属する、広大な宇宙の帯。\n……天の川銀河。そこに存在する\n惑星を訪ねていきましょう――』"
"ネオユニヴァース","（あ……この波形……ゆらいでる……\n“グリーゼ”……引カの導きみたい。\n……星の象形へ、投影されていく――）"
"ネオユニヴァース","……ポイントに到達。調査を開始するよ。"
"ネオユニヴァース","……あ。……地球……あんなに小さい。\nここから……送れるかな。"
"ネオユニヴァース","ハロー、こちらネオユニヴァース。\n小さな一歩……踏み出したよ。"
"ナレーション","『プログラムは以上となります。\nご観覧ありがとうございました。\n次回の上映は2時間後を予定しています――』"
"ネオユニヴァース","……ボイジャー。\n違う惑星も、体感したい……。"
"","そして、ネオユニヴァースは\n次の上映会も鑑賞した。\n結果、トレーニングをサボってしまった。"
