"タイトル","有馬記念の後に・無慈悲な魔女"
"","この『有馬記念』は\nネオユニヴァースとゼンノロブロイの\n今年度最終決戦……になるはすだった。"
"","どっちが勝つかを競う\nお祭りにするはすだった。だが結果は――"
"スイープトウショウ","あー、アンタたち。そこに並びなさい。\nいいからいいから、ほらほら！"
"スイープトウショウ","あれだけ期待されながら、\n2人とも勝てないなんて、なんてザマ？"
"スイープトウショウ","ロブロイ、なにか言い訳ある？"
"ゼンノロブロイ","スイープさん……その……。\nいえ、ないです……。"
"スイープトウショウ","ユニヴァースは？"
"ネオユニヴァース","ネオユニヴァースには“敗因”があるよ。\n……明確な。"
"スイープトウショウ","なによ？"
"ネオユニヴァース","つまりネオユニヴァースは今日――"
"ネオユニヴァース","“CUDZ”だったんだ。"
"スイープトウショウ","はあ？どっこが明確なの！？\nわっかんないわ！\nまたテキトーな古代ルーンでごまかして！"
"スイープトウショウ","ま、いいわ。これでわかった。\nともかくレースは、アタシが出ないとダメね。"
"スイープトウショウ","来年は一緒に走ってあげるから、\n安心しなさい！\nそうね『宝塚記念』あたりで☆"
"スイープトウショウ","2人とも、絶対出てくるのよ？\nそれまでは練習……！"
"2人","はい……。"
"","情けない結果だったため、小さな魔女に\nマウントを取られてしまったのだった。"
