"タイトル","春の大三角"
"","――危難の春。しかし、そんな中でも、\nネオユニヴァースと自分は守りに入らす……。"
"","あえてアステロイドベルトの中に突っ込み\n――栄光を勝ち取った。"
"実況","ネオユニヴァース！！\nネオユニヴァース、春シニア三冠達成です！"
"実況","『大阪杯』『天皇賞（春）』『宝塚記念』。\n3つのGI全てで勝利を収めました！"
"ネオユニヴァース","トレーナー、ネオユニヴァースたちは\n“旧航路”を極めたね。"
"ネオユニヴァース","別宇宙ではこうしたかった……。\n座礁した夢を“サルベージ”したんだ……。"
"選択肢","ああ、冒険だったけどな"
"","春シニア三冠を制するのは\n別宇宙のネオユニヴァースにとって\n大きな目標だった。"
"","今回、あえて目標レースから外した\n『宝塚記念』にも出走したのには、\nもちろん理由がある。"
"ネオユニヴァース","ネオユニヴァースが得たものは“残光”？"
"選択肢","それよりも……“自信”だ"
"","もうあの春とは違う。その自信を\nなにより与えてあげたかった。"
"","目指す出口はすぐそこ。\nこの偉業達成は、ネオユニヴァースにとって\n大きな推進力となる。"
"","そして――その夜。"
"ネオユニヴァース","トレーナーは……知っている？\n『夏の大三角」を。"
"","『夏の大三角』。確か聞いたことがある。\nそう……。"
"選択肢","夏の夜空の星座だっけ？"
"ネオユニヴァース","……そう。白鳥座α、鷲座α、琴座αが\n形作る……。"
"ネオユニヴァース","じゃあ『秋の大三角』は？"
"","『秋の大三角』……は聞いたことがなかった。\n首をかしげていると……。"
"ネオユニヴァース","『秋の大三角』は――ゼンノロブロイ。"
"ネオユニヴァース","かつて、3つ全てを制したから。そして\nゼンノロブロイと総質量で並ぶには……。"
"ネオユニヴァース","ネオユニヴァースも『春の大三角』に\nならなければいけなかった。"
"ネオユニヴァース","これで2人は――“SASA”だね。"
"","かつてシニア三冠を制した\nゼンノロブロイへの対抗意詢。\nそれもネオユニヴァースにはあったようだ。"
"ネオユニヴァース","――ネオユニヴァースは問うよ。\nトレーナーは……どれ？"
"選択肢","どれって？"
"ネオユニヴァース","『春の大三角』の……思い出。\nどのレースが1番の『お気に入り』？"
"選択肢","うーん、どれだろ"
"","どれも思い入れのあるレースだった。\n悩んでいると――"
"ネオユニヴァース","ネオユニヴァースは……『天皇賞（春）』。"
"選択肢","それは……“GATE”だったから？"
"ネオユニヴァース","――ネガティブ。\n理由は……。"
"ネオユニヴァース","『祈られる』をしたから。"
"選択肢","祈られる？"
"ネオユニヴァース","そう。別宇宙のネオユニヴァースは\n『菊花賞』で3着……\nクラシック三冠を逃した。"
"ネオユニヴァース","『天皇賞（春）』も10着だった……。\n“LODI”が得意じゃなかったんだ。"
"ネオユニヴァース","それで『あなた』は\n“帯星の尾”に『祈った』……。"
"ネオユニヴァース","『ぼく」とできなかったことを……\n『ぼく』を継ぐ者と……。"
"ネオユニヴァース","でもネオユニヴァースは……\nどうしても自分でしたかったんだ。"
"ネオユニヴァース","だから星を目覚めさせた。そして“LODI”を\n越えた。それが――『天皇賞（春）』。"
"選択肢","そういうことか……"
"","かつてネオユニヴァースは“LODI”……。\nつまり長距離が得意ではなかった。"
"","子孫に託された願い。それをどうしても\n自分でやり遂げたかったのだろう。"
"ネオユニヴァース","クラシック三冠を逃した時……\nネオユニヴァースは『あなた』に\nたくさん『すみません」をさせた……。"
"ネオユニヴァース","でも『不甲斐なかった』のは\nネオユニヴァース。だから一"
"ネオユニヴァース","ネオユニヴァースは――もう負けない。\n“LODI”でも負けない\nネオユニヴァースになって――"
"ネオユニヴァース","ここに――いるよ。"
"","かつて手から取りこぼした三冠。\nそれを――"
"","ネオユニヴァースは次元を越えて、\n新しい冠にして届けてくれたのだった。"
