#ホーム
"特定の衣装でウマ娘と会話","	アストロノーツのイメージだよ。\n広い宇宙でも、会いにいくんだ…\n“対話”できる存在に。"
"特定の衣装でウマ娘と会話","計算上、インナーもアウターも\nこれが最適だよ。光っているのは…\n『見つけて』もらえるかなって。"
#育成
"ウマ娘と会話","アファーマティブ。\nいつでもいけるよ。"
"ウマ娘と会話","『トレーニング』待機。\n“シグナル”をどうぞ。"
"ウマ娘と会話","計画を進めよう。\nネオユニヴァースは\n“遂行するよ。”"
"ウマ娘と会話","“MOLT”…ネオユニヴァースは\nひと皮むけたくて\n『ワクワク』の気分だよ。"
"才能開花が一定値以上でウマ娘と会話","トレーナー、今…『見えた』？\n気のせいかな…読んだらまた来る？\nおーい、おーい…。"
"才能開花が一定値以上でウマ娘と会話","空が明るくて見えなくても、\nいつもそこにいる。\n星、トレーナーと一緒だね。"
"才能開花が一定値以上でウマ娘と会話",""
"育成ランクがS以上","広い宇宙で、あなたに会えた。\nずっと、“軌道”を、共に…。"
"育成ランクがA以上","トレーナー、“ランデブー”楽しかったよ。"
#レース
"スキルのボイス再生（短縮版）","アファーマティブ、ここから…！"
"スキルのボイス再生（ロング版）","…感じる。みんなの“シグナル”…！\nはじめよう…“ランデブー”！"
"レースで1着","ハロー、ハロー。\n『わたし』は『満足』になったよ。"
"レースで1着","到達したよ。『わたし』の\n“シンチレーション”。"
#その他
"覚醒Lv強化","“上昇曲線”に移るよ。"
"才能開花またはスキル進化","“高次元”に“コネクト”…！"
"ガチャで登場","3、2、1――“リフトオフ”\n“対話”しよ。"
